analysis,category,term,beta,ci_low,ci_high,p,n,reefs,area,status,q
six_management_stratified,Acropora,heatwave_years_5yr_z,-1.197322681730233,-3.4209962002331835,1.0263508367727177,0.29127443341453463,101,17,Burdekin,fit,0.43691165012180194
six_management_stratified,Montipora,heatwave_years_5yr_z,0.7347869196791742,-0.4689482337189027,1.9385220730772512,0.2315381808304916,86,16,Burdekin,fit,0.43691165012180194
six_management_stratified,Other,heatwave_years_5yr_z,0.3616933573604735,-0.19000413606263977,0.9133908507835867,0.19880832554433747,101,17,Burdekin,fit,0.43691165012180194
six_management_stratified,Pocilloporidae,heatwave_years_5yr_z,-0.5328373607045361,-1.2325676592013752,0.16689293779230308,0.13557015155497143,79,15,Burdekin,fit,0.43691165012180194
six_management_stratified,Merulinidae,heatwave_years_5yr_z,-0.2554738715831171,-0.8140028682136639,0.3030551250474297,0.36998736521173237,101,17,Burdekin,fit,0.4439848382540788
six_management_stratified,Porites,heatwave_years_5yr_z,-0.036338482490536624,-0.4888279273130608,0.41615096233198756,0.8749291287315694,101,17,Burdekin,fit,0.8749291287315694
six_management_stratified,Acropora,heatwave_years_5yr_z,,,,,9,4,Burnett Mary,skipped_small_sector,
six_management_stratified,Merulinidae,heatwave_years_5yr_z,,,,,9,4,Burnett Mary,skipped_small_sector,
six_management_stratified,Montipora,heatwave_years_5yr_z,,,,,9,4,Burnett Mary,skipped_small_sector,
six_management_stratified,Other,heatwave_years_5yr_z,,,,,9,4,Burnett Mary,skipped_small_sector,
six_management_stratified,Pocilloporidae,heatwave_years_5yr_z,,,,,9,4,Burnett Mary,skipped_small_sector,
six_management_stratified,Porites,heatwave_years_5yr_z,,,,,9,4,Burnett Mary,skipped_small_sector,
six_management_stratified,Other,heatwave_years_5yr_z,-0.22646951614954755,-0.4560734420533865,0.003134409754291384,0.053210607075091884,75,13,Cape York,fit,0.2660530353754594
six_management_stratified,Acropora,heatwave_years_5yr_z,1.6283750113727387,-0.8781851252994672,4.134935148044945,0.20291820797809024,71,12,Cape York,fit,0.33819701329681706
six_management_stratified,Porites,heatwave_years_5yr_z,-1.4066310391650263,-3.2638715604094686,0.450609482079416,0.13769450553077786,75,13,Cape York,fit,0.33819701329681706
six_management_stratified,Pocilloporidae,heatwave_years_5yr_z,0.831918972176813,-0.69380847829665,2.357646422650276,0.28520891978399654,58,9,Cape York,fit,0.35651114972999565
six_management_stratified,Merulinidae,heatwave_years_5yr_z,-0.5242550996187532,-1.6711299044590795,0.6226197052215732,0.37028941918281455,75,13,Cape York,fit,0.37028941918281455
six_management_stratified,Montipora,heatwave_years_5yr_z,,,,,39,6,Cape York,skipped_small_sector,
six_management_stratified,Acropora,heatwave_years_5yr_z,-1.066488415220248,-2.4406240314647967,0.30764720102430076,0.12821991888519638,105,32,Fitzroy,fit,0.25643983777039275
six_management_stratified,Montipora,heatwave_years_5yr_z,-0.529544453735809,-1.1346662195684925,0.07557731209687435,0.08631365192823919,100,30,Fitzroy,fit,0.25643983777039275
six_management_stratified,Porites,heatwave_years_5yr_z,0.888711191344311,0.017852819010500953,1.759569563678121,0.04548474407995137,99,30,Fitzroy,fit,0.25643983777039275
six_management_stratified,Merulinidae,heatwave_years_5yr_z,0.30357046498567186,-0.37230746934571557,0.9794483993170593,0.3786873312051512,105,32,Fitzroy,fit,0.46381668262851905
six_management_stratified,Pocilloporidae,heatwave_years_5yr_z,0.31804065652836744,-0.4017969813619354,1.0378782944186704,0.3865139021904326,97,30,Fitzroy,fit,0.46381668262851905
six_management_stratified,Other,heatwave_years_5yr_z,0.10937653661666509,-0.279858925131272,0.4986119983646021,0.5818004103420897,105,32,Fitzroy,fit,0.5818004103420897
six_management_stratified,Acropora,heatwave_years_5yr_z,2.0318191974702287,-0.19487866316241753,4.258517058102875,0.07370671808315306,77,10,Mackay Whitsunday,fit,0.4422403084989184
six_management_stratified,Merulinidae,heatwave_years_5yr_z,-1.0389942868514364,-2.47221440045413,0.3942258267512573,0.15536025286747246,77,10,Mackay Whitsunday,fit,0.4660807586024174
six_management_stratified,Montipora,heatwave_years_5yr_z,-0.6295312920945035,-1.759366154552224,0.5003035703632168,0.27480237281189224,61,8,Mackay Whitsunday,fit,0.49197524438935725
six_management_stratified,Pocilloporidae,heatwave_years_5yr_z,-0.27067922458974314,-0.851454894722202,0.31009644554271576,0.3609950605654638,59,8,Mackay Whitsunday,fit,0.49197524438935725
six_management_stratified,Porites,heatwave_years_5yr_z,0.17504147781184787,-0.24134707402074196,0.5914300296444377,0.4099793703244644,59,8,Mackay Whitsunday,fit,0.49197524438935725
six_management_stratified,Other,heatwave_years_5yr_z,-0.04575062162654418,-0.4691415123704763,0.3776402691173879,0.8322715818634581,77,10,Mackay Whitsunday,fit,0.8322715818634581
six_management_stratified,Merulinidae,heatwave_years_5yr_z,-0.19511781705599235,-0.9786786018235323,0.5884429677115475,0.6255080499505193,99,16,Wet Tropics,fit,0.7506096599406231
six_management_stratified,Montipora,heatwave_years_5yr_z,-0.1977235477756123,-0.5271584555479893,0.1317113599967647,0.23945470516069245,59,10,Wet Tropics,fit,0.7506096599406231
six_management_stratified,Other,heatwave_years_5yr_z,0.30838586101827015,-0.3204442755856157,0.937215997622156,0.3364566899319994,99,16,Wet Tropics,fit,0.7506096599406231
six_management_stratified,Pocilloporidae,heatwave_years_5yr_z,0.39959271904467963,-1.1765890922647686,1.9757745303541276,0.6192673585937959,85,14,Wet Tropics,fit,0.7506096599406231
six_management_stratified,Porites,heatwave_years_5yr_z,-0.3690155405390889,-1.7758981838763734,1.0378671027981956,0.6071926111421396,99,16,Wet Tropics,fit,0.7506096599406231
six_management_stratified,Acropora,heatwave_years_5yr_z,-0.16930820254850953,-1.863306441372861,1.524690036275842,0.8446959575456228,99,16,Wet Tropics,fit,0.8446959575456228
