data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,reefpage_category,shelf,mean,count_group,series,source_file
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,ALGAE,31.852115892160803,29.57736999312257,34.054964286635865,LTMP,9,_,Coralline algae, ,31.820769271300243,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,ALGAE,23.29608245324705,21.439007752137865,25.391305793948867,LTMP,9,_,Turf algae, ,23.343540107811062,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,ALGAE,0.087438675178266,0.0165351809007494,0.3296737866179484,LTMP,9,_,Red Macroalgae, ,0.1185726525285108,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,ALGAE,0.0,0.0,0.0,LTMP,9,_,Unidentified Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,ALGAE,0.2251112449894079,0.0737723628405346,0.484787687406438,LTMP,9,_,Green Macroalgae, ,0.2506481466298904,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,ALGAE,0.0,0.0,0.0,LTMP,9,_,Other Brown Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,HARD CORAL,5.725282388577047,4.488283778412377,7.207725757566565,LTMP,9,_,Acropora, ,5.768694716851917,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,HARD CORAL,4.012919988530975,2.95248939099379,5.254138197240615,LTMP,9,_,Pocilloporidae, ,4.056326328254073,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,HARD CORAL,2.7648545821718664,1.880247201228996,3.7236827102243577,LTMP,9,_,Isopora, ,2.813195123415233,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,HARD CORAL,1.312721603664928,0.7283004187648262,2.037810233667557,LTMP,9,_,Merulinidae, ,1.3543527024760462,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,HARD CORAL,0.6210809525615733,0.2822076332131857,1.1571942902031862,LTMP,9,_,Other, ,0.6666166162093751,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,HARD CORAL,0.2222501955252721,0.04558282979248,0.5578732450639866,LTMP,9,_,Porites, ,0.2586373559687153,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,HARD CORAL,2.5764765654353523,1.6675606582402829,3.606141526361369,LTMP,9,_,Unidentified, ,2.6069991539694843,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,SOFT CORAL,0.0,0.0,0.0,LTMP,9,_,Xeniidae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,SOFT CORAL,16.472059305444297,7.7741868333222675,21.711818156472997,LTMP,9,_,Unidentified, ,16.32185871302749,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1994,1994.120547945205,SOFT CORAL,0.0,0.0,0.0,LTMP,9,_,Nephtheidae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
