data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Agincourt Reef No.1",1995,"1995.27671232876712326","Large fishes",59.570642282250546,54.11030858023994,64.94606914208107,"LTMP",9,"_"," ",59.57925190836555,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",1996,"1996.0273972602739726","Large fishes",57.964709852035895,52.50398562306301,62.90707851257157,"LTMP",9,"_"," ",57.98363073514277,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",1997,"1997.07397260273972603","Large fishes",47.0883183319862,42.313617501734136,51.56912156494989,"LTMP",9,"_"," ",47.0996460177909,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",1998,"1998.07397260273972603","Large fishes",48.35336785833529,43.735063436302134,53.23455312438431,"LTMP",9,"_"," ",48.478180686897176,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",1999,"1999.07671232876712329","Large fishes",41.67891789117923,37.75647109893385,46.368196804522704,"LTMP",9,"_"," ",41.685490037331476,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2000,"2000.06301369863013699","Large fishes",38.51958247630746,34.552347374412264,42.59347253151302,"LTMP",9,"_"," ",38.59689965018874,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2001,"2001.07671232876712329","Large fishes",44.114645149204115,39.58051861440535,48.55228803223622,"LTMP",9,"_"," ",44.155029079622125,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2002,"2001.7041095890410959","Large fishes",35.21274286306915,31.54183897454294,39.12087821673384,"LTMP",9,"_"," ",35.22678498638267,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2003,"2002.8164383561643835","Large fishes",41.33894592439577,36.98838803547749,45.22158096490234,"LTMP",9,"_"," ",41.34762032793499,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2004,"2004.0136986301369863","Large fishes",44.47313710351034,40.34884780602506,49.29901577488293,"LTMP",9,"_"," ",44.55674741359979,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2005,"2005.07397260273972603","Large fishes",57.088678389691054,52.192853033016476,62.641240241108775,"LTMP",9,"_"," ",57.278451065288046,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2006,"2005.7972602739726027","Large fishes",45.94480792374466,41.77387218179346,50.61669423192195,"LTMP",9,"_"," ",45.936352903298996,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2007,"2007.019178082191780823","Large fishes",54.11093420007167,48.864477704034954,58.76328417832197,"LTMP",9,"_"," ",54.14523183732704,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2008,"2008.32054794520547947","Large fishes",46.05059888857225,42.105705310581385,50.54316003441497,"LTMP",9,"_"," ",46.08842565671566,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2009,"2009.09863013698630137","Large fishes",47.0492340429985,42.569602967342504,51.73700805190685,"LTMP",9,"_"," ",47.085467558416546,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2010,"2009.8876712328767123","Large fishes",54.561596451647716,48.9427940579555,59.283271402776165,"LTMP",9,"_"," ",54.56280542018332,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2011,"2011.07123287671232877","Large fishes",42.633857811779926,39.244924693507826,47.26161459087155,"LTMP",9,"_"," ",42.76213334907448,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2012,"2012.12876712328767123","Large fishes",86.76212807206852,79.15621706904427,93.51369383571527,"LTMP",9,"_"," ",86.9916564714493,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2013,"2013.021917808219178082","Large fishes",70.10172711190364,63.77608564610363,75.90792393158719,"LTMP",9,"_"," ",70.13838631795483,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2014,"2014.20273972602739726","Large fishes",93.84198026654323,85.91668519359845,100.9633468801536,"LTMP",9,"_"," ",93.8862759259589,"restricted","9.0m"
"fish","reef","Agincourt Reef No.1",2015,"2015.1726027397260274","Large fishes",70.85173117560558,64.77245171916574,77.13428909455843,"LTMP",9,"_"," ",70.94024768727957,"restricted","9.0m"
