"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"juvenile","reef","Border Island","2007","2007.23013698630136986","ABUNDANCE","7.973191136089053","5.010913925701416","11.77958258185552","LTMP","9","_"," ","8.123516115590617","null","9.0m"
"juvenile","reef","Border Island","2009","2009.2602739726027397","ABUNDANCE","3.8720163648892187","2.12347857949251","6.11332424460309","LTMP","9","_"," ","3.9963816545816733","null","9.0m"
"juvenile","reef","Border Island","2011","2011.22465753424657534","ABUNDANCE","8.200942097381526","4.805834991613887","11.987618742504921","LTMP","9","_"," ","8.343337108641261","null","9.0m"
"juvenile","reef","Border Island","2013","2013.29863013698630136","ABUNDANCE","14.886325629101606","9.793973356311383","20.628558076123944","LTMP","9","_"," ","15.248228356922798","null","9.0m"
"juvenile","reef","Border Island","2015","2015.04657534246575343","ABUNDANCE","13.249332105649973","8.737331401536444","18.388764760069776","LTMP","9","_"," ","13.409610580122063","null","9.0m"
"juvenile","reef","Border Island","2017","2017.16986301369863013","ABUNDANCE","16.708137163688114","11.260962459043418","23.504053565914806","LTMP","9","_"," ","17.04148985607962","null","9.0m"
"juvenile","reef","Border Island","2019","2019.3287671232876712","ABUNDANCE","3.1809082175542054","1.806235416729422","4.56386189292273","LTMP","9","_"," ","3.236951763374205","null","9.0m"
"juvenile","reef","Border Island","2021","2021.12876712328767123","ABUNDANCE","7.018016124317935","4.688140777776731","9.685854350197884","LTMP","9","_"," ","7.091691404354586","null","9.0m"
"juvenile","reef","Border Island","2022","2022.1506849315068493","ABUNDANCE","6.15001780668995","4.005142815543371","8.538691006208298","LTMP","9","_"," ","6.2457162169410445","null","9.0m"
"juvenile","reef","Border Island","2023","2023.1095890410958904","ABUNDANCE","6.489792915008765","4.347047012162204","9.197335499240078","LTMP","9","_"," ","6.559077706124322","null","9.0m"
"juvenile","reef","Border Island","2025","2025.2273972602739726","ABUNDANCE","11.391905860929747","7.355672277691428","15.315832038200126","LTMP","9","_"," ","11.648638134698409","null","9.0m"
