"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Border Island","1994","1994.27671232876712326","ALGAE","23.10711659613819","16.971926318409338","28.816060323493314","LTMP","9","_"," ","23.204544735529264","null","9.0m"
"photo-transect","reef","Border Island","1995","1995.13972602739726028","ALGAE","24.883529571251874","18.862654482591307","31.3129074342815","LTMP","9","_"," ","25.065484181327292","null","9.0m"
"photo-transect","reef","Border Island","1996","1996.10410958904109589","ALGAE","26.65129235213494","20.82067965149147","33.1496653954306","LTMP","9","_"," ","26.796145443570367","null","9.0m"
"photo-transect","reef","Border Island","1997","1997.31232876712328766","ALGAE","22.467292781733768","16.4705976632428","27.96397076093439","LTMP","9","_"," ","22.57151353353261","null","9.0m"
"photo-transect","reef","Border Island","1998","1998.13972602739726028","ALGAE","27.99763918409459","21.696430230245994","34.829966436884945","LTMP","9","_"," ","28.183059335743295","null","9.0m"
"photo-transect","reef","Border Island","1999","1999.19452054794520549","ALGAE","22.07833945612034","17.02331752486462","28.420701027363133","LTMP","9","_"," ","22.113632857115398","null","9.0m"
"photo-transect","reef","Border Island","2000","2000.23013698630136986","ALGAE","23.39426250431324","17.78616182414782","29.149408870465365","LTMP","9","_"," ","23.550731050168753","null","9.0m"
"photo-transect","reef","Border Island","2001","2001.23835616438356164","ALGAE","31.307366700463955","25.031704984279052","38.595434714774015","LTMP","9","_"," ","31.390592273873384","null","9.0m"
"photo-transect","reef","Border Island","2002","2001.8657534246575342","ALGAE","35.343134775198806","28.646708762375845","43.223610578599434","LTMP","9","_"," ","35.47919157220413","null","9.0m"
"photo-transect","reef","Border Island","2003","2002.915068493150685","ALGAE","38.686675120356554","31.16084892000363","45.9473339744427","LTMP","9","_"," ","38.96623445308068","null","9.0m"
"photo-transect","reef","Border Island","2004","2004.14794520547945206","ALGAE","31.049659931180923","24.21690730732488","37.35122542697858","LTMP","9","_"," ","31.007637341155515","null","9.0m"
"photo-transect","reef","Border Island","2005","2005.20273972602739726","ALGAE","26.494514236151872","20.14135436136247","32.74144928847441","LTMP","9","_"," ","26.655179500629313","null","9.0m"
"photo-transect","reef","Border Island","2007","2007.23013698630136986","ALGAE","25.70709349364503","19.505015859605507","31.542904778479464","LTMP","9","_"," ","25.80732010583352","null","9.0m"
"photo-transect","reef","Border Island","2009","2009.2602739726027397","ALGAE","25.381918029846478","18.93122882745343","31.27850156445958","LTMP","9","_"," ","25.427045989677012","null","9.0m"
"photo-transect","reef","Border Island","2011","2011.22465753424657534","ALGAE","21.558969036133462","16.55490809413301","27.63095765085735","LTMP","9","_"," ","21.753462142333404","null","9.0m"
"photo-transect","reef","Border Island","2013","2013.29863013698630136","ALGAE","26.256386563555022","20.241998332416745","32.390666358516185","LTMP","9","_"," ","26.32395882223938","null","9.0m"
"photo-transect","reef","Border Island","2015","2015.04657534246575343","ALGAE","33.29664039776303","26.921164768991723","40.569067063826544","LTMP","9","_"," ","33.43488742153013","null","9.0m"
"photo-transect","reef","Border Island","2017","2017.16986301369863013","ALGAE","28.589784339024337","22.304181949202043","35.17314421795774","LTMP","9","_"," ","28.64536264975161","null","9.0m"
"photo-transect","reef","Border Island","2019","2019.3287671232876712","ALGAE","47.94122437462606","39.920865831162274","56.131323568423085","LTMP","9","_"," ","47.92779054437148","null","9.0m"
"photo-transect","reef","Border Island","2021","2021.12876712328767123","ALGAE","51.364961361204344","43.11970001717958","58.91418193855165","LTMP","9","_"," ","51.36888082965116","null","9.0m"
"photo-transect","reef","Border Island","2022","2022.1506849315068493","ALGAE","53.56137921820909","45.334662495742094","61.28196636893528","LTMP","9","_"," ","53.419204577189795","null","9.0m"
"photo-transect","reef","Border Island","2023","2023.1095890410958904","ALGAE","52.36494841524693","44.61838292548432","60.455079696125004","LTMP","9","_"," ","52.350271184195854","null","9.0m"
"photo-transect","reef","Border Island","2025","2025.2273972602739726","ALGAE","41.47566236527032","33.582361342016384","48.57978990626551","LTMP","9","_"," ","41.350011350598635","null","9.0m"
