"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Border Island","1994","1994.27671232876712326","HARD CORAL","23.458968498650474","19.069456080594136","27.9498572055757","LTMP","9","_"," ","23.476479123872846","null","9.0m"
"photo-transect","reef","Border Island","1995","1995.13972602739726028","HARD CORAL","24.706468640455213","20.392955594094047","29.870332793347455","LTMP","9","_"," ","24.872922261337717","null","9.0m"
"photo-transect","reef","Border Island","1996","1996.10410958904109589","HARD CORAL","25.620448821907814","21.200031761188708","30.711652163586713","LTMP","9","_"," ","25.69968838972047","null","9.0m"
"photo-transect","reef","Border Island","1997","1997.31232876712328766","HARD CORAL","25.20355480416886","21.12722396885594","30.49061308102865","LTMP","9","_"," ","25.313188153771637","null","9.0m"
"photo-transect","reef","Border Island","1998","1998.13972602739726028","HARD CORAL","26.531090473533148","22.241568683313716","32.29973846396839","LTMP","9","_"," ","26.66521244808841","null","9.0m"
"photo-transect","reef","Border Island","1999","1999.19452054794520549","HARD CORAL","27.958584468450326","23.112548061176284","33.348681460160485","LTMP","9","_"," ","28.105695605669222","null","9.0m"
"photo-transect","reef","Border Island","2000","2000.23013698630136986","HARD CORAL","26.263007321737092","21.728872192578784","31.863022272925868","LTMP","9","_"," ","26.429682123948968","null","9.0m"
"photo-transect","reef","Border Island","2001","2001.23835616438356164","HARD CORAL","23.172672762851644","18.878246022109828","27.65824411394446","LTMP","9","_"," ","23.233723580877836","null","9.0m"
"photo-transect","reef","Border Island","2002","2001.8657534246575342","HARD CORAL","28.79857437636153","23.784256404323646","34.81362355334454","LTMP","9","_"," ","29.011723799190946","null","9.0m"
"photo-transect","reef","Border Island","2003","2002.915068493150685","HARD CORAL","26.476308390365787","21.666711633381574","31.41159290909471","LTMP","9","_"," ","26.63892584289085","null","9.0m"
"photo-transect","reef","Border Island","2004","2004.14794520547945206","HARD CORAL","27.512917012971737","22.87725791857344","32.67948375073673","LTMP","9","_"," ","27.65537523851548","null","9.0m"
"photo-transect","reef","Border Island","2005","2005.20273972602739726","HARD CORAL","25.7793179950624","21.798507415001577","31.434754700469043","LTMP","9","_"," ","25.9025307125706","null","9.0m"
"photo-transect","reef","Border Island","2007","2007.23013698630136986","HARD CORAL","24.073277521610407","19.976172444372473","29.046852360115505","LTMP","9","_"," ","24.191127190397463","null","9.0m"
"photo-transect","reef","Border Island","2009","2009.2602739726027397","HARD CORAL","25.584614447257515","21.229307440698577","30.74417781694286","LTMP","9","_"," ","25.674580727897983","null","9.0m"
"photo-transect","reef","Border Island","2011","2011.22465753424657534","HARD CORAL","29.387881544065188","24.46518547020676","34.89262806358792","LTMP","9","_"," ","29.540165701001747","null","9.0m"
"photo-transect","reef","Border Island","2013","2013.29863013698630136","HARD CORAL","29.060391429387856","24.164872882983417","34.622469350132235","LTMP","9","_"," ","29.175529693036413","null","9.0m"
"photo-transect","reef","Border Island","2015","2015.04657534246575343","HARD CORAL","30.67038828205221","24.407979830512833","36.50844013122096","LTMP","9","_"," ","30.843460573431138","null","9.0m"
"photo-transect","reef","Border Island","2017","2017.16986301369863013","HARD CORAL","33.29279079797601","27.533056499476967","39.72375436516059","LTMP","9","_"," ","33.36956898999796","null","9.0m"
"photo-transect","reef","Border Island","2019","2019.3287671232876712","HARD CORAL","18.833476666235303","15.725410358926617","22.969634998832834","LTMP","9","_"," ","18.946700216452733","null","9.0m"
"photo-transect","reef","Border Island","2021","2021.12876712328767123","HARD CORAL","18.86293731878621","15.37802350819632","22.559209193378233","LTMP","9","_"," ","18.971998285408137","null","9.0m"
"photo-transect","reef","Border Island","2022","2022.1506849315068493","HARD CORAL","16.01382998899257","12.913930003009039","19.303441717258412","LTMP","9","_"," ","16.1221287770108","null","9.0m"
"photo-transect","reef","Border Island","2023","2023.1095890410958904","HARD CORAL","17.622530561778547","14.629542893413097","21.109846788483484","LTMP","9","_"," ","17.679960162084726","null","9.0m"
"photo-transect","reef","Border Island","2025","2025.2273972602739726","HARD CORAL","17.49104063484428","14.611369302684366","21.26149598998434","LTMP","9","_"," ","17.624333176752504","null","9.0m"
