a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"CB","Burnett Mary","Boult Reef",1991,"1990.6958904109589041","COTS",40,1,"0.03"
"CB","Burnett Mary","Boult Reef",2006,"2006.336986301369863","COTS",50,0,"0.00"
"CB","Burnett Mary","Boult Reef",2008,"2007.9232876712328767","COTS",40,0,"0.00"
"CB","Burnett Mary","Boult Reef",2010,"2010.01643835616438356","COTS",41,1,"0.02"
"CB","Burnett Mary","Boult Reef",2012,"2011.9123287671232877","COTS",38,0,"0.00"
"CB","Burnett Mary","Boult Reef",2014,"2013.6986301369863014","COTS",40,2,"0.05"
"CB","Burnett Mary","Boult Reef",2016,"2015.7808219178082192","COTS",38,1,"0.03"
"CB","Burnett Mary","Boult Reef",2018,"2017.7863013698630137","COTS",40,0,"0.00"
"CB","Burnett Mary","Boult Reef",2020,"2020.0136986301369863","COTS",44,2,"0.05"
"CB","Burnett Mary","Boult Reef",2021,"2020.6383561643835617","COTS",42,0,"0.00"
"CB","Burnett Mary","Boult Reef",2026,"2025.8246575342465754","COTS",43,0,"0.00"
