data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Carter Reef",1995,"1994.7945205479452054","Small fishes",32.532658569869895,28.114691437001916,37.515173288137994,"LTMP",9,"_"," ",32.722346804414975,"restricted","9.0m"
"fish","reef","Carter Reef",1996,"1995.7671232876712328","Small fishes",44.03812413057964,38.34611357445916,49.63236133095788,"LTMP",9,"_"," ",44.17965538418387,"restricted","9.0m"
"fish","reef","Carter Reef",1997,"1997.17534246575342466","Small fishes",57.76349759424682,51.38086873800209,64.70562697573683,"LTMP",9,"_"," ",57.98755546812328,"restricted","9.0m"
"fish","reef","Carter Reef",1998,"1997.7835616438356164","Small fishes",74.48475182101183,67.24162899366753,81.90551628428435,"LTMP",9,"_"," ",74.64273197211135,"restricted","9.0m"
"fish","reef","Carter Reef",1999,"1998.7753424657534247","Small fishes",63.46770084997855,56.61574104365165,70.63256379676733,"LTMP",9,"_"," ",63.53579593184791,"restricted","9.0m"
"fish","reef","Carter Reef",2000,"1999.7863013698630137","Small fishes",80.29537160693249,73.29709750065241,89.82912616069856,"LTMP",9,"_"," ",80.29608685442999,"restricted","9.0m"
"fish","reef","Carter Reef",2001,"2000.536986301369863","Small fishes",52.712430960979894,46.97200846483773,59.78052016436712,"LTMP",9,"_"," ",52.793491496353056,"restricted","9.0m"
"fish","reef","Carter Reef",2002,"2001.5150684931506849","Small fishes",69.84291464546469,61.96175868081948,77.21666770762467,"LTMP",9,"_"," ",70.00834387109022,"restricted","9.0m"
"fish","reef","Carter Reef",2003,"2002.5698630136986301","Small fishes",113.9288064682666,103.38307006870527,124.12314473801716,"LTMP",9,"_"," ",113.9493264191594,"restricted","9.0m"
"fish","reef","Carter Reef",2004,"2003.6465753424657534","Small fishes",124.79105795565408,111.71459277949052,135.8627464434124,"LTMP",9,"_"," ",124.95134542377845,"restricted","9.0m"
"fish","reef","Carter Reef",2005,"2004.6684931506849315","Small fishes",102.98128991301566,93.70450921107874,113.0981615304613,"LTMP",9,"_"," ",103.00150252999383,"restricted","9.0m"
"fish","reef","Carter Reef",2007,"2006.7890410958904109","Small fishes",133.184799278561,120.82692295626323,145.35429367748168,"LTMP",9,"_"," ",133.4534630112219,"restricted","9.0m"
"fish","reef","Carter Reef",2009,"2008.8383561643835616","Small fishes",158.20256750996384,144.64789015687836,171.74827389526476,"LTMP",9,"_"," ",158.38587020369144,"restricted","9.0m"
"fish","reef","Carter Reef",2011,"2010.8246575342465754","Small fishes",156.21028908825616,142.33789107472165,171.99230354504166,"LTMP",9,"_"," ",156.41163024910995,"restricted","9.0m"
"fish","reef","Carter Reef",2013,"2012.8082191780821918","Small fishes",124.11117663333545,113.60171273120541,136.65702874104755,"LTMP",9,"_"," ",124.26891947014241,"restricted","9.0m"
"fish","reef","Carter Reef",2015,"2014.9123287671232877","Small fishes",51.69627977552961,45.78272377651685,59.390280030157896,"LTMP",9,"_"," ",52.018585665368995,"restricted","9.0m"
"fish","reef","Carter Reef",2017,"2016.673972602739726","Small fishes",95.5964253035188,87.93949133270307,106.47529657878374,"LTMP",9,"_"," ",95.8119782630939,"restricted","9.0m"
"fish","reef","Carter Reef",2019,"2018.9452054794520548","Small fishes",62.55768326395222,55.88483348006254,69.26059171567532,"LTMP",9,"_"," ",62.63437285010117,"restricted","9.0m"
"fish","reef","Carter Reef",2021,"2020.8054794520547945","Small fishes",50.76134017758737,45.01359747796135,57.25643454952448,"LTMP",9,"_"," ",50.98919152956467,"restricted","9.0m"
"fish","reef","Carter Reef",2022,"2021.7041095890410959","Small fishes",93.83751144407434,85.50604599508056,102.92515460753887,"LTMP",9,"_"," ",93.94674148815892,"restricted","9.0m"
"fish","reef","Carter Reef",2022,"2021.7041095890410959","Small fishes",108.42237775228294,98.77873283772863,118.4114720404947,"LTMP",9,"_"," ",108.38296535748128,"expanded","9.0m"
"fish","reef","Carter Reef",2023,"2022.8082191780821918","Small fishes",66.08778426931809,58.83295371258015,75.08186600478037,"LTMP",9,"_"," ",66.4513564368138,"restricted","9.0m"
"fish","reef","Carter Reef",2023,"2022.8082191780821918","Small fishes",83.0282922681333,74.92438901517524,91.20446853341653,"LTMP",9,"_"," ",83.05495853602417,"expanded","9.0m"
"fish","reef","Carter Reef",2024,"2024.09041095890410959","Small fishes",83.3870384873549,74.51450843894911,92.5025947108684,"LTMP",9,"_"," ",83.50838976462315,"restricted","9.0m"
"fish","reef","Carter Reef",2024,"2024.09041095890410959","Small fishes",102.71571669471302,93.0883284481288,112.75687146173064,"LTMP",9,"_"," ",102.76394234402554,"expanded","9.0m"
"fish","reef","Carter Reef",2025,"2024.7232876712328767","Small fishes",47.12320117825723,40.96365012039695,53.60431773761232,"LTMP",9,"_"," ",47.33038811033029,"restricted","9.0m"
"fish","reef","Carter Reef",2025,"2024.7232876712328767","Small fishes",56.522482640732186,50.33613740529471,62.23292139561776,"LTMP",9,"_"," ",56.49682606795914,"expanded","9.0m"
