"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Carter Reef","1993","1993.38904109589041097","ALGAE","81.92245998421141","78.72096094475407","85.59318372396376","LTMP","9","_"," ","81.82818435755996","null","9.0m"
"photo-transect","reef","Carter Reef","1995","1994.7945205479452054","ALGAE","66.713199682329","63.94381039553389","69.59402725696847","LTMP","9","_"," ","66.71809735239604","null","9.0m"
"photo-transect","reef","Carter Reef","1996","1995.7671232876712328","ALGAE","55.83019205290027","53.33378124718616","58.80714877592008","LTMP","9","_"," ","55.806904333071216","null","9.0m"
"photo-transect","reef","Carter Reef","1997","1997.17534246575342466","ALGAE","40.09978551825218","37.96078059712708","42.340850502086006","LTMP","9","_"," ","40.10398445158046","null","9.0m"
"photo-transect","reef","Carter Reef","1998","1997.7835616438356164","ALGAE","31.356954435399544","29.37112376388256","33.19858026438393","LTMP","9","_"," ","31.36155039206659","null","9.0m"
"photo-transect","reef","Carter Reef","1999","1998.7753424657534247","ALGAE","23.488607844920995","21.49907347558116","25.404506384501257","LTMP","9","_"," ","23.450982693027022","null","9.0m"
"photo-transect","reef","Carter Reef","2000","1999.7863013698630137","ALGAE","30.37257932372959","28.57761848674559","32.30392614475001","LTMP","9","_"," ","30.39786773231612","null","9.0m"
"photo-transect","reef","Carter Reef","2001","2000.536986301369863","ALGAE","31.714955647709026","29.932076518530526","33.52994826268136","LTMP","9","_"," ","31.717448827234918","null","9.0m"
"photo-transect","reef","Carter Reef","2002","2001.5150684931506849","ALGAE","35.63340399660276","33.69025505024422","37.88435377800881","LTMP","9","_"," ","35.627681364146824","null","9.0m"
"photo-transect","reef","Carter Reef","2003","2002.5726027397260274","ALGAE","38.45969142751113","36.30711163919641","40.555132108777514","LTMP","9","_"," ","38.45575551990057","null","9.0m"
"photo-transect","reef","Carter Reef","2004","2003.6465753424657534","ALGAE","35.89948383873672","33.93572817143091","38.13406982544888","LTMP","9","_"," ","35.93157801132516","null","9.0m"
"photo-transect","reef","Carter Reef","2005","2004.6684931506849315","ALGAE","52.50627529634082","50.13250297961971","55.06962337244724","LTMP","9","_"," ","52.487460773165104","null","9.0m"
"photo-transect","reef","Carter Reef","2007","2006.7890410958904109","ALGAE","60.59189469609987","58.38427443951474","63.427244652798805","LTMP","9","_"," ","60.64798396698959","null","9.0m"
"photo-transect","reef","Carter Reef","2009","2008.8383561643835616","ALGAE","52.93043963799457","50.845462005468356","55.21887433213901","LTMP","9","_"," ","52.96558144192102","null","9.0m"
"photo-transect","reef","Carter Reef","2011","2010.8246575342465754","ALGAE","48.224146420466305","45.9554095762813","50.53568354387098","LTMP","9","_"," ","48.237457163947084","null","9.0m"
"photo-transect","reef","Carter Reef","2013","2012.8082191780821918","ALGAE","60.580481262770746","57.99249544543355","62.929533981459294","LTMP","9","_"," ","60.57919658546042","null","9.0m"
"photo-transect","reef","Carter Reef","2015","2014.9123287671232877","ALGAE","67.35195648410111","64.82495348062974","70.14077278608886","LTMP","9","_"," ","67.3495399438823","null","9.0m"
"photo-transect","reef","Carter Reef","2017","2016.673972602739726","ALGAE","83.53640532692064","80.7202651732122","86.43512159120309","LTMP","9","_"," ","83.565286168255","null","9.0m"
"photo-transect","reef","Carter Reef","2019","2018.9452054794520548","ALGAE","82.21991192590782","79.55588432911807","85.04008789500361","LTMP","9","_"," ","82.22715932789882","null","9.0m"
"photo-transect","reef","Carter Reef","2021","2020.8054794520547945","ALGAE","71.00020048219243","68.16863993462331","73.60532010646143","LTMP","9","_"," ","71.0794416283303","null","9.0m"
"photo-transect","reef","Carter Reef","2022","2021.7041095890410959","ALGAE","63.36221289282658","60.6804035702195","65.75623443422214","LTMP","9","_"," ","63.35126608301115","null","9.0m"
"photo-transect","reef","Carter Reef","2023","2022.8082191780821918","ALGAE","59.70075569077588","56.848825451670805","61.8661844632433","LTMP","9","_"," ","59.61518310338717","null","9.0m"
"photo-transect","reef","Carter Reef","2024","2024.09041095890410959","ALGAE","54.19937179032199","51.77809987167821","56.678142798656","LTMP","9","_"," ","54.18563520818493","null","9.0m"
"photo-transect","reef","Carter Reef","2025","2024.7232876712328767","ALGAE","49.8067947394807","47.19317938275952","52.15849415801381","LTMP","9","_"," ","49.79891745331808","null","9.0m"
