data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Chicken Reef",1995,"1995.29041095890410956","Small fishes",137.31801685073071,122.91018329185039,151.0195402242013,"LTMP",9,"_"," ",137.62901276740104,"restricted","9.0m"
"fish","reef","Chicken Reef",1996,"1996.32054794520547947","Small fishes",191.7671462214542,174.03205838615892,211.66942613415372,"LTMP",9,"_"," ",191.89534998678724,"restricted","9.0m"
"fish","reef","Chicken Reef",1997,"1997.2410958904109589","Small fishes",142.01748319459355,127.20555299617995,156.98667068221621,"LTMP",9,"_"," ",142.2191108925779,"restricted","9.0m"
"fish","reef","Chicken Reef",1998,"1998.336986301369863","Small fishes",86.70186915841833,77.4878413287788,96.12736777094771,"LTMP",9,"_"," ",86.72300307896643,"restricted","9.0m"
"fish","reef","Chicken Reef",1999,"1999.3095890410958904","Small fishes",161.36383292036265,145.4245618973798,178.67390649136482,"LTMP",9,"_"," ",161.29357082770005,"restricted","9.0m"
"fish","reef","Chicken Reef",2000,"2000.336986301369863","Small fishes",82.37248930759338,72.8483504519594,91.70058000992233,"LTMP",9,"_"," ",82.48495264505851,"restricted","9.0m"
"fish","reef","Chicken Reef",2001,"2001.33424657534246577","Small fishes",80.81606323939286,73.03075064312574,90.39428820246522,"LTMP",9,"_"," ",81.00287049226026,"restricted","9.0m"
"fish","reef","Chicken Reef",2002,"2002.10136986301369863","Small fishes",93.07868225400398,83.1958837846003,103.71183306035651,"LTMP",9,"_"," ",93.35535601903602,"restricted","9.0m"
"fish","reef","Chicken Reef",2003,"2003.21095890410958903","Small fishes",120.07270010089647,107.99642605267043,133.423375866473,"LTMP",9,"_"," ",120.07064589211899,"restricted","9.0m"
"fish","reef","Chicken Reef",2004,"2004.3287671232876712","Small fishes",102.97895402902029,91.85197287820627,114.5570890692484,"LTMP",9,"_"," ",103.38595917387757,"restricted","9.0m"
"fish","reef","Chicken Reef",2005,"2005.34794520547945207","Small fishes",115.45742704358616,102.33767700040087,126.15384930893451,"LTMP",9,"_"," ",115.41549300879268,"restricted","9.0m"
"fish","reef","Chicken Reef",2006,"2006.7287671232876712","Small fishes",144.43572448187803,129.86633783294124,159.9584118115863,"LTMP",9,"_"," ",144.47949058042954,"restricted","9.0m"
"fish","reef","Chicken Reef",2007,"2007.37534246575342467","Small fishes",104.27190840069343,93.16391451971937,116.02511491032865,"LTMP",9,"_"," ",104.41765727415812,"restricted","9.0m"
"fish","reef","Chicken Reef",2008,"2008.37534246575342467","Small fishes",97.17982996457852,86.30692300325673,107.76679566680657,"LTMP",9,"_"," ",97.09830894673598,"restricted","9.0m"
"fish","reef","Chicken Reef",2009,"2009.32602739726027397","Small fishes",107.618042515269,95.7521714274414,120.56963265804335,"LTMP",9,"_"," ",107.82491717509777,"restricted","9.0m"
"fish","reef","Chicken Reef",2010,"2010.27671232876712326","Small fishes",112.39489730802656,100.63657345117144,126.6319940848358,"LTMP",9,"_"," ",112.69319080140242,"restricted","9.0m"
"fish","reef","Chicken Reef",2011,"2011.336986301369863","Small fishes",114.05252528697139,102.31054318153225,129.54775799842346,"LTMP",9,"_"," ",114.22252013793944,"restricted","9.0m"
"fish","reef","Chicken Reef",2012,"2012.3150684931506849","Small fishes",78.77623347921815,69.68471353371552,88.51908116408215,"LTMP",9,"_"," ",78.85243944162715,"restricted","9.0m"
