"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Chicken Reef","1994","1993.9342465753424658","HARD CORAL","30.369525404825225","27.851294160535726","33.272593004444175","LTMP","9","_"," ","30.38718717383283","null","9.0m"
"photo-transect","reef","Chicken Reef","1995","1995.29041095890410956","HARD CORAL","31.730778731793063","29.08912745622366","34.430396460795606","LTMP","9","_"," ","31.743537843649676","null","9.0m"
"photo-transect","reef","Chicken Reef","1996","1996.32054794520547947","HARD CORAL","38.106200244444175","35.45453086731298","40.80380911394175","LTMP","9","_"," ","38.11926614032772","null","9.0m"
"photo-transect","reef","Chicken Reef","1997","1997.2410958904109589","HARD CORAL","36.07423248019692","33.77611895510024","38.938451655377634","LTMP","9","_"," ","36.09336558410959","null","9.0m"
"photo-transect","reef","Chicken Reef","1998","1998.336986301369863","HARD CORAL","42.07516180342136","38.9714614257622","44.99366813023798","LTMP","9","_"," ","42.130746593968745","null","9.0m"
"photo-transect","reef","Chicken Reef","1999","1999.3095890410958904","HARD CORAL","42.995246371536155","40.38409620944418","46.18346704640688","LTMP","9","_"," ","43.089550704483166","null","9.0m"
"photo-transect","reef","Chicken Reef","2000","2000.336986301369863","HARD CORAL","37.233569260639996","34.64632887309463","39.85110662840792","LTMP","9","_"," ","37.22578382078904","null","9.0m"
"photo-transect","reef","Chicken Reef","2001","2001.33424657534246577","HARD CORAL","37.586684225625376","34.799991567297056","40.181613369897924","LTMP","9","_"," ","37.57754591637416","null","9.0m"
"photo-transect","reef","Chicken Reef","2002","2002.10136986301369863","HARD CORAL","36.87371437639598","34.3389361907603","39.52026741595823","LTMP","9","_"," ","36.92758436561693","null","9.0m"
"photo-transect","reef","Chicken Reef","2003","2003.21095890410958903","HARD CORAL","28.362267167927385","26.040122499095737","30.35328362929749","LTMP","9","_"," ","28.341773810864595","null","9.0m"
"photo-transect","reef","Chicken Reef","2004","2004.3287671232876712","HARD CORAL","12.932070036812588","11.518450272888481","14.291234257438331","LTMP","9","_"," ","12.959340681239572","null","9.0m"
"photo-transect","reef","Chicken Reef","2005","2005.3315068493150685","HARD CORAL","13.44806229266798","11.959131334741036","14.768204013379343","LTMP","9","_"," ","13.450420583640154","null","9.0m"
"photo-transect","reef","Chicken Reef","2006","2006.7287671232876712","HARD CORAL","12.374028050955337","11.059761282322008","13.790923820935614","LTMP","9","_"," ","12.400743339033031","null","9.0m"
"photo-transect","reef","Chicken Reef","2007","2007.37534246575342467","HARD CORAL","13.829558980264736","12.294940003258274","15.328918715249133","LTMP","9","_"," ","13.857788521963446","null","9.0m"
"photo-transect","reef","Chicken Reef","2008","2008.37534246575342467","HARD CORAL","13.58178717482178","12.219872540034565","15.082748630510757","LTMP","9","_"," ","13.584785063580432","null","9.0m"
"photo-transect","reef","Chicken Reef","2009","2009.32602739726027397","HARD CORAL","15.60894714451329","14.143721024024014","17.283197893153684","LTMP","9","_"," ","15.616305495816334","null","9.0m"
"photo-transect","reef","Chicken Reef","2010","2010.27671232876712326","HARD CORAL","15.313234705738438","13.797821377861098","16.829086502647417","LTMP","9","_"," ","15.318616974406215","null","9.0m"
"photo-transect","reef","Chicken Reef","2011","2011.336986301369863","HARD CORAL","7.854710493960118","6.785361948254683","8.995717114361739","LTMP","9","_"," ","7.8779503030466005","null","9.0m"
"photo-transect","reef","Chicken Reef","2012","2012.3150684931506849","HARD CORAL","7.523248838534685","6.6264408714238705","8.662838957939481","LTMP","9","_"," ","7.5601379490305725","null","9.0m"
"photo-transect","reef","Chicken Reef","2013","2013.3863013698630137","HARD CORAL","10.703593441969785","9.55965598603709","12.01413502726","LTMP","9","_"," ","10.726066216126611","null","9.0m"
"photo-transect","reef","Chicken Reef","2014","2014.3315068493150685","HARD CORAL","13.774886874462396","12.441761637178999","15.305746174289652","LTMP","9","_"," ","13.81721562957376","null","9.0m"
"photo-transect","reef","Chicken Reef","2015","2015.336986301369863","HARD CORAL","16.53761441739176","15.00890941482362","18.13658724446001","LTMP","9","_"," ","16.5574586847676","null","9.0m"
"photo-transect","reef","Chicken Reef","2016","2016.3698630136986301","HARD CORAL","21.38241591596179","19.688649260662245","23.325722464358652","LTMP","9","_"," ","21.41436222765299","null","9.0m"
"photo-transect","reef","Chicken Reef","2017","2017.3589041095890411","HARD CORAL","24.97612714493656","23.12400841473465","27.038219147213056","LTMP","9","_"," ","25.000602671317516","null","9.0m"
"photo-transect","reef","Chicken Reef","2018","2018.3178082191780822","HARD CORAL","28.053603990574082","25.890433914763513","30.2590434724323","LTMP","9","_"," ","28.119333102519416","null","9.0m"
"photo-transect","reef","Chicken Reef","2020","2020.4054794520547945","HARD CORAL","37.56842739786765","35.023271814861964","40.16265278724187","LTMP","9","_"," ","37.56637384451145","null","9.0m"
"photo-transect","reef","Chicken Reef","2021","2021.21643835616438356","HARD CORAL","44.593836532720175","41.88854545359807","47.39980261784004","LTMP","9","_"," ","44.55431412108499","null","9.0m"
"photo-transect","reef","Chicken Reef","2022","2022.1589041095890411","HARD CORAL","47.0225936261557","44.08090474438329","49.79950218013066","LTMP","9","_"," ","47.02509147969064","null","9.0m"
"photo-transect","reef","Chicken Reef","2023","2023.3452054794520548","HARD CORAL","48.47821924014044","45.58730286519732","51.67459575919501","LTMP","9","_"," ","48.513518221691015","null","9.0m"
"photo-transect","reef","Chicken Reef","2024","2024.10684931506849316","HARD CORAL","42.21354198087196","39.5531175110195","45.21411546867902","LTMP","9","_"," ","42.27768107465533","null","9.0m"
"photo-transect","reef","Chicken Reef","2025","2025.25205479452054796","HARD CORAL","40.47810662642289","37.90962735276402","43.473363803185975","LTMP","9","_"," ","40.47068978248909","null","9.0m"
