"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"juvenile","reef","Chinaman Reef (22-102)","2008","2007.9452054794520548","ABUNDANCE","27.31203917472257","22.641147771327613","32.761590492355666","LTMP","9","_"," ","27.46912163583206","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2009","2008.9123287671232877","ABUNDANCE","29.99482835709304","25.170321362046266","35.18861516338241","LTMP","9","_"," ","30.030777150127612","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2010","2010.038356164383561646","ABUNDANCE","27.745119597124138","23.47899894353502","33.03598445494339","LTMP","9","_"," ","27.85051663267528","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2011","2010.9397260273972603","ABUNDANCE","25.02617660001958","20.320111431841468","29.170748754252173","LTMP","9","_"," ","25.055149756143383","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2013","2012.6684931506849315","ABUNDANCE","33.004491005177705","27.63847722782192","38.436357721988735","LTMP","9","_"," ","33.11602841943467","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2014","2013.7150684931506849","ABUNDANCE","39.47100799955439","32.614493147770226","45.92566031644313","LTMP","9","_"," ","39.60275724103143","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2015","2015.057534246575342465","ABUNDANCE","34.50233266885323","28.36217144916447","40.28201899848248","LTMP","9","_"," ","34.61307993538799","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2016","2016.052054794520547946","ABUNDANCE","50.10902375749985","42.45486921145351","58.44226189987203","LTMP","9","_"," ","50.155431733526925","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2017","2017.06027397260273973","ABUNDANCE","45.11305353832164","37.286164832785246","52.131411337855745","LTMP","9","_"," ","45.08094455278834","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2018","2018.08493150684931507","ABUNDANCE","27.960693807877536","23.280364996087116","32.60293808775189","LTMP","9","_"," ","28.03576243500917","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2019","2019.27123287671232876","ABUNDANCE","19.190067723740746","15.95815629779013","22.273127499327412","LTMP","9","_"," ","19.23401360534023","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2020","2020.0410958904109589","ABUNDANCE","23.70882827504436","20.159236522579047","28.153583434564265","LTMP","9","_"," ","23.842420046675283","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2021","2020.6657534246575343","ABUNDANCE","16.8015919909856","13.929024047794709","19.861421604880046","LTMP","9","_"," ","16.874072070485678","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2022","2021.9287671232876712","ABUNDANCE","28.808626374666055","24.619367894097888","33.22317410764918","LTMP","9","_"," ","28.868262563474897","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2023","2022.6794520547945205","ABUNDANCE","33.221159756540814","28.280097982392505","38.43748139923296","LTMP","9","_"," ","33.29703687495954","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2024","2023.7561643835616438","ABUNDANCE","26.67738284906215","22.55047607105489","30.994549988456964","LTMP","9","_"," ","26.815932754228815","null","9.0m"
"juvenile","reef","Chinaman Reef (22-102)","2025","2024.8712328767123287","ABUNDANCE","26.969004590209074","22.619202140072566","31.153146296641292","LTMP","9","_"," ","27.03702687405986","null","9.0m"
