"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Chinaman Reef (22-102)","1993","1992.7671232876712328","ALGAE","54.31265321079919","47.11306388546244","60.746176966687294","LTMP","9","_"," ","54.283402675176575","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","1994","1994.38904109589041097","ALGAE","47.166260202082135","41.05892340970657","54.90118911803664","LTMP","9","_"," ","47.3171613164747","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","1995","1994.8712328767123287","ALGAE","42.93094393296889","37.008554506701316","49.98858778744429","LTMP","9","_"," ","42.94449828519124","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","1996","1995.9068493150684932","ALGAE","44.3668112660112","38.35773193158269","51.15963711732153","LTMP","9","_"," ","44.44174378428374","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","1997","1996.8465753424657534","ALGAE","36.615137714969734","30.743437000625672","42.3868956773316","LTMP","9","_"," ","36.6772234422009","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","1998","1997.9205479452054794","ALGAE","32.20995476064503","27.181554012101966","37.50782574690534","LTMP","9","_"," ","32.45536392723297","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","1999","1998.936986301369863","ALGAE","37.69005665567292","32.127524344113674","44.18881363308464","LTMP","9","_"," ","37.80216998054408","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","2000","1999.8986301369863013","ALGAE","36.87346116686228","31.20792559648949","42.548623679232236","LTMP","9","_"," ","36.91060522038861","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","2001","2000.684931506849315","ALGAE","29.82455803619028","24.402357850874782","34.83165318599198","LTMP","9","_"," ","29.906166163953518","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","2002","2001.6219178082191781","ALGAE","25.000602286436756","21.177514116172986","29.696900628721064","LTMP","9","_"," ","25.18624007990042","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","2003","2002.6821917808219178","ALGAE","27.98532775581164","23.436308910051125","32.81862597383339","LTMP","9","_"," ","28.002157608700777","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","2004","2003.8054794520547945","ALGAE","29.565585988541997","25.210729677245467","34.71237804937141","LTMP","9","_"," ","29.69912040602596","null","9.0m"
"photo-transect","reef","Chinaman Reef (22-102)","2005","2004.9123287671232877","ALGAE","33.15903429530827","28.081512608844406","39.165407433349564","LTMP","9","_"," ","33.246037735299346","null","9.0m"
