data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Corbett Reef",2019,"2019.0273972602739726","Harvested",36.04939569493721,25.78239436495394,48.29676661254172,"LTMP",9,"_"," ",36.460384673476156,"restricted","9.0m"
"fish","reef","Corbett Reef",2020,"2019.9315068493150684","Harvested",39.24895220919455,29.426470349458548,53.63631758895342,"LTMP",9,"_"," ",39.68871026471892,"restricted","9.0m"
"fish","reef","Corbett Reef",2021,"2020.9616438356164384","Harvested",43.976459779312066,30.46225375969937,57.63007551091348,"LTMP",9,"_"," ",44.460928242082126,"restricted","9.0m"
"fish","reef","Corbett Reef",2022,"2021.810958904109589","Harvested",33.01585396623799,23.055059326554357,44.34044244030736,"LTMP",9,"_"," ",33.41748007676875,"restricted","9.0m"
"fish","reef","Corbett Reef",2022,"2021.810958904109589","Harvested",37.52195914845057,26.625189888022405,49.671274728462045,"LTMP",9,"_"," ",38.04385481103331,"expanded","9.0m"
"fish","reef","Corbett Reef",2023,"2022.9397260273972603","Harvested",47.294610389869135,34.399047174647926,63.54252223152426,"LTMP",9,"_"," ",47.71551702462688,"restricted","9.0m"
"fish","reef","Corbett Reef",2023,"2022.9397260273972603","Harvested",69.71948173786329,49.897129636906314,94.21601781718375,"LTMP",9,"_"," ",70.77943935883515,"expanded","9.0m"
"fish","reef","Corbett Reef",2024,"2023.8904109589041096","Harvested",39.564138842435064,28.021893377643636,52.265232800643545,"LTMP",9,"_"," ",39.78110480103727,"restricted","9.0m"
"fish","reef","Corbett Reef",2024,"2023.8904109589041096","Harvested",40.72216733899849,27.650922954445328,53.179688463175495,"LTMP",9,"_"," ",41.289964166407806,"expanded","9.0m"
"fish","reef","Corbett Reef",2025,"2024.9287671232876712","Harvested",26.04537410438563,18.810178412353025,35.33519699349854,"LTMP",9,"_"," ",26.404308526677692,"restricted","9.0m"
"fish","reef","Corbett Reef",2025,"2024.9287671232876712","Harvested",28.662089483442564,19.870051898486647,38.2651611059352,"LTMP",9,"_"," ",29.14757538438722,"expanded","9.0m"
"fish","reef","Corbett Reef",2026,"2025.936986301369863","Harvested",45.317967904634514,32.71235898749123,60.45240742449769,"LTMP",9,"_"," ",45.95885532889202,"restricted","9.0m"
"fish","reef","Corbett Reef",2026,"2025.936986301369863","Harvested",49.33941710818719,35.68327728126215,66.06395337669306,"LTMP",9,"_"," ",49.813879577822384,"expanded","9.0m"
