data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"manta","reef","Davie Reef",1986,"1985.4136986301369863","HC",44.41470023096456,39.03200150291962,49.86262919646164,"LTMP",9,"_","Various",44.42308669681888,"null","9.0m"
"manta","reef","Davie Reef",1987,"1986.7890410958904109","HC",35.10130900440267,30.003278977384962,40.37142184027546,"LTMP",9,"_","Various",35.123470079010495,"null","9.0m"
"manta","reef","Davie Reef",1988,"1987.7753424657534247","HC",35.54554316521679,29.8701494184602,41.422278238454766,"LTMP",9,"_","Various",35.57146272842614,"null","9.0m"
"manta","reef","Davie Reef",1989,"1988.7506849315068493","HC",30.03711021133836,24.65778236769733,35.699503598004526,"LTMP",9,"_","Various",30.07353470251121,"null","9.0m"
"manta","reef","Davie Reef",1990,"1989.5671232876712329","HC",40.2581556180351,34.14033526660074,46.52269147057585,"LTMP",9,"_","Various",40.27704154500093,"null","9.0m"
"manta","reef","Davie Reef",1995,"1994.7534246575342466","HC",15.58404052208749,11.925774982970763,19.686614036098828,"LTMP",9,"_","Various",15.641202941386908,"null","9.0m"
"manta","reef","Davie Reef",1998,"1997.8164383561643835","HC",26.426213259067875,21.343191614033007,31.84462670750834,"LTMP",9,"_","Various",26.469364891337495,"null","9.0m"
"manta","reef","Davie Reef",2001,"2000.5643835616438356","HC",33.1791271393419,27.48388225277367,39.12116991687365,"LTMP",9,"_","Various",33.21089576172494,"null","9.0m"
"manta","reef","Davie Reef",2004,"2003.6821917808219178","HC",31.66990002058218,25.96620134213942,37.65222548623981,"LTMP",9,"_","Various",31.705750974657576,"null","9.0m"
"manta","reef","Davie Reef",2015,"2014.9205479452054794","HC",36.07289402019966,30.243374756820664,42.104670848931086,"LTMP",9,"_","Various",36.09892916214853,"null","9.0m"
"manta","reef","Davie Reef",2017,"2016.936986301369863","HC",26.35255725454444,21.221634455147267,31.82697135615433,"LTMP",9,"_","Various",26.396747681824312,"null","9.0m"
"manta","reef","Davie Reef",2019,"2019.01643835616438356","HC",25.57858749639323,20.927016663223238,30.532351861800226,"LTMP",9,"_","Various",25.617486115932287,"null","9.0m"
"manta","reef","Davie Reef",2020,"2019.9287671232876712","HC",26.293605262853998,21.478210321038336,31.414274312290686,"LTMP",9,"_","Various",26.33289351091102,"null","9.0m"
"manta","reef","Davie Reef",2021,"2020.9671232876712329","HC",33.074541460400596,27.387109365341704,39.01012508777898,"LTMP",9,"_","Various",33.10648350455703,"null","9.0m"
"manta","reef","Davie Reef",2022,"2021.7808219178082192","HC",40.013800240047495,33.838167625359176,46.34291247471382,"LTMP",9,"_","Various",40.03355615749932,"null","9.0m"
"manta","reef","Davie Reef",2023,"2022.915068493150685","HC",35.50986548411911,30.00483552189724,41.2058094414004,"LTMP",9,"_","Various",35.53444421896623,"null","9.0m"
"manta","reef","Davie Reef",2024,"2023.8876712328767123","HC",35.28917816028736,29.62991631733719,41.15328185245075,"LTMP",9,"_","Various",35.31554979789382,"null","9.0m"
"manta","reef","Davie Reef",2025,"2024.9260273972602739","HC",35.26377663816122,29.606139324357457,41.12662613313796,"LTMP",9,"_","Various",35.29019619380872,"null","9.0m"
"manta","reef","Davie Reef",2026,"2025.9342465753424658","HC",33.300186194250756,27.938859123487514,38.87981545831743,"LTMP",9,"_","Various",33.32829709575095,"null","9.0m"
