data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Davies Reef",1995,"1995.2876712328767123","Herbivores",36.2361133488546,30.159983447752786,42.57034283224567,"LTMP",9,"_"," ",36.38538366753233,"restricted","9.0m"
"fish","reef","Davies Reef",1996,"1996.33424657534246577","Herbivores",31.29268361105013,26.246788068084832,37.06770456875098,"LTMP",9,"_"," ",31.388978333508533,"restricted","9.0m"
"fish","reef","Davies Reef",1997,"1997.2191780821917808","Herbivores",31.88122269072239,25.951514332739524,37.09886969140529,"LTMP",9,"_"," ",32.01615217405313,"restricted","9.0m"
"fish","reef","Davies Reef",1998,"1998.33972602739726027","Herbivores",26.208279602572663,21.43939746605624,30.645176845176216,"LTMP",9,"_"," ",26.247125306532137,"restricted","9.0m"
"fish","reef","Davies Reef",1999,"1999.2876712328767123","Herbivores",26.096395160348813,21.396076642863235,31.067745584083614,"LTMP",9,"_"," ",26.20626485091962,"restricted","9.0m"
"fish","reef","Davies Reef",2000,"2000.36164383561643837","Herbivores",28.302203454615203,23.645721936852635,33.06779559443442,"LTMP",9,"_"," ",28.402735149423474,"restricted","9.0m"
"fish","reef","Davies Reef",2001,"2001.33972602739726027","Herbivores",28.238155907004817,23.286227383997005,33.15524805250989,"LTMP",9,"_"," ",28.330062311024353,"restricted","9.0m"
"fish","reef","Davies Reef",2002,"2002.0958904109589041","Herbivores",27.983915291060747,23.76134312008236,33.41119924538561,"LTMP",9,"_"," ",28.118464174508542,"restricted","9.0m"
"fish","reef","Davies Reef",2003,"2003.2","Herbivores",33.8410366930474,28.63797709822967,40.09771522410685,"LTMP",9,"_"," ",33.98401921825813,"restricted","9.0m"
"fish","reef","Davies Reef",2004,"2004.3232876712328767","Herbivores",37.89149734749241,31.72971564155509,43.86745174997288,"LTMP",9,"_"," ",37.998647705768484,"restricted","9.0m"
"fish","reef","Davies Reef",2005,"2005.3150684931506849","Herbivores",43.4757562073656,36.961642370412775,51.23991448726944,"LTMP",9,"_"," ",43.47156967709568,"restricted","9.0m"
"fish","reef","Davies Reef",2007,"2007.40273972602739727","Herbivores",48.933635600350705,40.718897252440286,56.48092751020937,"LTMP",9,"_"," ",49.101132180746795,"restricted","9.0m"
"fish","reef","Davies Reef",2009,"2009.3232876712328767","Herbivores",42.765740556557304,35.79976030749568,49.93899166529803,"LTMP",9,"_"," ",42.846226667986194,"restricted","9.0m"
"fish","reef","Davies Reef",2011,"2011.33972602739726027","Herbivores",49.9387258988992,42.8606834389799,58.467369192310215,"LTMP",9,"_"," ",50.00344952720141,"restricted","9.0m"
"fish","reef","Davies Reef",2013,"2013.3835616438356164","Herbivores",51.05820337144823,41.753886080778535,58.80974609918848,"LTMP",9,"_"," ",51.10402778005352,"restricted","9.0m"
"fish","reef","Davies Reef",2015,"2015.3315068493150685","Herbivores",46.265310877078115,39.622826496027635,54.554064090356206,"LTMP",9,"_"," ",46.37716729653028,"restricted","9.0m"
"fish","reef","Davies Reef",2017,"2017.34794520547945207","Herbivores",38.85949868635119,32.5510473096953,45.53610431446075,"LTMP",9,"_"," ",39.04484649522663,"restricted","9.0m"
"fish","reef","Davies Reef",2019,"2019.4301369863013699","Herbivores",34.798812152085745,29.45096911608292,40.83868329136319,"LTMP",9,"_"," ",34.89191700218411,"restricted","9.0m"
"fish","reef","Davies Reef",2021,"2021.23835616438356164","Herbivores",36.26590676068419,30.585423271961957,42.221409551871375,"LTMP",9,"_"," ",36.38349222637045,"restricted","9.0m"
"fish","reef","Davies Reef",2022,"2022.1726027397260274","Herbivores",44.910024582891296,38.720147843162316,52.88265728376854,"LTMP",9,"_"," ",45.086762517646854,"restricted","9.0m"
"fish","reef","Davies Reef",2022,"2022.1726027397260274","Herbivores",43.63329569233531,31.385514061484567,56.083602678669465,"LTMP",9,"_"," ",43.911883068379595,"expanded","9.0m"
"fish","reef","Davies Reef",2023,"2023.33972602739726027","Herbivores",43.864022153181494,37.59868700398212,50.99252526735023,"LTMP",9,"_"," ",43.96611826134442,"restricted","9.0m"
"fish","reef","Davies Reef",2023,"2023.33972602739726027","Herbivores",42.45865342567082,29.996964060891358,53.51346907376869,"LTMP",9,"_"," ",42.61619903589301,"expanded","9.0m"
"fish","reef","Davies Reef",2024,"2024.4191780821917808","Herbivores",54.9534102387159,46.69290158601229,63.964325940618146,"LTMP",9,"_"," ",55.182780274020345,"restricted","9.0m"
"fish","reef","Davies Reef",2024,"2024.4191780821917808","Herbivores",52.971315097083384,37.85837237758258,66.48381489182042,"LTMP",9,"_"," ",53.26595268207666,"expanded","9.0m"
"fish","reef","Davies Reef",2025,"2025.3643835616438356","Herbivores",48.9945355067852,42.073646014692834,57.080058905350114,"LTMP",9,"_"," ",49.09085429698121,"restricted","9.0m"
"fish","reef","Davies Reef",2025,"2025.3643835616438356","Herbivores",47.21611469417236,34.39399113017214,59.78706666056738,"LTMP",9,"_"," ",47.33212496614121,"expanded","9.0m"
