data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Davies Reef",1995,"1995.2876712328767123","Large fishes",37.00013184236094,31.861108929783455,42.22389607630378,"LTMP",9,"_"," ",37.149315770933256,"restricted","9.0m"
"fish","reef","Davies Reef",1996,"1996.33424657534246577","Large fishes",33.40112651634047,28.521686153407426,38.45060023871165,"LTMP",9,"_"," ",33.49851788825118,"restricted","9.0m"
"fish","reef","Davies Reef",1997,"1997.2191780821917808","Large fishes",39.25301789888696,33.44561376519875,44.71339952567575,"LTMP",9,"_"," ",39.32080270972645,"restricted","9.0m"
"fish","reef","Davies Reef",1998,"1998.33972602739726027","Large fishes",35.12512175707489,29.449671006462733,42.07673261177102,"LTMP",9,"_"," ",35.36217052556394,"restricted","9.0m"
"fish","reef","Davies Reef",1999,"1999.2876712328767123","Large fishes",31.152605388783357,26.29896818010186,36.57171809402609,"LTMP",9,"_"," ",31.269028689745664,"restricted","9.0m"
"fish","reef","Davies Reef",2000,"2000.36164383561643837","Large fishes",33.781678721945624,28.578187145697246,39.12902397970289,"LTMP",9,"_"," ",33.884580283025784,"restricted","9.0m"
"fish","reef","Davies Reef",2001,"2001.33972602739726027","Large fishes",31.800427903781692,27.501689887673624,36.403319329262736,"LTMP",9,"_"," ",31.883958279702068,"restricted","9.0m"
"fish","reef","Davies Reef",2002,"2002.0958904109589041","Large fishes",30.922798119364955,26.19270468533126,36.20793604943757,"LTMP",9,"_"," ",31.117135208123234,"restricted","9.0m"
"fish","reef","Davies Reef",2003,"2003.2","Large fishes",35.01210797334268,29.2881734659036,39.696872282511244,"LTMP",9,"_"," ",35.06779781108548,"restricted","9.0m"
"fish","reef","Davies Reef",2004,"2004.3232876712328767","Large fishes",39.255145156175516,33.715088327149644,44.918437888264485,"LTMP",9,"_"," ",39.37255283016822,"restricted","9.0m"
"fish","reef","Davies Reef",2005,"2005.3150684931506849","Large fishes",44.105117688879076,36.9475301846172,49.50840564574641,"LTMP",9,"_"," ",44.18846908771385,"restricted","9.0m"
"fish","reef","Davies Reef",2007,"2007.40273972602739727","Large fishes",50.510746318577645,43.90478530285874,58.550233907290384,"LTMP",9,"_"," ",50.68877616028615,"restricted","9.0m"
"fish","reef","Davies Reef",2009,"2009.3232876712328767","Large fishes",45.337345338159494,39.494582780799945,52.27995949886308,"LTMP",9,"_"," ",45.39638917729611,"restricted","9.0m"
"fish","reef","Davies Reef",2011,"2011.33972602739726027","Large fishes",49.346962766322136,42.79783481387889,56.52527807080963,"LTMP",9,"_"," ",49.42318100146417,"restricted","9.0m"
"fish","reef","Davies Reef",2013,"2013.3835616438356164","Large fishes",54.20569708556032,46.66844696863847,61.5272085442406,"LTMP",9,"_"," ",54.40159218094518,"restricted","9.0m"
"fish","reef","Davies Reef",2015,"2015.3315068493150685","Large fishes",42.6870106131855,37.00508555111213,49.58953081887245,"LTMP",9,"_"," ",42.81464773859975,"restricted","9.0m"
"fish","reef","Davies Reef",2017,"2017.34794520547945207","Large fishes",42.5622483373801,37.14473064254724,48.869929912676675,"LTMP",9,"_"," ",42.69939033319826,"restricted","9.0m"
"fish","reef","Davies Reef",2019,"2019.4301369863013699","Large fishes",43.08971852896555,36.80607127046596,48.97624831447607,"LTMP",9,"_"," ",43.184012312775614,"restricted","9.0m"
"fish","reef","Davies Reef",2021,"2021.23835616438356164","Large fishes",43.77067742095268,37.19782717647048,49.25483330902395,"LTMP",9,"_"," ",43.81031225697855,"restricted","9.0m"
"fish","reef","Davies Reef",2022,"2022.1726027397260274","Large fishes",47.9581836248423,41.33323832310457,54.2968504306854,"LTMP",9,"_"," ",48.14293392363717,"restricted","9.0m"
"fish","reef","Davies Reef",2022,"2022.1726027397260274","Large fishes",85.29332839320035,69.10958723368483,100.94429527949028,"LTMP",9,"_"," ",85.37475222137375,"expanded","9.0m"
"fish","reef","Davies Reef",2023,"2023.33972602739726027","Large fishes",45.00521731333298,38.666609682835606,51.66285043530503,"LTMP",9,"_"," ",45.03667726791829,"restricted","9.0m"
"fish","reef","Davies Reef",2023,"2023.33972602739726027","Large fishes",109.76185399406265,88.10146684765058,129.15570647687036,"LTMP",9,"_"," ",109.58546332759897,"expanded","9.0m"
"fish","reef","Davies Reef",2024,"2024.4191780821917808","Large fishes",57.78249918149048,50.6565414058352,66.01961897290992,"LTMP",9,"_"," ",57.96541491119001,"restricted","9.0m"
"fish","reef","Davies Reef",2024,"2024.4191780821917808","Large fishes",182.8034491186271,147.553734026517,214.63561809820527,"LTMP",9,"_"," ",182.75529220640405,"expanded","9.0m"
"fish","reef","Davies Reef",2025,"2025.3643835616438356","Large fishes",52.67884704039088,45.265259232960425,60.15806757891492,"LTMP",9,"_"," ",52.73009682068106,"restricted","9.0m"
"fish","reef","Davies Reef",2025,"2025.3643835616438356","Large fishes",172.95285767367224,141.5546474491499,207.42709829766721,"LTMP",9,"_"," ",172.93441677342574,"expanded","9.0m"
