data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Dip Reef",1995,"1995.27671232876712326","Herbivores",56.55842077829989,43.68379040482623,74.96041357482167,"LTMP",9,"_"," ",57.08584399810573,"restricted","9.0m"
"fish","reef","Dip Reef",1996,"1996.3150684931506849","Herbivores",58.570800571824776,44.22188857302363,76.68461767552681,"LTMP",9,"_"," ",59.00539522309925,"restricted","9.0m"
"fish","reef","Dip Reef",1997,"1997.23835616438356164","Herbivores",54.823579125562084,41.86534047843555,71.69794545118043,"LTMP",9,"_"," ",55.28309764368533,"restricted","9.0m"
"fish","reef","Dip Reef",1998,"1998.3315068493150685","Herbivores",50.551113432345616,36.8328292707523,64.49747728289772,"LTMP",9,"_"," ",50.87121997771556,"restricted","9.0m"
"fish","reef","Dip Reef",1999,"1999.3150684931506849","Herbivores",45.811311579128684,33.86728299267965,58.62948410055928,"LTMP",9,"_"," ",45.92774904251278,"restricted","9.0m"
"fish","reef","Dip Reef",2000,"2000.33424657534246577","Herbivores",39.50320605206477,28.936700404433132,50.827314296421115,"LTMP",9,"_"," ",39.73259634407905,"restricted","9.0m"
"fish","reef","Dip Reef",2001,"2001.3315068493150685","Herbivores",42.375386575076526,32.582664019273174,55.575543236367324,"LTMP",9,"_"," ",42.64339189146579,"restricted","9.0m"
"fish","reef","Dip Reef",2002,"2002.10684931506849316","Herbivores",35.887405013920045,27.390582050199182,46.63408803763076,"LTMP",9,"_"," ",36.02456632064929,"restricted","9.0m"
"fish","reef","Dip Reef",2003,"2003.20821917808219179","Herbivores",46.64651703104697,33.3065266330791,58.97234480114289,"LTMP",9,"_"," ",46.7545219255209,"restricted","9.0m"
"fish","reef","Dip Reef",2004,"2004.32602739726027397","Herbivores",57.706015125046534,42.142621812965366,73.99360161036512,"LTMP",9,"_"," ",58.05563203268477,"restricted","9.0m"
"fish","reef","Dip Reef",2005,"2005.3506849315068493","Herbivores",51.517851068803516,39.512324761028616,67.92596016795534,"LTMP",9,"_"," ",51.78669119261294,"restricted","9.0m"
"fish","reef","Dip Reef",2007,"2007.38082191780821917","Herbivores",43.74795157831758,31.776891551330475,55.438553871376676,"LTMP",9,"_"," ",44.01448573997229,"restricted","9.0m"
"fish","reef","Dip Reef",2009,"2009.3287671232876712","Herbivores",62.26169304454484,46.63768672952363,80.12531562447403,"LTMP",9,"_"," ",62.279208458095546,"restricted","9.0m"
"fish","reef","Dip Reef",2011,"2011.3315068493150685","Herbivores",67.61961871545432,49.95608326443076,87.98696714128064,"LTMP",9,"_"," ",68.27304722148205,"restricted","9.0m"
"fish","reef","Dip Reef",2013,"2013.38904109589041097","Herbivores",65.35044076060171,49.418016189305874,84.99698190425562,"LTMP",9,"_"," ",65.38917359910747,"restricted","9.0m"
"fish","reef","Dip Reef",2015,"2015.33972602739726027","Herbivores",52.88603994918644,38.35735167678209,67.60968698900703,"LTMP",9,"_"," ",53.172295758841194,"restricted","9.0m"
"fish","reef","Dip Reef",2017,"2017.35342465753424657","Herbivores",92.33333497137674,70.16857082838392,120.39421350608097,"LTMP",9,"_"," ",92.6524984462193,"restricted","9.0m"
"fish","reef","Dip Reef",2019,"2019.4191780821917808","Herbivores",115.90270454354007,88.68712507508019,150.7835727318951,"LTMP",9,"_"," ",116.55082912911868,"restricted","9.0m"
"fish","reef","Dip Reef",2021,"2021.24383561643835616","Herbivores",68.04017522068207,51.2129350891658,86.7723770271883,"LTMP",9,"_"," ",68.49114226120763,"restricted","9.0m"
"fish","reef","Dip Reef",2022,"2022.16712328767123288","Herbivores",91.86618476907555,66.2507933042672,116.03620910077981,"LTMP",9,"_"," ",92.27689379479675,"restricted","9.0m"
"fish","reef","Dip Reef",2022,"2022.16712328767123288","Herbivores",89.72650499933013,64.6271381437407,119.03316219953332,"LTMP",9,"_"," ",90.83170183232369,"expanded","9.0m"
"fish","reef","Dip Reef",2023,"2023.20273972602739726","Herbivores",120.03351538624197,88.0738511778751,151.36518037097102,"LTMP",9,"_"," ",121.02619797509149,"restricted","9.0m"
"fish","reef","Dip Reef",2023,"2023.20273972602739726","Herbivores",114.81389922833691,83.02137765403052,152.49995384350893,"LTMP",9,"_"," ",115.71985768531297,"expanded","9.0m"
"fish","reef","Dip Reef",2024,"2024.4273972602739726","Herbivores",107.72035512643157,82.5182345973474,141.8705209355806,"LTMP",9,"_"," ",108.30864322995808,"restricted","9.0m"
"fish","reef","Dip Reef",2024,"2024.4273972602739726","Herbivores",109.18155293586375,76.63054515589026,142.54628908215582,"LTMP",9,"_"," ",110.36121668310935,"expanded","9.0m"
"fish","reef","Dip Reef",2025,"2025.2547945205479452","Herbivores",71.01607328867087,52.32224895222691,91.20979392116989,"LTMP",9,"_"," ",71.6246904894716,"restricted","9.0m"
"fish","reef","Dip Reef",2025,"2025.2547945205479452","Herbivores",74.89483671094439,53.432714349778685,102.29090593253227,"LTMP",9,"_"," ",75.68036863242321,"expanded","9.0m"
