a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"TO","Burdekin","Dip Reef",1986,"1985.6082191780821918","COTS",53,242,"4.57"
"TO","Burdekin","Dip Reef",1988,"1987.5260273972602739","COTS",56,0,"0.00"
"TO","Burdekin","Dip Reef",1990,"1989.4602739726027397","COTS",47,0,"0.00"
"TO","Burdekin","Dip Reef",1993,"1992.4054794520547945","COTS",41,0,"0.00"
"TO","Burdekin","Dip Reef",1995,"1995.273972602739726","COTS",42,0,"0.00"
"TO","Burdekin","Dip Reef",1996,"1996.3150684931506849","COTS",40,0,"0.00"
"TO","Burdekin","Dip Reef",1997,"1997.23835616438356164","COTS",42,0,"0.00"
"TO","Burdekin","Dip Reef",1998,"1998.3315068493150685","COTS",45,0,"0.00"
"TO","Burdekin","Dip Reef",1999,"1999.31232876712328766","COTS",44,0,"0.00"
"TO","Burdekin","Dip Reef",2000,"2000.33424657534246577","COTS",41,0,"0.00"
"TO","Burdekin","Dip Reef",2001,"2001.3315068493150685","COTS",45,0,"0.00"
"TO","Burdekin","Dip Reef",2002,"2002.10684931506849316","COTS",47,0,"0.00"
"TO","Burdekin","Dip Reef",2003,"2003.20821917808219179","COTS",45,0,"0.00"
"TO","Burdekin","Dip Reef",2004,"2004.32602739726027397","COTS",44,0,"0.00"
"TO","Burdekin","Dip Reef",2005,"2005.35342465753424657","COTS",48,0,"0.00"
"TO","Burdekin","Dip Reef",2007,"2007.3780821917808219","COTS",43,0,"0.00"
"TO","Burdekin","Dip Reef",2011,"2011.33424657534246577","COTS",52,0,"0.00"
"TO","Burdekin","Dip Reef",2015,"2015.3424657534246575","COTS",44,0,"0.00"
"TO","Burdekin","Dip Reef",2017,"2017.336986301369863","COTS",43,0,"0.00"
"TO","Burdekin","Dip Reef",2019,"2019.410958904109589","COTS",45,0,"0.00"
"TO","Burdekin","Dip Reef",1984,"1984.19452054794520549","COTS",62,0,"0.00"
"TO","Burdekin","Dip Reef",2021,"2021.2356164383561644","COTS",51,0,"0.00"
"TO","Burdekin","Dip Reef",2022,"2022.16712328767123288","COTS",51,0,"0.00"
"TO","Burdekin","Dip Reef",2023,"2023.20273972602739726","COTS",44,0,"0.00"
"TO","Burdekin","Dip Reef",2025,"2025.2547945205479452","COTS",48,0,"0.00"
