data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","East Cay",1995,"1994.8602739726027397","Large fishes",28.600397048130972,24.966237075691144,32.77303032455895,"LTMP",9,"_"," ",28.657036448309864,"restricted","9.0m"
"fish","reef","East Cay",1996,"1995.8931506849315068","Large fishes",25.768154892805903,22.16541435546869,29.334101558701278,"LTMP",9,"_"," ",25.802694947968128,"restricted","9.0m"
"fish","reef","East Cay",1997,"1996.8547945205479452","Large fishes",19.516039171222978,16.618327113859195,22.90237882184815,"LTMP",9,"_"," ",19.644637337648625,"restricted","9.0m"
"fish","reef","East Cay",1998,"1997.9068493150684932","Large fishes",25.84054473907998,22.11603210705539,29.792375365550505,"LTMP",9,"_"," ",25.880495484984028,"restricted","9.0m"
"fish","reef","East Cay",1999,"1998.9315068493150684","Large fishes",36.1291581480785,31.07602767523279,40.115069085707205,"LTMP",9,"_"," ",36.09529487353159,"restricted","9.0m"
"fish","reef","East Cay",2000,"1999.8904109589041096","Large fishes",32.44374554373694,28.78703679539807,36.67464006507516,"LTMP",9,"_"," ",32.53694307956062,"restricted","9.0m"
"fish","reef","East Cay",2001,"2000.673972602739726","Large fishes",30.827062599776795,26.27415455165234,34.683076720580345,"LTMP",9,"_"," ",30.920736631618528,"restricted","9.0m"
"fish","reef","East Cay",2002,"2001.6191780821917808","Large fishes",39.74699171835688,34.74762829246176,44.66816354224883,"LTMP",9,"_"," ",39.72261904841666,"restricted","9.0m"
"fish","reef","East Cay",2003,"2002.684931506849315","Large fishes",34.523462248781414,30.3932829500557,38.766928852051656,"LTMP",9,"_"," ",34.625945492680906,"restricted","9.0m"
"fish","reef","East Cay",2004,"2003.8","Large fishes",29.79538454359411,25.89836293991169,33.70296897673787,"LTMP",9,"_"," ",29.78097488970995,"restricted","9.0m"
"fish","reef","East Cay",2005,"2004.9013698630136986","Large fishes",32.241192903773694,28.143634324722317,36.735631301840485,"LTMP",9,"_"," ",32.30599327767674,"restricted","9.0m"
"fish","reef","East Cay",2006,"2006.03561643835616438","Large fishes",38.692401422184915,33.73326626166628,42.75141647959947,"LTMP",9,"_"," ",38.704659863376946,"restricted","9.0m"
"fish","reef","East Cay",2007,"2006.8575342465753425","Large fishes",32.811719938042415,28.616112458618957,36.713398773833084,"LTMP",9,"_"," ",32.83610558540028,"restricted","9.0m"
"fish","reef","East Cay",2008,"2008.07397260273972603","Large fishes",21.06673431654555,18.438512643938004,24.317167585108127,"LTMP",9,"_"," ",21.230296610569034,"restricted","9.0m"
"fish","reef","East Cay",2009,"2008.9205479452054794","Large fishes",29.131900309889033,25.985245568023853,33.29471917412901,"LTMP",9,"_"," ",29.188122281728614,"restricted","9.0m"
"fish","reef","East Cay",2010,"2009.7917808219178082","Large fishes",35.63992298178939,31.103311431705965,40.207303751377395,"LTMP",9,"_"," ",35.71052312237772,"restricted","9.0m"
"fish","reef","East Cay",2011,"2010.936986301369863","Large fishes",38.27006763556733,34.004962967193215,42.73464057265464,"LTMP",9,"_"," ",38.39963485075677,"restricted","9.0m"
"fish","reef","East Cay",2012,"2011.8931506849315068","Large fishes",45.2142641593741,40.38158593909011,50.68003732174421,"LTMP",9,"_"," ",45.27138286541061,"restricted","9.0m"
"fish","reef","East Cay",2013,"2012.6575342465753424","Large fishes",44.92136124510898,40.28373670430583,50.27096726869612,"LTMP",9,"_"," ",45.01528214668271,"restricted","9.0m"
"fish","reef","East Cay",2014,"2013.9041095890410958","Large fishes",43.570181892044246,39.03255800502023,48.90567705834157,"LTMP",9,"_"," ",43.61247876300683,"restricted","9.0m"
"fish","reef","East Cay",2015,"2014.6328767123287671","Large fishes",41.396611890168955,36.86687765388295,46.660965415427555,"LTMP",9,"_"," ",41.54713626080403,"restricted","9.0m"
"fish","reef","East Cay",2016,"2016.024657534246575342","Large fishes",45.53243774579987,40.061121042996476,50.99265968768835,"LTMP",9,"_"," ",45.634225397539176,"restricted","9.0m"
"fish","reef","East Cay",2017,"2017.06575342465753424","Large fishes",32.76969993378078,28.855837890337554,37.236015925478725,"LTMP",9,"_"," ",32.87180332756685,"restricted","9.0m"
"fish","reef","East Cay",2018,"2018.07671232876712329","Large fishes",44.89802600003708,39.54416090209525,50.94447969882255,"LTMP",9,"_"," ",45.080371510722095,"restricted","9.0m"
"fish","reef","East Cay",2019,"2019.273972602739726","Large fishes",40.552366929962815,36.094947562880776,45.28866187477907,"LTMP",9,"_"," ",40.59435458621422,"restricted","9.0m"
"fish","reef","East Cay",2021,"2020.663013698630137","Large fishes",64.22570319275161,58.156659240040604,71.5442162786737,"LTMP",9,"_"," ",64.21433017578718,"restricted","9.0m"
"fish","reef","East Cay",2022,"2021.9315068493150684","Large fishes",52.385064151871745,46.89535367902369,58.46294965793164,"LTMP",9,"_"," ",52.54126758438616,"restricted","9.0m"
"fish","reef","East Cay",2022,"2021.9315068493150684","Large fishes",50.42456380453135,42.51156581959675,59.097531848772775,"LTMP",9,"_"," ",50.620029995785124,"expanded","9.0m"
"fish","reef","East Cay",2023,"2023.37534246575342467","Large fishes",45.93395756880899,40.34662932318214,50.66328005436523,"LTMP",9,"_"," ",45.914513705027225,"restricted","9.0m"
"fish","reef","East Cay",2023,"2023.37534246575342467","Large fishes",44.16931235047117,36.4483563014074,51.43033471398681,"LTMP",9,"_"," ",44.274692132772856,"expanded","9.0m"
"fish","reef","East Cay",2024,"2024.33972602739726027","Large fishes",93.12791187069043,84.04907135149308,102.09497915325531,"LTMP",9,"_"," ",93.13654536845527,"restricted","9.0m"
"fish","reef","East Cay",2024,"2024.33972602739726027","Large fishes",103.97916394878074,89.15799372672363,124.78663770326163,"LTMP",9,"_"," ",104.82621487907797,"expanded","9.0m"
"fish","reef","East Cay",2025,"2025.0136986301369863","Large fishes",36.17294036599459,31.641992289355798,40.76372655402466,"LTMP",9,"_"," ",36.26291324077444,"restricted","9.0m"
"fish","reef","East Cay",2025,"2025.0136986301369863","Large fishes",77.41625292464715,64.08951705045754,93.24188103459568,"LTMP",9,"_"," ",77.71707608192877,"expanded","9.0m"
"fish","reef","East Cay",2026,"2025.863013698630137","Large fishes",70.55589742433202,63.959238681714346,77.85871630164291,"LTMP",9,"_"," ",70.54092580897196,"restricted","9.0m"
"fish","reef","East Cay",2026,"2025.863013698630137","Large fishes",121.65573014845691,102.69996352710874,141.24220211878247,"LTMP",9,"_"," ",122.223074998304,"expanded","9.0m"
