a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"SW","Fitzroy","East Cay",1992,"1991.6657534246575343","COTS",56,0,"0.00"
"SW","Fitzroy","East Cay",1994,"1994.2602739726027397","COTS",53,0,"0.00"
"SW","Fitzroy","East Cay",1995,"1994.863013698630137","COTS",52,0,"0.00"
"SW","Fitzroy","East Cay",1996,"1995.8904109589041096","COTS",53,0,"0.00"
"SW","Fitzroy","East Cay",1997,"1996.8547945205479452","COTS",58,0,"0.00"
"SW","Fitzroy","East Cay",1998,"1997.9068493150684932","COTS",68,0,"0.00"
"SW","Fitzroy","East Cay",1999,"1998.9315068493150684","COTS",58,1,"0.02"
"SW","Fitzroy","East Cay",2000,"1999.8931506849315068","COTS",58,1,"0.02"
"SW","Fitzroy","East Cay",2001,"2000.673972602739726","COTS",64,0,"0.00"
"SW","Fitzroy","East Cay",2002,"2001.6219178082191781","COTS",57,3,"0.05"
"SW","Fitzroy","East Cay",2003,"2002.684931506849315","COTS",55,6,"0.11"
"SW","Fitzroy","East Cay",2004,"2003.8","COTS",55,3,"0.05"
"SW","Fitzroy","East Cay",2005,"2004.9095890410958904","COTS",63,0,"0.00"
"SW","Fitzroy","East Cay",2006,"2006.03561643835616438","COTS",62,0,"0.00"
"SW","Fitzroy","East Cay",2007,"2006.8602739726027397","COTS",54,1,"0.02"
"SW","Fitzroy","East Cay",2008,"2008.07397260273972603","COTS",77,0,"0.00"
"SW","Fitzroy","East Cay",2009,"2008.9205479452054794","COTS",62,0,"0.00"
"SW","Fitzroy","East Cay",2010,"2009.7917808219178082","COTS",65,0,"0.00"
"SW","Fitzroy","East Cay",2011,"2010.936986301369863","COTS",70,1,"0.01"
"SW","Fitzroy","East Cay",2012,"2011.8931506849315068","COTS",63,0,"0.00"
"SW","Fitzroy","East Cay",2013,"2012.6602739726027397","COTS",63,2,"0.03"
"SW","Fitzroy","East Cay",2014,"2013.9068493150684932","COTS",64,0,"0.00"
"SW","Fitzroy","East Cay",2015,"2015.06575342465753424","COTS",63,2,"0.03"
"SW","Fitzroy","East Cay",2016,"2016.024657534246575342","COTS",57,0,"0.00"
"SW","Fitzroy","East Cay",2017,"2017.06301369863013699","COTS",66,0,"0.00"
"SW","Fitzroy","East Cay",2018,"2018.052054794520547946","COTS",67,1,"0.01"
"SW","Fitzroy","East Cay",2021,"2020.6684931506849315","COTS",55,24,"0.44"
"SW","Fitzroy","East Cay",2022,"2021.9342465753424658","COTS",67,35,"0.52"
"SW","Fitzroy","East Cay",2023,"2023.3835616438356164","COTS",66,24,"0.36"
"SW","Fitzroy","East Cay",2025,"2025.021917808219178082","COTS",57,11,"0.19"
"SW","Fitzroy","East Cay",2026,"2025.863013698630137","COTS",67,11,"0.16"
