data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Erskine Island",2006,"2006.20273972602739726","Small fishes",97.11272566380134,82.29661471131375,114.69244857394729,"LTMP",9,"_"," ",97.8439738208015,"restricted","9.0m"
"fish","reef","Erskine Island",2008,"2007.9342465753424658","Small fishes",77.04955120063596,66.65154902483886,90.89836542737594,"LTMP",9,"_"," ",77.47680539295834,"restricted","9.0m"
"fish","reef","Erskine Island",2010,"2010.0273972602739726","Small fishes",125.41770861564041,107.3351658568096,143.4073371706394,"LTMP",9,"_"," ",125.57792934709387,"restricted","9.0m"
"fish","reef","Erskine Island",2012,"2011.915068493150685","Small fishes",146.07109936363838,124.79889893875827,168.82019660814564,"LTMP",9,"_"," ",146.14745312906183,"restricted","9.0m"
"fish","reef","Erskine Island",2014,"2013.7013698630136986","Small fishes",91.04168717979317,76.9250502421772,105.22179141997987,"LTMP",9,"_"," ",91.22159753104026,"restricted","9.0m"
"fish","reef","Erskine Island",2016,"2015.7561643835616438","Small fishes",124.1286904784292,105.16308892420963,143.20417246849485,"LTMP",9,"_"," ",124.14413852201037,"restricted","9.0m"
"fish","reef","Erskine Island",2018,"2017.8027397260273973","Small fishes",120.14105398857866,104.05383299439485,138.4214588508921,"LTMP",9,"_"," ",120.46911054968689,"restricted","9.0m"
"fish","reef","Erskine Island",2020,"2020.021917808219178082","Small fishes",137.11718467200595,119.74985192694668,158.46875444565413,"LTMP",9,"_"," ",137.41349503820692,"restricted","9.0m"
"fish","reef","Erskine Island",2022,"2021.9506849315068493","Small fishes",271.52424474221357,232.2151158983491,307.15704032081544,"LTMP",9,"_"," ",272.2151655916336,"restricted","9.0m"
"fish","reef","Erskine Island",2022,"2021.9506849315068493","Small fishes",264.27215385740124,215.7465511218619,319.9862737707587,"LTMP",9,"_"," ",265.7565281103571,"expanded","9.0m"
"fish","reef","Erskine Island",2023,"2022.6547945205479452","Small fishes",156.93125666868994,135.1309468407932,183.60794364053965,"LTMP",9,"_"," ",157.47985336889377,"restricted","9.0m"
"fish","reef","Erskine Island",2023,"2022.6547945205479452","Small fishes",132.95146903281062,108.6469262247837,162.02378600130433,"LTMP",9,"_"," ",133.87801453480557,"expanded","9.0m"
"fish","reef","Erskine Island",2024,"2023.7315068493150685","Small fishes",147.99101544431085,126.32286092534396,168.07333098887378,"LTMP",9,"_"," ",148.02315494777653,"restricted","9.0m"
"fish","reef","Erskine Island",2024,"2023.7315068493150685","Small fishes",148.94330272101982,120.70553916097751,179.45609266633437,"LTMP",9,"_"," ",149.8255919113225,"expanded","9.0m"
"fish","reef","Erskine Island",2026,"2025.8328767123287671","Small fishes",203.37096224168968,173.54616507445297,234.72460417100038,"LTMP",9,"_"," ",203.94048540979918,"restricted","9.0m"
"fish","reef","Erskine Island",2026,"2025.8328767123287671","Small fishes",171.29651632443597,139.13753147542198,207.1598769050757,"LTMP",9,"_"," ",172.62731459010732,"expanded","9.0m"
