"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Erskine Island","2006","2006.20273972602739726","ALGAE","51.37545466306751","37.11664050529987","73.68051033303156","LTMP","9","_"," ","52.25791799730973","null","9.0m"
"photo-transect","reef","Erskine Island","2008","2007.9342465753424658","ALGAE","52.95393202576477","37.10432173513289","75.93620412764007","LTMP","9","_"," ","53.88983865385784","null","9.0m"
"photo-transect","reef","Erskine Island","2010","2010.0273972602739726","ALGAE","61.374510198375866","45.50920272091975","85.2988613643472","LTMP","9","_"," ","61.98825459838919","null","9.0m"
"photo-transect","reef","Erskine Island","2012","2011.915068493150685","ALGAE","53.80943476930411","38.83185805025666","74.80458381984532","LTMP","9","_"," ","54.34668910800976","null","9.0m"
"photo-transect","reef","Erskine Island","2014","2013.7013698630136986","ALGAE","55.36702081879028","40.275373259721384","83.53600960287085","LTMP","9","_"," ","56.28109125428674","null","9.0m"
"photo-transect","reef","Erskine Island","2016","2015.7561643835616438","ALGAE","63.47581464720313","47.53363271515559","84.54614541193118","LTMP","9","_"," ","63.69872771207758","null","9.0m"
"photo-transect","reef","Erskine Island","2018","2017.8027397260273973","ALGAE","61.219396887151724","45.66990975989689","88.13443191403479","LTMP","9","_"," ","62.09040204806418","null","9.0m"
"photo-transect","reef","Erskine Island","2020","2020.021917808219178082","ALGAE","55.65661784445541","39.96020266412419","77.50426397832928","LTMP","9","_"," ","56.08742103802334","null","9.0m"
"photo-transect","reef","Erskine Island","2022","2021.9506849315068493","ALGAE","52.20306687532039","35.6554954240856","86.24049135407056","LTMP","9","_"," ","53.92038474133647","null","9.0m"
"photo-transect","reef","Erskine Island","2023","2022.6547945205479452","ALGAE","57.340529397187154","40.413734979945446","82.63605211503427","LTMP","9","_"," ","58.06250000414299","null","9.0m"
"photo-transect","reef","Erskine Island","2024","2023.7315068493150685","ALGAE","50.46046834220077","35.18220857733648","78.93450087803998","LTMP","9","_"," ","51.70974880589567","null","9.0m"
"photo-transect","reef","Erskine Island","2025","2024.8547945205479452","ALGAE","53.72724428855147","37.79487397848321","75.79186525972223","LTMP","9","_"," ","54.375538587350235","null","9.0m"
