"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Erskine Island","2006","2006.20273972602739726","MACROALGAE","0.36907189241717425","0.17446702915312765","0.6211825972001783","LTMP","9","_"," ","0.3878162501914769","null","9.0m"
"photo-transect","reef","Erskine Island","2008","2007.9342465753424658","MACROALGAE","0.8521103613878044","0.49222795861020263","1.304215541060009","LTMP","9","_"," ","0.8767674752751311","null","9.0m"
"photo-transect","reef","Erskine Island","2010","2010.0273972602739726","MACROALGAE","0.8570237965772596","0.519104061726542","1.278850855493905","LTMP","9","_"," ","0.8790244181525261","null","9.0m"
"photo-transect","reef","Erskine Island","2012","2011.915068493150685","MACROALGAE","0.2704293113140824","0.10411345761036696","0.49227298141914344","LTMP","9","_"," ","0.2889268381460029","null","9.0m"
"photo-transect","reef","Erskine Island","2014","2013.7013698630136986","MACROALGAE","0.485796335209146","0.2641375435809431","0.8587974780905866","LTMP","9","_"," ","0.5177095483202261","null","9.0m"
"photo-transect","reef","Erskine Island","2016","2015.7561643835616438","MACROALGAE","0.5782980038145185","0.2995092159753357","0.9456846682719644","LTMP","9","_"," ","0.6009602123132969","null","9.0m"
"photo-transect","reef","Erskine Island","2018","2017.8027397260273973","MACROALGAE","0.9124057782241436","0.5355324525299773","1.3940950648534318","LTMP","9","_"," ","0.940584385660982","null","9.0m"
"photo-transect","reef","Erskine Island","2020","2020.021917808219178082","MACROALGAE","0.20510072684865277","0.07613748098769993","0.4081195448082804","LTMP","9","_"," ","0.22310844007894984","null","9.0m"
"photo-transect","reef","Erskine Island","2022","2021.9506849315068493","MACROALGAE","1.9140973626773023","1.3047928115176066","2.7642158410151625","LTMP","9","_"," ","1.938174928579571","null","9.0m"
"photo-transect","reef","Erskine Island","2023","2022.6547945205479452","MACROALGAE","1.0113364242170755","0.5739785559112573","1.4915252016745442","LTMP","9","_"," ","1.0401115840826056","null","9.0m"
"photo-transect","reef","Erskine Island","2024","2023.7315068493150685","MACROALGAE","1.0223890474137476","0.5810886060581653","1.5166993878247423","LTMP","9","_"," ","1.043389135201243","null","9.0m"
"photo-transect","reef","Erskine Island","2025","2024.8547945205479452","MACROALGAE","0.9815029571302546","0.5837931849940697","1.5176923969901142","LTMP","9","_"," ","1.0037774582649257","null","9.0m"
