"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Erskine Island","2006","2006.20273972602739726","SOFT CORAL","7.193287897946456","5.924787157781484","8.649588305162434","LTMP","9","_"," ","7.23450816281953","null","9.0m"
"photo-transect","reef","Erskine Island","2008","2007.9342465753424658","SOFT CORAL","9.192177357067013","7.738759409897248","11.169241960478267","LTMP","9","_"," ","9.25436172573035","null","9.0m"
"photo-transect","reef","Erskine Island","2010","2010.0273972602739726","SOFT CORAL","7.52916688245501","6.172712151622714","8.981833595255551","LTMP","9","_"," ","7.579395017481601","null","9.0m"
"photo-transect","reef","Erskine Island","2012","2011.915068493150685","SOFT CORAL","7.293141405487202","6.117569936327109","9.006829381006172","LTMP","9","_"," ","7.332515350652893","null","9.0m"
"photo-transect","reef","Erskine Island","2014","2013.7013698630136986","SOFT CORAL","9.213254291740261","7.472286307685712","10.931099262709347","LTMP","9","_"," ","9.225218394449994","null","9.0m"
"photo-transect","reef","Erskine Island","2016","2015.7561643835616438","SOFT CORAL","4.930981558398851","4.00273128162294","6.106832300369598","LTMP","9","_"," ","4.9500335386434795","null","9.0m"
"photo-transect","reef","Erskine Island","2018","2017.8027397260273973","SOFT CORAL","5.656052280740521","4.508042490682749","6.801591804323411","LTMP","9","_"," ","5.691108637853262","null","9.0m"
"photo-transect","reef","Erskine Island","2020","2020.021917808219178082","SOFT CORAL","6.7225265190745285","5.333003109059408","8.065412132777247","LTMP","9","_"," ","6.7298830635942855","null","9.0m"
"photo-transect","reef","Erskine Island","2022","2021.9506849315068493","SOFT CORAL","6.434921848601179","5.167134411373977","7.83820879335216","LTMP","9","_"," ","6.46128157494328","null","9.0m"
"photo-transect","reef","Erskine Island","2023","2022.6547945205479452","SOFT CORAL","6.9713997582110885","5.649657120508387","8.473613650595993","LTMP","9","_"," ","7.018977757729396","null","9.0m"
"photo-transect","reef","Erskine Island","2024","2023.7315068493150685","SOFT CORAL","4.718316643119941","3.755996171794357","5.7935154434307945","LTMP","9","_"," ","4.740107856164042","null","9.0m"
"photo-transect","reef","Erskine Island","2025","2024.8547945205479452","SOFT CORAL","4.553710056162289","3.6635176962552416","5.753174379129168","LTMP","9","_"," ","4.573312256863511","null","9.0m"
