data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"manta","reef","Fairfax Island",1991,"1990.6931506849315069","HC",34.531866487584814,27.96883164802709,41.25350058250706,"LTMP",9,"_"," ",34.51734544076061,"null","9.0m"
"manta","reef","Fairfax Island",2006,"2006.34794520547945207","HC",55.629060549645345,49.50505092314032,62.920087091622136,"LTMP",9,"_"," ",55.734613857034034,"null","9.0m"
"manta","reef","Fairfax Island",2008,"2007.9205479452054794","HC",43.90871528581399,37.39652088142213,50.67802126315758,"LTMP",9,"_"," ",44.08196910681106,"null","9.0m"
"manta","reef","Fairfax Island",2010,"2010.010958904109589041","HC",15.285694806300242,11.708566328356195,19.472155215123298,"LTMP",9,"_"," ",15.338986757624687,"null","9.0m"
"manta","reef","Fairfax Island",2012,"2011.9068493150684932","HC",13.986717316768422,10.454870990443592,18.117769205980004,"LTMP",9,"_"," ",14.151410365489367,"null","9.0m"
"manta","reef","Fairfax Island",2014,"2013.6904109589041096","HC",14.80018671542437,11.061529279090813,18.660226572371364,"LTMP",9,"_"," ",14.871863989834782,"null","9.0m"
"manta","reef","Fairfax Island",2016,"2015.7753424657534247","HC",19.798471754558527,15.335842503641123,25.60331611419473,"LTMP",9,"_"," ",19.951160941159664,"null","9.0m"
"manta","reef","Fairfax Island",2018,"2017.7835616438356164","HC",24.98608987401868,20.16650351956969,30.55962999379978,"LTMP",9,"_"," ",25.035254918685034,"null","9.0m"
"manta","reef","Fairfax Island",2020,"2020.00821917808219178","HC",40.179226769162455,33.97229965229964,46.32484546593431,"LTMP",9,"_"," ",40.10933421921188,"null","9.0m"
"manta","reef","Fairfax Island",2021,"2020.6383561643835617","HC",52.00915210645041,45.66761550161604,58.71870772140139,"LTMP",9,"_"," ",51.925204241805254,"null","9.0m"
"manta","reef","Fairfax Island",2022,"2021.9698630136986301","HC",59.31122968129732,52.81352234834622,66.1686594120608,"LTMP",9,"_"," ",59.16788683510571,"null","9.0m"
"manta","reef","Fairfax Island",2023,"2022.6684931506849315","HC",52.64541802990945,45.96941348147233,59.058856725939954,"LTMP",9,"_"," ",52.73615161561296,"null","9.0m"
"manta","reef","Fairfax Island",2024,"2023.7452054794520548","HC",65.61292255017435,58.379043544620465,72.1306334535196,"LTMP",9,"_"," ",65.31269065237959,"null","9.0m"
"manta","reef","Fairfax Island",2025,"2024.852054794520548","HC",40.57085178893989,34.83323959577036,46.70945291788509,"LTMP",9,"_"," ",40.639454812037364,"null","9.0m"
"manta","reef","Fairfax Island",2026,"2025.821917808219178","HC",21.245661910136345,16.60421515460186,26.321139736270883,"LTMP",9,"_"," ",21.25366968687083,"null","9.0m"
