"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Fairfax Island","2006","2006.34794520547945207","MACROALGAE","0.3775597496675962","0.13056574487855735","0.7454973330408368","LTMP","9","_"," ","0.4147947433274248","null","9.0m"
"photo-transect","reef","Fairfax Island","2008","2007.9205479452054794","MACROALGAE","1.1656218850787012","0.6461631719436094","1.9425290941729316","LTMP","9","_"," ","1.218555530661338","null","9.0m"
"photo-transect","reef","Fairfax Island","2010","2010.010958904109589041","MACROALGAE","2.118456014660127","1.2655318951095922","3.0691523709493644","LTMP","9","_"," ","2.1587090671311686","null","9.0m"
"photo-transect","reef","Fairfax Island","2012","2011.9068493150684932","MACROALGAE","7.50554545285968","5.24442042319195","10.155000866980568","LTMP","9","_"," ","7.5738374424657255","null","9.0m"
"photo-transect","reef","Fairfax Island","2014","2013.6904109589041096","MACROALGAE","3.20361934589296","2.0634087957587104","4.579732704693351","LTMP","9","_"," ","3.2647585326987567","null","9.0m"
"photo-transect","reef","Fairfax Island","2016","2015.7863013698630137","MACROALGAE","1.5437888819503809","0.8764912879749615","2.3685718360417383","LTMP","9","_"," ","1.5957332716353152","null","9.0m"
"photo-transect","reef","Fairfax Island","2018","2017.7808219178082192","MACROALGAE","1.0892673388941114","0.5660486686932704","1.9394526106390648","LTMP","9","_"," ","1.145968154650846","null","9.0m"
"photo-transect","reef","Fairfax Island","2020","2020.00821917808219178","MACROALGAE","3.515990249790055","2.3831843498340786","5.0804193980177725","LTMP","9","_"," ","3.593434165734476","null","9.0m"
"photo-transect","reef","Fairfax Island","2022","2021.9643835616438357","MACROALGAE","2.383312460773565","1.473469900297874","3.587663527208018","LTMP","9","_"," ","2.445423928933563","null","9.0m"
"photo-transect","reef","Fairfax Island","2023","2022.6684931506849315","MACROALGAE","3.0163825889755578","1.956044120672568","4.461587116133103","LTMP","9","_"," ","3.0885307448971635","null","9.0m"
"photo-transect","reef","Fairfax Island","2024","2023.7506849315068493","MACROALGAE","4.628483235730848","2.8804090880525894","6.3600993379415796","LTMP","9","_"," ","4.682747100784597","null","9.0m"
"photo-transect","reef","Fairfax Island","2025","2024.852054794520548","MACROALGAE","3.8595938887695516","2.4179827324291847","5.420583747961904","LTMP","9","_"," ","3.9184824793554536","null","9.0m"
