data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Farquharson Reef",2006,"2005.9260273972602739","Coral Trout",3.107768383552525,0.46013774491510995,9.571308166830315,"LTMP",9,"_"," ",3.9173185759117883,"restricted","9.0m"
"fish","reef","Farquharson Reef",2008,"2008.2","Coral Trout",5.859751309374541,2.566278102166415,11.390693842959662,"LTMP",9,"_"," ",6.315294926132362,"restricted","9.0m"
"fish","reef","Farquharson Reef",2010,"2010.26575342465753427","Coral Trout",9.018047097695195,4.398808849909532,16.54011040326015,"LTMP",9,"_"," ",9.528032648514383,"restricted","9.0m"
"fish","reef","Farquharson Reef",2012,"2012.16712328767123288","Coral Trout",6.0375124475905775,2.066620418773731,14.524422960042402,"LTMP",9,"_"," ",6.741905063369416,"restricted","9.0m"
"fish","reef","Farquharson Reef",2016,"2015.9561643835616438","Coral Trout",6.614662706303516,2.9227126436471185,13.172101714433268,"LTMP",9,"_"," ",7.098654658641565,"restricted","9.0m"
"fish","reef","Farquharson Reef",2018,"2018.13972602739726028","Coral Trout",10.470387458482403,4.445639110974899,21.286404053964297,"LTMP",9,"_"," ",11.25727779932612,"restricted","9.0m"
"fish","reef","Farquharson Reef",2022,"2022.29041095890410956","Coral Trout",16.544849226587758,5.885622466577016,32.92055228834599,"LTMP",9,"_"," ",17.809974154640745,"restricted","9.0m"
"fish","reef","Farquharson Reef",2023,"2023.18356164383561643","Coral Trout",8.018364269691485,1.7666206912783833,21.120899738927253,"LTMP",9,"_"," ",9.478719519757947,"restricted","9.0m"
"fish","reef","Farquharson Reef",2024,"2024.0958904109589041","Coral Trout",8.850663826800332,1.0260724291412624,26.98873123090671,"LTMP",9,"_"," ",11.217144180475902,"restricted","9.0m"
"fish","reef","Farquharson Reef",2025,"2024.6465753424657534","Coral Trout",18.587817316807353,6.518918196010303,36.783054023890536,"LTMP",9,"_"," ",20.252654983962444,"restricted","9.0m"
