"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Farquharson Reef","2006","2005.9260273972602739","MACROALGAE","28.65258342539889","22.286488128077032","37.38737308443342","LTMP","9","_"," ","29.224681255380002","null","9.0m"
"photo-transect","reef","Farquharson Reef","2008","2008.2","MACROALGAE","8.419973405295783","6.3831998326579455","12.844120599566148","LTMP","9","_"," ","8.948158891440633","null","9.0m"
"photo-transect","reef","Farquharson Reef","2010","2010.26575342465753427","MACROALGAE","14.533441893706122","10.731700771216111","21.610320501103455","LTMP","9","_"," ","15.342400776130773","null","9.0m"
"photo-transect","reef","Farquharson Reef","2012","2012.16712328767123288","MACROALGAE","4.604073815175587","3.290999969850319","6.564877690206703","LTMP","9","_"," ","4.674818976870521","null","9.0m"
"photo-transect","reef","Farquharson Reef","2016","2015.9561643835616438","MACROALGAE","7.019119043822816","4.9964771258145575","10.479762434787263","LTMP","9","_"," ","7.388703178131087","null","9.0m"
"photo-transect","reef","Farquharson Reef","2018","2018.13972602739726028","MACROALGAE","8.673792480070107","6.547142472414317","13.238289733683292","LTMP","9","_"," ","9.313350932284873","null","9.0m"
"photo-transect","reef","Farquharson Reef","2020","2020.14794520547945206","MACROALGAE","13.254437329059437","9.96967380417173","20.586607605559504","LTMP","9","_"," ","14.731599908842291","null","9.0m"
"photo-transect","reef","Farquharson Reef","2022","2022.29041095890410956","MACROALGAE","19.221104472866525","15.209480921832741","29.135321465692254","LTMP","9","_"," ","20.204340616754855","null","9.0m"
"photo-transect","reef","Farquharson Reef","2023","2023.18356164383561643","MACROALGAE","28.351215468080976","23.15242292451919","39.325505837777456","LTMP","9","_"," ","29.467945944945743","null","9.0m"
"photo-transect","reef","Farquharson Reef","2024","2024.0958904109589041","MACROALGAE","24.765370333162018","19.47818892334253","36.345523188009196","LTMP","9","_"," ","26.102408186825365","null","9.0m"
"photo-transect","reef","Farquharson Reef","2025","2024.6465753424657534","MACROALGAE","21.421175576289368","16.529393409160303","31.11859570800165","LTMP","9","_"," ","22.629584133386075","null","9.0m"
