"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Farquharson Reef","2006","2005.9260273972602739","SOFT CORAL","3.0615635263546963","2.150615331083208","4.2155225577986855","LTMP","9","_"," ","3.1053064920171356","null","9.0m"
"photo-transect","reef","Farquharson Reef","2008","2008.2","SOFT CORAL","1.0487112713778606","0.5444369566235178","1.981400574381051","LTMP","9","_"," ","1.139584353339314","null","9.0m"
"photo-transect","reef","Farquharson Reef","2010","2010.26575342465753427","SOFT CORAL","2.292716945133783","1.549829653257974","3.235820771255582","LTMP","9","_"," ","2.3514360610412304","null","9.0m"
"photo-transect","reef","Farquharson Reef","2012","2012.16712328767123288","SOFT CORAL","1.8858174324571615","1.2248509586056702","2.8202085892365796","LTMP","9","_"," ","1.9465397953587367","null","9.0m"
"photo-transect","reef","Farquharson Reef","2016","2015.9561643835616438","SOFT CORAL","3.1846275654393117","2.083678963373734","4.552029912719426","LTMP","9","_"," ","3.2556351688428222","null","9.0m"
"photo-transect","reef","Farquharson Reef","2018","2018.13972602739726028","SOFT CORAL","2.5818289086694115","1.6717974030030254","3.5664420309428904","LTMP","9","_"," ","2.622202227943858","null","9.0m"
"photo-transect","reef","Farquharson Reef","2020","2020.14794520547945206","SOFT CORAL","3.0546928972036467","2.113163864069706","4.220532043803659","LTMP","9","_"," ","3.124948505605527","null","9.0m"
"photo-transect","reef","Farquharson Reef","2022","2022.29041095890410956","SOFT CORAL","3.617101420444772","2.453714550402527","4.967551049274866","LTMP","9","_"," ","3.6490634747874005","null","9.0m"
"photo-transect","reef","Farquharson Reef","2023","2023.18356164383561643","SOFT CORAL","2.289151548214608","1.5574610664873854","3.453210998361805","LTMP","9","_"," ","2.310924877193363","null","9.0m"
"photo-transect","reef","Farquharson Reef","2024","2024.0958904109589041","SOFT CORAL","2.8447162793252856","1.845965760253077","4.0225128494381135","LTMP","9","_"," ","2.8357027027075477","null","9.0m"
"photo-transect","reef","Farquharson Reef","2025","2024.6465753424657534","SOFT CORAL","3.1334776625077607","2.2554084988231726","4.304846328534182","LTMP","9","_"," ","3.1916258572766503","null","9.0m"
