data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Feather Reef",2006,"2005.9232876712328767","Herbivores",67.0484958385299,61.35991410185425,73.52424018722348,"LTMP",9,"_"," ",67.22841892046114,"restricted","9.0m"
"fish","reef","Feather Reef",2008,"2007.6219178082191781","Herbivores",47.42324319620698,43.09301663724362,52.02951859874278,"LTMP",9,"_"," ",47.37912744758869,"restricted","9.0m"
"fish","reef","Feather Reef",2010,"2009.9123287671232877","Herbivores",21.87097334066639,19.129919708331258,25.282450669016722,"LTMP",9,"_"," ",21.888913770926663,"restricted","9.0m"
"fish","reef","Feather Reef",2012,"2012.1589041095890411","Herbivores",52.237983568733284,47.36103286389671,56.64425135353778,"LTMP",9,"_"," ",52.256006995956305,"restricted","9.0m"
"fish","reef","Feather Reef",2014,"2014.2191780821917808","Herbivores",40.31824436955779,35.82439704927253,44.78971712300399,"LTMP",9,"_"," ",40.38999933207818,"restricted","9.0m"
"fish","reef","Feather Reef",2016,"2015.9534246575342465","Herbivores",35.78989756833859,31.830653851004666,39.68954659030264,"LTMP",9,"_"," ",35.864834739411286,"restricted","9.0m"
"fish","reef","Feather Reef",2018,"2018.136986301369863","Herbivores",37.66757427478599,33.70303197556058,42.355248053324004,"LTMP",9,"_"," ",37.75325787226597,"restricted","9.0m"
"fish","reef","Feather Reef",2020,"2020.14520547945205478","Herbivores",33.7434720436798,30.275789566645088,37.54340844961048,"LTMP",9,"_"," ",33.76093468124253,"restricted","9.0m"
"fish","reef","Feather Reef",2022,"2022.32054794520547947","Herbivores",42.8453631480075,38.352184033142734,46.989415627379714,"LTMP",9,"_"," ",42.84737399026573,"restricted","9.0m"
"fish","reef","Feather Reef",2022,"2022.32054794520547947","Herbivores",40.83121552369394,30.240434523885266,51.02288053665738,"LTMP",9,"_"," ",41.09234244932287,"expanded","9.0m"
"fish","reef","Feather Reef",2023,"2023.18082191780821918","Herbivores",41.682204654744936,37.03968218876336,45.92679704285081,"LTMP",9,"_"," ",41.68720028433172,"restricted","9.0m"
"fish","reef","Feather Reef",2023,"2023.18082191780821918","Herbivores",39.815125735486355,29.93117586423185,50.74146549631992,"LTMP",9,"_"," ",40.03748607770737,"expanded","9.0m"
"fish","reef","Feather Reef",2024,"2023.6904109589041096","Herbivores",89.65501136789675,81.80556563043561,96.51156307254018,"LTMP",9,"_"," ",89.71247618725121,"restricted","9.0m"
"fish","reef","Feather Reef",2024,"2023.6904109589041096","Herbivores",85.88111021942808,64.50271239972024,107.1940228192115,"LTMP",9,"_"," ",86.06745307348352,"expanded","9.0m"
"fish","reef","Feather Reef",2025,"2024.6493150684931507","Herbivores",63.14409002118902,57.516969678228,68.67639462730838,"LTMP",9,"_"," ",63.28111440991175,"restricted","9.0m"
"fish","reef","Feather Reef",2025,"2024.6493150684931507","Herbivores",60.18318408588145,46.844972344732746,77.40748612668128,"LTMP",9,"_"," ",60.53097695355706,"expanded","9.0m"
