data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Feather Reef",2006,"2005.9232876712328767","Small fishes",113.24700969839924,97.03956291130547,131.10144032378236,"LTMP",9,"_"," ",113.4518275497223,"restricted","9.0m"
"fish","reef","Feather Reef",2008,"2007.6219178082191781","Small fishes",134.87962876657042,116.61981117091959,160.03213445749842,"LTMP",9,"_"," ",135.27555595598398,"restricted","9.0m"
"fish","reef","Feather Reef",2010,"2009.9123287671232877","Small fishes",160.71373841426973,139.16661663583807,188.9151313621108,"LTMP",9,"_"," ",161.13012369380158,"restricted","9.0m"
"fish","reef","Feather Reef",2012,"2012.1589041095890411","Small fishes",127.8509292304332,108.89765300113406,147.75951565010593,"LTMP",9,"_"," ",128.1018646781617,"restricted","9.0m"
"fish","reef","Feather Reef",2014,"2014.2191780821917808","Small fishes",119.06526614483914,101.33421347575164,138.89892258996352,"LTMP",9,"_"," ",119.44437315640882,"restricted","9.0m"
"fish","reef","Feather Reef",2016,"2015.9534246575342465","Small fishes",220.86043462250572,186.65970894617993,254.70307974891415,"LTMP",9,"_"," ",221.1725867001536,"restricted","9.0m"
"fish","reef","Feather Reef",2018,"2018.136986301369863","Small fishes",137.63547248015817,114.14000409570225,157.86893167837002,"LTMP",9,"_"," ",137.79898770769444,"restricted","9.0m"
"fish","reef","Feather Reef",2020,"2020.14520547945205478","Small fishes",166.99313991945615,143.2653177673174,195.14120719421493,"LTMP",9,"_"," ",167.679773658101,"restricted","9.0m"
"fish","reef","Feather Reef",2022,"2022.32054794520547947","Small fishes",250.08143576647154,208.20828420987024,285.9308931613202,"LTMP",9,"_"," ",250.67016368223642,"restricted","9.0m"
"fish","reef","Feather Reef",2022,"2022.32054794520547947","Small fishes",252.73872296487977,214.54723904137018,299.88127886602564,"LTMP",9,"_"," ",252.78669621941026,"expanded","9.0m"
"fish","reef","Feather Reef",2023,"2023.18082191780821918","Small fishes",172.41659351338723,148.41201625024175,201.0083470725927,"LTMP",9,"_"," ",172.51829494348942,"restricted","9.0m"
"fish","reef","Feather Reef",2023,"2023.18082191780821918","Small fishes",179.2457724565009,150.7379550476032,210.4744617289174,"LTMP",9,"_"," ",179.31145797498286,"expanded","9.0m"
"fish","reef","Feather Reef",2024,"2023.6904109589041096","Small fishes",484.36011414721185,408.60499022111014,556.3301312729557,"LTMP",9,"_"," ",485.4178642419608,"restricted","9.0m"
"fish","reef","Feather Reef",2024,"2023.6904109589041096","Small fishes",489.3859779313124,406.70786742764346,568.1314600553967,"LTMP",9,"_"," ",490.56783091919806,"expanded","9.0m"
"fish","reef","Feather Reef",2025,"2024.6493150684931507","Small fishes",521.4032816561561,437.52071333121347,600.6641985383765,"LTMP",9,"_"," ",522.8496970456745,"restricted","9.0m"
"fish","reef","Feather Reef",2025,"2024.6493150684931507","Small fishes",526.4907660303555,443.06783525269924,619.7926409400919,"LTMP",9,"_"," ",526.67337309605,"expanded","9.0m"
