a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"IN","Wet Tropics","Feather Reef",1986,"1986.06575342465753424","COTS",68,0,"0.00"
"IN","Wet Tropics","Feather Reef",1987,"1987.1506849315068493","COTS",55,0,"0.00"
"IN","Wet Tropics","Feather Reef",1988,"1988.1178082191780822","COTS",60,0,"0.00"
"IN","Wet Tropics","Feather Reef",1990,"1990.030136986301369864","COTS",52,0,"0.00"
"IN","Wet Tropics","Feather Reef",1994,"1994.13150684931506848","COTS",48,0,"0.00"
"IN","Wet Tropics","Feather Reef",1995,"1994.8328767123287671","COTS",42,0,"0.00"
"IN","Wet Tropics","Feather Reef",1996,"1996.16986301369863013","COTS",48,0,"0.00"
"IN","Wet Tropics","Feather Reef",1997,"1997.3287671232876712","COTS",42,0,"0.00"
"IN","Wet Tropics","Feather Reef",1998,"1998.10136986301369863","COTS",47,1,"0.02"
"IN","Wet Tropics","Feather Reef",1999,"1999.1095890410958904","COTS",50,0,"0.00"
"IN","Wet Tropics","Feather Reef",2000,"2000.10136986301369863","COTS",46,245,"5.33"
"IN","Wet Tropics","Feather Reef",2001,"2001.410958904109589","COTS",55,127,"2.31"
"IN","Wet Tropics","Feather Reef",2002,"2001.8821917808219178","COTS",42,0,"0.00"
"IN","Wet Tropics","Feather Reef",2003,"2002.8575342465753425","COTS",43,0,"0.00"
"IN","Wet Tropics","Feather Reef",2004,"2004.049315068493150684","COTS",55,0,"0.00"
"IN","Wet Tropics","Feather Reef",2005,"2005.09315068493150686","COTS",50,0,"0.00"
"IN","Wet Tropics","Feather Reef",2006,"2005.9178082191780822","COTS",50,0,"0.00"
"IN","Wet Tropics","Feather Reef",2007,"2007.057534246575342465","COTS",49,0,"0.00"
"IN","Wet Tropics","Feather Reef",2008,"2007.6246575342465753","COTS",47,0,"0.00"
"IN","Wet Tropics","Feather Reef",2009,"2009.35342465753424657","COTS",54,0,"0.00"
"IN","Wet Tropics","Feather Reef",2012,"2012.16164383561643836","COTS",45,0,"0.00"
"IN","Wet Tropics","Feather Reef",2014,"2014.2191780821917808","COTS",50,0,"0.00"
"IN","Wet Tropics","Feather Reef",2015,"2015.3178082191780822","COTS",46,0,"0.00"
"IN","Wet Tropics","Feather Reef",2016,"2015.9534246575342465","COTS",53,0,"0.00"
"IN","Wet Tropics","Feather Reef",2017,"2016.9698630136986301","COTS",51,1,"0.02"
"IN","Wet Tropics","Feather Reef",2018,"2018.136986301369863","COTS",44,5,"0.11"
"IN","Wet Tropics","Feather Reef",2019,"2019.1643835616438356","COTS",46,5,"0.11"
"IN","Wet Tropics","Feather Reef",2020,"2020.14520547945205478","COTS",46,0,"0.00"
"IN","Wet Tropics","Feather Reef",2021,"2021.06575342465753424","COTS",45,0,"0.00"
"IN","Wet Tropics","Feather Reef",2022,"2022.32054794520547947","COTS",53,0,"0.00"
"IN","Wet Tropics","Feather Reef",2023,"2023.18082191780821918","COTS",39,0,"0.00"
"IN","Wet Tropics","Feather Reef",2024,"2023.6904109589041096","COTS",52,0,"0.00"
"IN","Wet Tropics","Feather Reef",2025,"2024.6520547945205479","COTS",52,0,"0.00"
