"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Feather Reef","2006","2005.9232876712328767","ALGAE","63.42070640476813","59.45316625251711","68.16597721491343","LTMP","9","_"," ","63.406808005620796","null","9.0m"
"photo-transect","reef","Feather Reef","2008","2007.6219178082191781","ALGAE","63.48788124063729","59.50558570497459","66.90794962696421","LTMP","9","_"," ","63.49148466202522","null","9.0m"
"photo-transect","reef","Feather Reef","2010","2009.9123287671232877","ALGAE","44.135653267680134","40.466823671935195","47.33976401889263","LTMP","9","_"," ","44.125802845307675","null","9.0m"
"photo-transect","reef","Feather Reef","2012","2012.1589041095890411","ALGAE","67.29976928584108","63.89041895647989","70.76996120716126","LTMP","9","_"," ","67.36248651980289","null","9.0m"
"photo-transect","reef","Feather Reef","2014","2014.2191780821917808","ALGAE","46.85062835900814","42.85374587034412","50.57107208785043","LTMP","9","_"," ","46.76924173642102","null","9.0m"
"photo-transect","reef","Feather Reef","2016","2015.9534246575342465","ALGAE","37.79831541507681","34.067361555189166","40.89519681908019","LTMP","9","_"," ","37.713187473844414","null","9.0m"
"photo-transect","reef","Feather Reef","2018","2018.136986301369863","ALGAE","62.25808091909075","57.586403886812164","65.90224450615469","LTMP","9","_"," ","62.185326767090984","null","9.0m"
"photo-transect","reef","Feather Reef","2020","2020.14520547945205478","ALGAE","65.57417671817888","61.28621840261184","69.47652035904622","LTMP","9","_"," ","65.66811498694658","null","9.0m"
"photo-transect","reef","Feather Reef","2022","2022.32054794520547947","ALGAE","58.14743641201082","53.72857884696304","62.26879105447417","LTMP","9","_"," ","58.177203479053865","null","9.0m"
"photo-transect","reef","Feather Reef","2023","2023.18082191780821918","ALGAE","52.26051253310653","47.992580987695405","56.12898559435916","LTMP","9","_"," ","52.24462790935384","null","9.0m"
"photo-transect","reef","Feather Reef","2024","2023.6904109589041096","ALGAE","54.464769606177576","50.08331457027098","58.55860437870793","LTMP","9","_"," ","54.360266583482186","null","9.0m"
"photo-transect","reef","Feather Reef","2025","2024.6493150684931507","ALGAE","53.44223368903518","49.654110193147375","57.273308300956806","LTMP","9","_"," ","53.48449329949623","null","9.0m"
