"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Fitzroy Island","1994","1994.1095890410958904","SOFT CORAL","7.607272947498275","6.350726607315894","10.879370386708016","LTMP","9","West(LTMP)"," ","7.863892697139317","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","1995","1995.40273972602739727","SOFT CORAL","24.10251123598354","20.70636405763396","27.49460797555976","LTMP","9","West(LTMP)"," ","24.24663870280842","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","1996","1996.06575342465753424","SOFT CORAL","19.834581263408957","17.16546825288987","23.022844189940884","LTMP","9","West(LTMP)"," ","19.979298424093432","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","1997","1997.049315068493150684","SOFT CORAL","18.97145481635054","16.443606187790692","21.713994622143655","LTMP","9","West(LTMP)"," ","19.02195771806158","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","1998","1998.0958904109589041","SOFT CORAL","13.056311861543787","11.131270197401843","15.180534576222055","LTMP","9","West(LTMP)"," ","13.092300798922565","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","1999","1999.10410958904109589","SOFT CORAL","17.373549418654946","14.936013113084265","20.03791106932727","LTMP","9","West(LTMP)"," ","17.36713945790846","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2000","2000.08767123287671233","SOFT CORAL","16.34692017584804","14.120212907259006","18.978747275096303","LTMP","9","West(LTMP)"," ","16.42196476755411","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2001","2001.10136986301369863","SOFT CORAL","18.703180324242663","15.96348806562731","21.562296339858992","LTMP","9","West(LTMP)"," ","18.793225975245008","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2002","2001.7232876712328767","SOFT CORAL","13.916793446941323","11.891286986444227","15.877706547448708","LTMP","9","West(LTMP)"," ","13.920664432722123","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2003","2002.852054794520548","SOFT CORAL","14.930430982810178","12.914283209567376","17.27112752104479","LTMP","9","West(LTMP)"," ","15.01121273025773","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2004","2004.043835616438356165","SOFT CORAL","22.184566380700403","19.323781195109646","25.636025933523687","LTMP","9","West(LTMP)"," ","22.259503366058073","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2005","2005.09041095890410959","SOFT CORAL","25.048880046739146","21.834391422328935","28.65832907116382","LTMP","9","West(LTMP)"," ","25.17886822556415","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2007","2007.049315068493150684","SOFT CORAL","24.234441262660848","21.36903930982038","28.16851437646178","LTMP","9","West(LTMP)"," ","24.39648343037572","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2009","2009.005479452054794521","SOFT CORAL","24.95217116570263","21.781843047475164","28.404602982329507","LTMP","9","West(LTMP)"," ","25.043820465836053","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2011","2011.10410958904109589","SOFT CORAL","21.51280230333104","18.62677103927047","24.432001559885155","LTMP","9","West(LTMP)"," ","21.617082809320113","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2013","2013.043835616438356165","SOFT CORAL","24.747628495467396","21.84253681504238","28.479808592025307","LTMP","9","West(LTMP)"," ","24.85317852093717","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2015","2015.1863013698630137","SOFT CORAL","29.404089442857263","26.01447932500671","33.27644257719365","LTMP","9","West(LTMP)"," ","29.600335474594146","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2017","2016.9671232876712329","SOFT CORAL","26.23628431624755","23.35897941259203","30.175649534645572","LTMP","9","West(LTMP)"," ","26.299857963488538","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2019","2019.1589041095890411","SOFT CORAL","18.586963798269686","16.029806137574187","21.402040823525123","LTMP","9","West(LTMP)"," ","18.637274681110476","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2021","2021.043835616438356165","SOFT CORAL","20.39482413729596","17.464454572429748","23.374905393245943","LTMP","9","West(LTMP)"," ","20.50252671872154","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2022","2021.7150684931506849","SOFT CORAL","15.071527228141528","12.910138129208883","17.51016765086688","LTMP","9","West(LTMP)"," ","15.19662783195276","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2023","2023.1726027397260274","SOFT CORAL","13.040105603405006","10.998942512998171","15.146999674086311","LTMP","9","West(LTMP)"," ","13.104425566347594","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2024","2023.6465753424657534","SOFT CORAL","20.901234799955574","18.203792694308262","23.88734995603191","LTMP","9","West(LTMP)"," ","20.93231669243076","null","West(LTMP) 9.0m"
"photo-transect","reef","Fitzroy Island","2025","2025.3863013698630137","SOFT CORAL","16.485263648056925","14.306450506488073","18.967863326763386","LTMP","9","West(LTMP)"," ","16.5815319919294","null","West(LTMP) 9.0m"
