data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Gannet Cay",1995,"1994.8794520547945206","Harvested",10.16851471305861,8.24343716742089,12.960641256013757,"LTMP",9,"_"," ",10.334024731484156,"restricted","9.0m"
"fish","reef","Gannet Cay",1996,"1995.9013698630136986","Harvested",12.150752664399374,9.658591170786849,15.247939836362809,"LTMP",9,"_"," ",12.299705540585459,"restricted","9.0m"
"fish","reef","Gannet Cay",1997,"1996.8410958904109589","Harvested",8.263398027412993,6.569741145356689,10.6344853748478,"LTMP",9,"_"," ",8.364060810077401,"restricted","9.0m"
"fish","reef","Gannet Cay",1998,"1997.915068493150685","Harvested",8.75410893114221,6.810889334577039,10.955296408603473,"LTMP",9,"_"," ",8.87269144685031,"restricted","9.0m"
"fish","reef","Gannet Cay",1999,"1998.9424657534246575","Harvested",10.917998116005222,8.805503377397875,13.288446658928223,"LTMP",9,"_"," ",10.956681837349988,"restricted","9.0m"
"fish","reef","Gannet Cay",2000,"1999.9013698630136986","Harvested",7.790135893080535,6.100503436801068,9.652011520264052,"LTMP",9,"_"," ",7.848248042830137,"restricted","9.0m"
"fish","reef","Gannet Cay",2001,"2000.6876712328767123","Harvested",9.62381548008874,7.435635946518702,11.688972712743507,"LTMP",9,"_"," ",9.675765121977262,"restricted","9.0m"
"fish","reef","Gannet Cay",2002,"2001.6109589041095891","Harvested",9.148500182162335,7.399830872993681,11.345754711857872,"LTMP",9,"_"," ",9.248621502937333,"restricted","9.0m"
"fish","reef","Gannet Cay",2003,"2002.6904109589041096","Harvested",8.68441388943655,6.492045734291094,12.529883203129899,"LTMP",9,"_"," ",8.982842534287283,"restricted","9.0m"
"fish","reef","Gannet Cay",2004,"2003.810958904109589","Harvested",7.159629618516375,5.415491861045011,9.361353561838433,"LTMP",9,"_"," ",7.282901884723333,"restricted","9.0m"
"fish","reef","Gannet Cay",2005,"2004.8904109589041096","Harvested",11.494696065973724,8.868824366099686,14.077994314230661,"LTMP",9,"_"," ",11.56711825553438,"restricted","9.0m"
"fish","reef","Gannet Cay",2007,"2006.9041095890410958","Harvested",13.051692872181889,10.658386655801342,15.810546360081979,"LTMP",9,"_"," ",13.177331369114023,"restricted","9.0m"
"fish","reef","Gannet Cay",2009,"2008.9095890410958904","Harvested",9.676975328794331,7.773344619586516,11.828096568301728,"LTMP",9,"_"," ",9.779438688369783,"restricted","9.0m"
"fish","reef","Gannet Cay",2011,"2010.9452054794520548","Harvested",12.117220766591807,9.904534221853492,14.568269996939836,"LTMP",9,"_"," ",12.152472053549364,"restricted","9.0m"
"fish","reef","Gannet Cay",2013,"2012.6547945205479452","Harvested",15.712110492782802,12.826556623176002,18.505631768528467,"LTMP",9,"_"," ",15.783895168851975,"restricted","9.0m"
"fish","reef","Gannet Cay",2015,"2014.6109589041095891","Harvested",10.49695786344742,8.103833209040845,13.603943585881005,"LTMP",9,"_"," ",10.668056270204412,"restricted","9.0m"
"fish","reef","Gannet Cay",2017,"2017.052054794520547946","Harvested",12.820487376893542,10.22077893230924,15.710369133901095,"LTMP",9,"_"," ",12.931090511235062,"restricted","9.0m"
"fish","reef","Gannet Cay",2019,"2018.7315068493150685","Harvested",9.773899001439633,7.842711977712062,12.347147563825478,"LTMP",9,"_"," ",9.900484866916724,"restricted","9.0m"
"fish","reef","Gannet Cay",2021,"2020.673972602739726","Harvested",18.233952911920895,14.489645616142937,22.91076325970217,"LTMP",9,"_"," ",18.513252532929556,"restricted","9.0m"
"fish","reef","Gannet Cay",2022,"2022.019178082191780823","Harvested",23.147929663350425,20.09456230711063,26.647647948527563,"LTMP",9,"_"," ",23.237036574696198,"restricted","9.0m"
"fish","reef","Gannet Cay",2022,"2022.019178082191780823","Harvested",26.693001312210114,22.051103835205247,31.654918923753858,"LTMP",9,"_"," ",26.78166261905007,"expanded","9.0m"
"fish","reef","Gannet Cay",2023,"2022.684931506849315","Harvested",24.820581317004574,21.411535587806906,28.517874614235055,"LTMP",9,"_"," ",24.932914069016572,"restricted","9.0m"
"fish","reef","Gannet Cay",2023,"2022.684931506849315","Harvested",27.98728290068958,22.392530275163292,33.700447894661764,"LTMP",9,"_"," ",28.149965419029893,"expanded","9.0m"
"fish","reef","Gannet Cay",2024,"2023.7698630136986301","Harvested",16.65516087070405,13.914945884261565,19.641492743270355,"LTMP",9,"_"," ",16.71996239349093,"restricted","9.0m"
"fish","reef","Gannet Cay",2024,"2023.7698630136986301","Harvested",18.889417807648265,15.004875791123075,23.571744282983182,"LTMP",9,"_"," ",19.11168147793689,"expanded","9.0m"
"fish","reef","Gannet Cay",2026,"2025.8493150684931506","Harvested",14.116996175701843,11.875879176241773,16.64038691611993,"LTMP",9,"_"," ",14.14758715939244,"restricted","9.0m"
"fish","reef","Gannet Cay",2026,"2025.8493150684931506","Harvested",20.046056948263935,15.79954807483314,25.534970266100206,"LTMP",9,"_"," ",20.259845915882313,"expanded","9.0m"
