data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Gannet Cay",1995,"1994.8794520547945206","Large fishes",38.3142799877245,34.63551647264373,43.12238558342009,"LTMP",9,"_"," ",38.413836737634156,"restricted","9.0m"
"fish","reef","Gannet Cay",1996,"1995.9013698630136986","Large fishes",42.64309119181958,37.96761854746981,47.63077227627324,"LTMP",9,"_"," ",42.708616915831364,"restricted","9.0m"
"fish","reef","Gannet Cay",1997,"1996.8410958904109589","Large fishes",41.96948389132811,37.60133412205718,46.746411156410964,"LTMP",9,"_"," ",42.0911500854962,"restricted","9.0m"
"fish","reef","Gannet Cay",1998,"1997.915068493150685","Large fishes",42.93863146116456,38.13587405123584,48.05845938736735,"LTMP",9,"_"," ",43.0790240317346,"restricted","9.0m"
"fish","reef","Gannet Cay",1999,"1998.9424657534246575","Large fishes",41.50668610502109,37.29685949820146,46.08966282082305,"LTMP",9,"_"," ",41.57853668897285,"restricted","9.0m"
"fish","reef","Gannet Cay",2000,"1999.9013698630136986","Large fishes",41.45682936974082,37.37780884329747,46.40855481556886,"LTMP",9,"_"," ",41.52283160679915,"restricted","9.0m"
"fish","reef","Gannet Cay",2001,"2000.6876712328767123","Large fishes",47.29000675313733,41.756716541728835,51.622999854148084,"LTMP",9,"_"," ",47.23124251998067,"restricted","9.0m"
"fish","reef","Gannet Cay",2002,"2001.6109589041095891","Large fishes",46.28785037077953,41.74577111940905,51.920791244771586,"LTMP",9,"_"," ",46.3745333816873,"restricted","9.0m"
"fish","reef","Gannet Cay",2003,"2002.6904109589041096","Large fishes",36.265595347085096,32.455489839114406,40.120487894987335,"LTMP",9,"_"," ",36.356710386598,"restricted","9.0m"
"fish","reef","Gannet Cay",2004,"2003.810958904109589","Large fishes",37.20131302544728,32.90360895513773,41.23145275873625,"LTMP",9,"_"," ",37.28175061729081,"restricted","9.0m"
"fish","reef","Gannet Cay",2005,"2004.8904109589041096","Large fishes",42.4442911432419,37.80458966418671,47.275418348456746,"LTMP",9,"_"," ",42.529294329659855,"restricted","9.0m"
"fish","reef","Gannet Cay",2007,"2006.9041095890410958","Large fishes",41.42161510577563,37.577552992209874,46.62490315646322,"LTMP",9,"_"," ",41.437651578244875,"restricted","9.0m"
"fish","reef","Gannet Cay",2009,"2008.9095890410958904","Large fishes",40.86506749900471,36.3656533805281,45.46811372259544,"LTMP",9,"_"," ",40.96797571089736,"restricted","9.0m"
"fish","reef","Gannet Cay",2011,"2010.9452054794520548","Large fishes",30.72598721328466,26.699897295820357,34.70851261650695,"LTMP",9,"_"," ",30.849236403240525,"restricted","9.0m"
"fish","reef","Gannet Cay",2013,"2012.6547945205479452","Large fishes",33.27094902490964,29.360647407683974,37.8913239332592,"LTMP",9,"_"," ",33.382555686124036,"restricted","9.0m"
"fish","reef","Gannet Cay",2015,"2014.6109589041095891","Large fishes",25.11353627557444,21.9687196598583,28.749207251500156,"LTMP",9,"_"," ",25.24487195344878,"restricted","9.0m"
"fish","reef","Gannet Cay",2017,"2017.052054794520547946","Large fishes",34.13723282401514,29.95317205546565,37.963817594293246,"LTMP",9,"_"," ",34.19552935177624,"restricted","9.0m"
"fish","reef","Gannet Cay",2019,"2018.7315068493150685","Large fishes",37.62879397972954,33.25355153467972,42.25075984906782,"LTMP",9,"_"," ",37.74825126797779,"restricted","9.0m"
"fish","reef","Gannet Cay",2021,"2020.673972602739726","Large fishes",44.30427143679627,39.55770792831122,49.59461209346674,"LTMP",9,"_"," ",44.465684625879526,"restricted","9.0m"
"fish","reef","Gannet Cay",2022,"2022.019178082191780823","Large fishes",59.919969236784844,54.35258744991206,65.5067372454774,"LTMP",9,"_"," ",60.12346422558969,"restricted","9.0m"
"fish","reef","Gannet Cay",2022,"2022.019178082191780823","Large fishes",159.0139537134046,123.41262433115791,191.15392073279568,"LTMP",9,"_"," ",159.43567524032858,"expanded","9.0m"
"fish","reef","Gannet Cay",2023,"2022.684931506849315","Large fishes",61.47296858317466,55.02040626508543,67.67239635959318,"LTMP",9,"_"," ",61.54597688698863,"restricted","9.0m"
"fish","reef","Gannet Cay",2023,"2022.684931506849315","Large fishes",231.40253819948504,182.35343387773608,282.2220104508111,"LTMP",9,"_"," ",232.7070207731401,"expanded","9.0m"
"fish","reef","Gannet Cay",2024,"2023.7698630136986301","Large fishes",55.875692593434536,50.49181161248184,61.65673827159089,"LTMP",9,"_"," ",56.05648668970955,"restricted","9.0m"
"fish","reef","Gannet Cay",2024,"2023.7698630136986301","Large fishes",211.2976287482944,167.2483378615129,255.45500356683374,"LTMP",9,"_"," ",211.7412527548166,"expanded","9.0m"
"fish","reef","Gannet Cay",2026,"2025.8493150684931506","Large fishes",43.59707450804329,38.59247318433187,48.25624612140446,"LTMP",9,"_"," ",43.64498301635965,"restricted","9.0m"
"fish","reef","Gannet Cay",2026,"2025.8493150684931506","Large fishes",148.49166458458416,117.12668046674301,179.9517956822951,"LTMP",9,"_"," ",148.65439750572136,"expanded","9.0m"
