data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Gannet Cay",1995,"1994.8794520547945206","Small fishes",206.91190909063778,176.0538515863668,239.01170489496673,"LTMP",9,"_"," ",206.8839131108881,"restricted","9.0m"
"fish","reef","Gannet Cay",1996,"1995.9013698630136986","Small fishes",288.94991242018875,246.50672985975518,334.9172531775059,"LTMP",9,"_"," ",289.30474236167385,"restricted","9.0m"
"fish","reef","Gannet Cay",1997,"1996.8410958904109589","Small fishes",390.1798597264227,334.7408588987113,451.99170076531726,"LTMP",9,"_"," ",390.2988639861814,"restricted","9.0m"
"fish","reef","Gannet Cay",1998,"1997.915068493150685","Small fishes",234.17066478520587,199.04334163893236,270.64380083217975,"LTMP",9,"_"," ",234.13539152801175,"restricted","9.0m"
"fish","reef","Gannet Cay",1999,"1998.9424657534246575","Small fishes",202.06047787814245,172.34662251972097,234.0972131421919,"LTMP",9,"_"," ",202.46757025519284,"restricted","9.0m"
"fish","reef","Gannet Cay",2000,"1999.9013698630136986","Small fishes",258.26923554273117,217.52635056500637,296.0918452203094,"LTMP",9,"_"," ",258.49627839222876,"restricted","9.0m"
"fish","reef","Gannet Cay",2001,"2000.6876712328767123","Small fishes",178.8921819627074,149.44277916429468,205.4212303696001,"LTMP",9,"_"," ",179.529734932309,"restricted","9.0m"
"fish","reef","Gannet Cay",2002,"2001.6109589041095891","Small fishes",244.0264195347293,206.31437748937518,279.9868992022309,"LTMP",9,"_"," ",244.2171939470676,"restricted","9.0m"
"fish","reef","Gannet Cay",2003,"2002.6904109589041096","Small fishes",193.04845301652563,164.9199668167372,222.48454670499785,"LTMP",9,"_"," ",193.2189093933202,"restricted","9.0m"
"fish","reef","Gannet Cay",2004,"2003.810958904109589","Small fishes",199.0732037066228,168.84937567269392,229.43074229400852,"LTMP",9,"_"," ",199.15666896619746,"restricted","9.0m"
"fish","reef","Gannet Cay",2005,"2004.8904109589041096","Small fishes",384.6232902570854,326.33916774436483,442.52307451549655,"LTMP",9,"_"," ",384.54933153270025,"restricted","9.0m"
"fish","reef","Gannet Cay",2007,"2006.9041095890410958","Small fishes",408.6180233751301,343.87115627909674,471.13320024106355,"LTMP",9,"_"," ",408.34489949509253,"restricted","9.0m"
"fish","reef","Gannet Cay",2009,"2008.9095890410958904","Small fishes",501.92504975775097,433.2709355666538,581.3280259995644,"LTMP",9,"_"," ",501.999349016167,"restricted","9.0m"
"fish","reef","Gannet Cay",2011,"2010.9452054794520548","Small fishes",532.0208811188849,448.86440900231315,609.3488194624754,"LTMP",9,"_"," ",532.8266104368367,"restricted","9.0m"
"fish","reef","Gannet Cay",2013,"2012.6547945205479452","Small fishes",469.0685363006779,403.70650398535787,547.5764568908928,"LTMP",9,"_"," ",469.6647704431502,"restricted","9.0m"
"fish","reef","Gannet Cay",2015,"2014.6109589041095891","Small fishes",304.6271657407376,260.20643539087706,354.77045183520306,"LTMP",9,"_"," ",304.77388401297287,"restricted","9.0m"
"fish","reef","Gannet Cay",2017,"2017.052054794520547946","Small fishes",1000.9105990214193,855.1876084630452,1157.2849360936962,"LTMP",9,"_"," ",1001.2895329542815,"restricted","9.0m"
"fish","reef","Gannet Cay",2019,"2018.7315068493150685","Small fishes",426.8354254084562,365.58504834657214,494.12929246750497,"LTMP",9,"_"," ",427.2034629247255,"restricted","9.0m"
"fish","reef","Gannet Cay",2021,"2020.673972602739726","Small fishes",465.3378378328589,392.71729566212724,535.6590669297306,"LTMP",9,"_"," ",465.4250233073719,"restricted","9.0m"
"fish","reef","Gannet Cay",2022,"2022.019178082191780823","Small fishes",759.6425792451843,653.1175049810705,883.9596350576879,"LTMP",9,"_"," ",760.396884553639,"restricted","9.0m"
"fish","reef","Gannet Cay",2022,"2022.019178082191780823","Small fishes",830.2315250434577,628.1006148843045,1019.9650768995377,"LTMP",9,"_"," ",835.6314108352888,"expanded","9.0m"
"fish","reef","Gannet Cay",2023,"2022.684931506849315","Small fishes",455.99821935807216,381.95418467866926,525.4328120969441,"LTMP",9,"_"," ",457.01578727914733,"restricted","9.0m"
"fish","reef","Gannet Cay",2023,"2022.684931506849315","Small fishes",537.9426487716232,435.418246148609,651.4576443713357,"LTMP",9,"_"," ",541.9371404551166,"expanded","9.0m"
"fish","reef","Gannet Cay",2024,"2023.7698630136986301","Small fishes",369.81791326001286,318.01784559641357,431.36409240461387,"LTMP",9,"_"," ",369.37511751589705,"restricted","9.0m"
"fish","reef","Gannet Cay",2024,"2023.7698630136986301","Small fishes",419.7366814565608,353.62285677658826,494.6122594454434,"LTMP",9,"_"," ",421.1595532602889,"expanded","9.0m"
"fish","reef","Gannet Cay",2026,"2025.8493150684931506","Small fishes",267.2377294808714,223.67581346834368,306.3809140337216,"LTMP",9,"_"," ",267.5211496957058,"restricted","9.0m"
"fish","reef","Gannet Cay",2026,"2025.8493150684931506","Small fishes",325.73319969895886,275.3817077346756,394.3482106342393,"LTMP",9,"_"," ",329.0992643628278,"expanded","9.0m"
