a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"SW","Fitzroy","Gannet Cay",1986,"1985.5671232876712329","COTS",24,9,"0.38"
"SW","Fitzroy","Gannet Cay",1988,"1987.8657534246575342","COTS",21,15,"0.71"
"SW","Fitzroy","Gannet Cay",1990,"1989.7589041095890411","COTS",17,71,"4.18"
"SW","Fitzroy","Gannet Cay",1991,"1990.673972602739726","COTS",18,60,"3.33"
"SW","Fitzroy","Gannet Cay",1992,"1991.6712328767123288","COTS",19,37,"1.95"
"SW","Fitzroy","Gannet Cay",1993,"1992.7589041095890411","COTS",20,122,"6.10"
"SW","Fitzroy","Gannet Cay",1994,"1994.38904109589041097","COTS",19,19,"1.00"
"SW","Fitzroy","Gannet Cay",1995,"1994.8767123287671232","COTS",20,5,"0.25"
"SW","Fitzroy","Gannet Cay",1996,"1995.9013698630136986","COTS",19,4,"0.21"
"SW","Fitzroy","Gannet Cay",1997,"1996.8438356164383561","COTS",21,70,"3.33"
"SW","Fitzroy","Gannet Cay",1998,"1997.915068493150685","COTS",19,79,"4.16"
"SW","Fitzroy","Gannet Cay",1999,"1998.9452054794520548","COTS",22,28,"1.27"
"SW","Fitzroy","Gannet Cay",2000,"1999.9013698630136986","COTS",21,95,"4.52"
"SW","Fitzroy","Gannet Cay",2001,"2000.6876712328767123","COTS",18,978,"54.33"
"SW","Fitzroy","Gannet Cay",2002,"2001.6109589041095891","COTS",19,100,"5.26"
"SW","Fitzroy","Gannet Cay",2003,"2002.6904109589041096","COTS",22,21,"0.95"
"SW","Fitzroy","Gannet Cay",2004,"2003.810958904109589","COTS",17,1,"0.06"
"SW","Fitzroy","Gannet Cay",2005,"2004.8931506849315068","COTS",17,0,"0.00"
"SW","Fitzroy","Gannet Cay",2006,"2006.010958904109589041","COTS",21,0,"0.00"
"SW","Fitzroy","Gannet Cay",2007,"2006.9068493150684932","COTS",16,0,"0.00"
"SW","Fitzroy","Gannet Cay",2008,"2007.9506849315068493","COTS",23,0,"0.00"
"SW","Fitzroy","Gannet Cay",2009,"2008.9095890410958904","COTS",18,0,"0.00"
"SW","Fitzroy","Gannet Cay",2010,"2009.8054794520547945","COTS",17,0,"0.00"
"SW","Fitzroy","Gannet Cay",2011,"2010.9452054794520548","COTS",20,0,"0.00"
"SW","Fitzroy","Gannet Cay",2012,"2011.8986301369863013","COTS",21,0,"0.00"
"SW","Fitzroy","Gannet Cay",2013,"2012.6547945205479452","COTS",19,0,"0.00"
"SW","Fitzroy","Gannet Cay",2015,"2014.6109589041095891","COTS",21,0,"0.00"
"SW","Fitzroy","Gannet Cay",2017,"2017.052054794520547946","COTS",20,1,"0.05"
"SW","Fitzroy","Gannet Cay",2019,"2018.7315068493150685","COTS",20,76,"3.80"
"SW","Fitzroy","Gannet Cay",1987,"1986.8876712328767123","COTS",25,3,"0.12"
"SW","Fitzroy","Gannet Cay",2021,"2020.673972602739726","COTS",24,349,"14.54"
"SW","Fitzroy","Gannet Cay",2022,"2022.019178082191780823","COTS",19,120,"6.32"
"SW","Fitzroy","Gannet Cay",2023,"2022.684931506849315","COTS",18,39,"2.17"
"SW","Fitzroy","Gannet Cay",2024,"2023.7643835616438356","COTS",21,0,"0.00"
"SW","Fitzroy","Gannet Cay",2025,"2024.8794520547945206","COTS",19,0,"0.00"
"SW","Fitzroy","Gannet Cay",2026,"2025.8493150684931506","COTS",19,0,"0.00"
