"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Green Island","1993","1993.4575342465753425","ALGAE","68.29384421049673","62.57468692121832","79.64697510070907","LTMP","9","_"," ","68.8531743987239","null","9.0m"
"photo-transect","reef","Green Island","1994","1994.10136986301369863","ALGAE","65.10660201280083","56.75282785564863","76.40312800266081","LTMP","9","_"," ","65.78961051522373","null","9.0m"
"photo-transect","reef","Green Island","1995","1995.29041095890410956","ALGAE","69.31012641439705","62.79326104162807","80.8636471700854","LTMP","9","_"," ","69.99175832018744","null","9.0m"
"photo-transect","reef","Green Island","1996","1996.06301369863013699","ALGAE","62.3589871371794","53.609547936034815","75.67564507551228","LTMP","9","_"," ","63.18962570751944","null","9.0m"
"photo-transect","reef","Green Island","1997","1997.04657534246575343","ALGAE","71.31750304178865","63.996023945240395","82.98869331506047","LTMP","9","_"," ","71.78912349739367","null","9.0m"
"photo-transect","reef","Green Island","1998","1998.09041095890410959","ALGAE","71.52560004611972","62.91925410510345","89.77565006419059","LTMP","9","_"," ","72.82512243732509","null","9.0m"
"photo-transect","reef","Green Island","1999","1999.09315068493150686","ALGAE","68.40753373596125","59.83513238503294","85.68223380633472","LTMP","9","_"," ","69.59963540864503","null","9.0m"
"photo-transect","reef","Green Island","2000","2000.08767123287671233","ALGAE","73.18905043765933","64.55552044346615","88.3770641641911","LTMP","9","_"," ","73.977934416945","null","9.0m"
"photo-transect","reef","Green Island","2001","2001.1095890410958904","ALGAE","75.97122533638336","69.32999814442724","89.22143427561032","LTMP","9","_"," ","76.7693008075939","null","9.0m"
"photo-transect","reef","Green Island","2002","2001.7287671232876712","ALGAE","73.37115226909","66.14182602350257","86.20676324357107","LTMP","9","_"," ","74.11706328536515","null","9.0m"
"photo-transect","reef","Green Island","2003","2002.810958904109589","ALGAE","74.96941382160097","62.27661413052361","96.61303982025737","LTMP","9","_"," ","76.49722245741751","null","9.0m"
"photo-transect","reef","Green Island","2004","2004.03561643835616438","ALGAE","71.44996662391911","64.11632858488771","80.41980487301834","LTMP","9","_"," ","72.01926537318332","null","9.0m"
"photo-transect","reef","Green Island","2005","2005.08493150684931507","ALGAE","70.14896370518922","62.69540377383686","82.55404770791326","LTMP","9","_"," ","70.74595927725143","null","9.0m"
"photo-transect","reef","Green Island","2007","2007.00821917808219178","ALGAE","61.322447978817586","53.89890881327247","74.63610823313884","LTMP","9","_"," ","62.19539430074481","null","9.0m"
"photo-transect","reef","Green Island","2009","2009.019178082191780823","ALGAE","53.94330054227143","46.86228128936044","71.12233102805241","LTMP","9","_"," ","55.082391478914985","null","9.0m"
"photo-transect","reef","Green Island","2011","2011.10136986301369863","ALGAE","58.2406046223509","50.97621575298611","72.28835707252355","LTMP","9","_"," ","59.17214361114809","null","9.0m"
"photo-transect","reef","Green Island","2013","2013.038356164383561646","ALGAE","71.0278163993401","64.98620435492604","78.78244262825203","LTMP","9","_"," ","71.15546254868823","null","9.0m"
"photo-transect","reef","Green Island","2015","2015.18082191780821918","ALGAE","68.80999606531529","60.473010618981306","84.13217719987296","LTMP","9","_"," ","69.80951065265539","null","9.0m"
"photo-transect","reef","Green Island","2017","2016.9232876712328767","ALGAE","75.66084318218205","68.38005869492414","89.5339372309898","LTMP","9","_"," ","76.46469762019201","null","9.0m"
"photo-transect","reef","Green Island","2019","2019.15616438356164383","ALGAE","71.44753272202315","63.52164858865087","86.24381080573062","LTMP","9","_"," ","72.4424621096481","null","9.0m"
"photo-transect","reef","Green Island","2021","2020.852054794520548","ALGAE","65.53778500509215","56.086246104830515","80.0812922369153","LTMP","9","_"," ","66.30566602187059","null","9.0m"
