"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Green Island","1993","1993.4575342465753425","HARD CORAL","9.415455385161541","4.327357266585128","16.457782020478213","LTMP","9","_"," ","9.895790537930589","null","9.0m"
"photo-transect","reef","Green Island","1994","1994.10136986301369863","HARD CORAL","8.968949384962539","4.236431199025224","15.897133268601705","LTMP","9","_"," ","9.463191813097806","null","9.0m"
"photo-transect","reef","Green Island","1995","1995.29041095890410956","HARD CORAL","12.459009412254646","5.849266673620388","21.469061332827984","LTMP","9","_"," ","13.163373647199652","null","9.0m"
"photo-transect","reef","Green Island","1996","1996.06301369863013699","HARD CORAL","15.107826229429143","6.675457980463263","25.05896045255448","LTMP","9","_"," ","15.720038163271365","null","9.0m"
"photo-transect","reef","Green Island","1997","1997.04657534246575343","HARD CORAL","7.617536572144864","3.311108190392853","13.187438723075322","LTMP","9","_"," ","8.007625614164839","null","9.0m"
"photo-transect","reef","Green Island","1998","1998.09041095890410959","HARD CORAL","6.466680882312152","3.221707139384295","11.577969470906513","LTMP","9","_"," ","6.874818384128506","null","9.0m"
"photo-transect","reef","Green Island","1999","1999.09315068493150686","HARD CORAL","5.840222343365258","2.7675124391342747","10.272292073471931","LTMP","9","_"," ","6.166664913371264","null","9.0m"
"photo-transect","reef","Green Island","2000","2000.08767123287671233","HARD CORAL","3.9472639658699378","1.8220697803932162","7.025017006946947","LTMP","9","_"," ","4.195274143085801","null","9.0m"
"photo-transect","reef","Green Island","2001","2001.1095890410958904","HARD CORAL","4.1769897119835635","1.8288220116247862","7.4630470821991","LTMP","9","_"," ","4.441228521398365","null","9.0m"
"photo-transect","reef","Green Island","2002","2001.7287671232876712","HARD CORAL","4.5708618072179625","2.0670559087160196","8.111487223811562","LTMP","9","_"," ","4.861190340992319","null","9.0m"
"photo-transect","reef","Green Island","2003","2002.810958904109589","HARD CORAL","4.82613565360706","2.1685521198099655","8.4339476055088","LTMP","9","_"," ","5.115468290645344","null","9.0m"
"photo-transect","reef","Green Island","2004","2004.03561643835616438","HARD CORAL","7.161947875084065","3.356558768463138","12.556559219362137","LTMP","9","_"," ","7.594185798351523","null","9.0m"
"photo-transect","reef","Green Island","2005","2005.08493150684931507","HARD CORAL","9.288205082274935","4.377878629003408","16.209792198840763","LTMP","9","_"," ","9.855858574930226","null","9.0m"
"photo-transect","reef","Green Island","2007","2007.00821917808219178","HARD CORAL","13.383602307926544","6.234950635809963","23.254618544283712","LTMP","9","_"," ","13.992072782928672","null","9.0m"
"photo-transect","reef","Green Island","2009","2009.019178082191780823","HARD CORAL","20.29609540499378","9.83331945458484","34.08781575212746","LTMP","9","_"," ","21.13129342861967","null","9.0m"
"photo-transect","reef","Green Island","2011","2011.10136986301369863","HARD CORAL","16.1581147093358","8.150364223387239","28.113709651533725","LTMP","9","_"," ","16.9485114737142","null","9.0m"
"photo-transect","reef","Green Island","2013","2013.038356164383561646","HARD CORAL","10.143787291670314","5.151042086175373","17.46826944482586","LTMP","9","_"," ","10.607246859981403","null","9.0m"
"photo-transect","reef","Green Island","2015","2015.18082191780821918","HARD CORAL","5.8156487190390775","2.9702165909578597","10.69531786589285","LTMP","9","_"," ","6.198594560661906","null","9.0m"
"photo-transect","reef","Green Island","2017","2016.9232876712328767","HARD CORAL","8.642520647348244","4.271288802427583","15.097081346468524","LTMP","9","_"," ","8.99188005392466","null","9.0m"
"photo-transect","reef","Green Island","2019","2019.15616438356164383","HARD CORAL","11.312585521684191","5.518815265867446","19.50609698022474","LTMP","9","_"," ","11.81418176873147","null","9.0m"
"photo-transect","reef","Green Island","2021","2020.852054794520548","HARD CORAL","14.320369595368767","6.744122478017671","23.900692546983095","LTMP","9","_"," ","14.914060547652012","null","9.0m"
