data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Hastings Reef",1995,"1995.2602739726027397","Harvested",8.226468869683753,5.973792114386993,10.915247611234628,"LTMP",9,"_"," ",8.30755641132935,"restricted","9.0m"
"fish","reef","Hastings Reef",1996,"1996.0547945205479452","Harvested",10.36980683082598,7.259934078416013,13.95707465616111,"LTMP",9,"_"," ",10.618337993954508,"restricted","9.0m"
"fish","reef","Hastings Reef",1997,"1997.06301369863013699","Harvested",6.374286162240972,4.0817421070558195,9.700323325146265,"LTMP",9,"_"," ",6.568970108284513,"restricted","9.0m"
"fish","reef","Hastings Reef",1998,"1998.06027397260273973","Harvested",6.022727819780905,3.8320220701147454,8.890930733713214,"LTMP",9,"_"," ",6.211754128858287,"restricted","9.0m"
"fish","reef","Hastings Reef",1999,"1999.09315068493150686","Harvested",5.215314260048867,3.2448061468999456,8.109507394333233,"LTMP",9,"_"," ",5.378441391410135,"restricted","9.0m"
"fish","reef","Hastings Reef",2000,"2000.0547945205479452","Harvested",5.436320969605612,3.211151034475667,8.931913376625287,"LTMP",9,"_"," ",5.78670936068007,"restricted","9.0m"
"fish","reef","Hastings Reef",2001,"2001.11506849315068493","Harvested",11.571992873440127,8.331657634283774,15.1486548738326,"LTMP",9,"_"," ",11.689782899581342,"restricted","9.0m"
"fish","reef","Hastings Reef",2002,"2001.736986301369863","Harvested",6.527918308188828,3.802668528820245,10.196287817877565,"LTMP",9,"_"," ",6.811233412754947,"restricted","9.0m"
"fish","reef","Hastings Reef",2003,"2002.8383561643835616","Harvested",5.347770148285164,3.4802358822307102,7.6301145622510775,"LTMP",9,"_"," ",5.438978572156306,"restricted","9.0m"
"fish","reef","Hastings Reef",2004,"2004.030136986301369864","Harvested",5.061743518649028,3.1374278494988945,7.17096688070017,"LTMP",9,"_"," ",5.16078308056862,"restricted","9.0m"
"fish","reef","Hastings Reef",2005,"2005.06301369863013699","Harvested",4.659984250699301,2.9174995843739393,7.222347816027836,"LTMP",9,"_"," ",4.8195910905291415,"restricted","9.0m"
"fish","reef","Hastings Reef",2006,"2005.8","Harvested",8.7938322879078,5.8281917089388,12.532732729406334,"LTMP",9,"_"," ",9.033461398110992,"restricted","9.0m"
"fish","reef","Hastings Reef",2007,"2007.0410958904109589","Harvested",4.028440823056354,2.3919715690573957,6.5667765751354965,"LTMP",9,"_"," ",4.204824080184985,"restricted","9.0m"
"fish","reef","Hastings Reef",2008,"2008.32602739726027397","Harvested",5.8074370110062805,3.8667917415036346,8.443307310602078,"LTMP",9,"_"," ",5.988024074833386,"restricted","9.0m"
"fish","reef","Hastings Reef",2009,"2009.3561643835616438","Harvested",4.450280050864322,2.3997775467043323,8.555424885360095,"LTMP",9,"_"," ",4.8727605328911645,"restricted","9.0m"
"fish","reef","Hastings Reef",2010,"2009.8931506849315068","Harvested",7.436960772987916,5.010356994399979,10.663701530896226,"LTMP",9,"_"," ",7.649136216927694,"restricted","9.0m"
"fish","reef","Hastings Reef",2011,"2011.0821917808219178","Harvested",4.072461802514127,2.057115045390692,6.444168494703246,"LTMP",9,"_"," ",4.234504334721861,"restricted","9.0m"
"fish","reef","Hastings Reef",2012,"2012.13424657534246576","Harvested",10.33739009549161,7.659894849594613,13.477396588205623,"LTMP",9,"_"," ",10.49195586483654,"restricted","9.0m"
"fish","reef","Hastings Reef",2013,"2013.030136986301369864","Harvested",6.419643262400263,4.514743321772991,8.616955276136713,"LTMP",9,"_"," ",6.518581830460107,"restricted","9.0m"
"fish","reef","Hastings Reef",2014,"2014.2054794520547945","Harvested",8.34916741530315,5.825782104750403,11.346182455048321,"LTMP",9,"_"," ",8.506221505336752,"restricted","9.0m"
"fish","reef","Hastings Reef",2015,"2015.1589041095890411","Harvested",7.057963017085006,4.706483605893407,9.49283293465177,"LTMP",9,"_"," ",7.1547060660128805,"restricted","9.0m"
"fish","reef","Hastings Reef",2016,"2015.9232876712328767","Harvested",6.806022886795381,4.30014844500456,10.944868613190339,"LTMP",9,"_"," ",7.091548820919259,"restricted","9.0m"
"fish","reef","Hastings Reef",2017,"2016.7095890410958904","Harvested",7.35119488155612,4.688319118152004,11.566281523606067,"LTMP",9,"_"," ",7.610062414083331,"restricted","9.0m"
"fish","reef","Hastings Reef",2018,"2017.9506849315068493","Harvested",7.1563505409266295,4.670174551999834,10.072256129656862,"LTMP",9,"_"," ",7.309095999341127,"restricted","9.0m"
"fish","reef","Hastings Reef",2019,"2019.14246575342465753","Harvested",13.058845608854691,9.27127138193273,18.872459138641364,"LTMP",9,"_"," ",13.473831518394405,"restricted","9.0m"
"fish","reef","Hastings Reef",2020,"2020.11506849315068493","Harvested",6.041321041342048,3.812678339662202,8.789890009604257,"LTMP",9,"_"," ",6.263919759536371,"restricted","9.0m"
"fish","reef","Hastings Reef",2021,"2021.043835616438356165","Harvested",11.606946625119999,8.13245871795536,16.065082616074577,"LTMP",9,"_"," ",11.89140110944003,"restricted","9.0m"
"fish","reef","Hastings Reef",2022,"2022.3150684931506849","Harvested",9.015278544774244,6.055353510867951,12.931103912877948,"LTMP",9,"_"," ",9.295333411044657,"restricted","9.0m"
"fish","reef","Hastings Reef",2022,"2022.3150684931506849","Harvested",9.389587458596257,5.874013645714717,13.971134964101813,"LTMP",9,"_"," ",9.753332994820362,"expanded","9.0m"
"fish","reef","Hastings Reef",2023,"2023.1643835616438356","Harvested",8.451780174138563,6.190632839318142,11.200606631257498,"LTMP",9,"_"," ",8.54218163997326,"restricted","9.0m"
"fish","reef","Hastings Reef",2023,"2023.1643835616438356","Harvested",9.446040776928069,5.973219146632687,13.755385747441215,"LTMP",9,"_"," ",9.80523560075297,"expanded","9.0m"
"fish","reef","Hastings Reef",2024,"2023.673972602739726","Harvested",12.81302556224666,9.179861008551839,17.07133551433277,"LTMP",9,"_"," ",13.041332905057047,"restricted","9.0m"
"fish","reef","Hastings Reef",2024,"2023.673972602739726","Harvested",15.90078817890289,9.94362768948582,26.272186625724515,"LTMP",9,"_"," ",16.894215258037203,"expanded","9.0m"
"fish","reef","Hastings Reef",2025,"2024.7698630136986301","Harvested",8.523534980102582,6.2779661346461575,10.923773295771692,"LTMP",9,"_"," ",8.59699355925675,"restricted","9.0m"
"fish","reef","Hastings Reef",2025,"2024.7698630136986301","Harvested",33.05441440965966,21.532073040622194,47.30363930017616,"LTMP",9,"_"," ",33.812277825449286,"expanded","9.0m"
