data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Hastings Reef",1995,"1995.2602739726027397","Large fishes",44.95138611518832,38.43844222133598,53.21841855590822,"LTMP",9,"_"," ",45.05892893521319,"restricted","9.0m"
"fish","reef","Hastings Reef",1996,"1996.0547945205479452","Large fishes",54.53178778341788,45.708538547143775,62.57543983496418,"LTMP",9,"_"," ",54.63771561504357,"restricted","9.0m"
"fish","reef","Hastings Reef",1997,"1997.06301369863013699","Large fishes",43.621902536026944,36.82826928247138,50.988600881260446,"LTMP",9,"_"," ",43.741440818219985,"restricted","9.0m"
"fish","reef","Hastings Reef",1998,"1998.06027397260273973","Large fishes",38.72233955196495,32.149813769133374,45.97987439234624,"LTMP",9,"_"," ",38.81628251900834,"restricted","9.0m"
"fish","reef","Hastings Reef",1999,"1999.09315068493150686","Large fishes",39.19438905805672,33.66912901355416,46.88581417824134,"LTMP",9,"_"," ",39.32116485691892,"restricted","9.0m"
"fish","reef","Hastings Reef",2000,"2000.0547945205479452","Large fishes",33.517352487443894,27.873562970999043,39.31843549062939,"LTMP",9,"_"," ",33.649598152185796,"restricted","9.0m"
"fish","reef","Hastings Reef",2001,"2001.11506849315068493","Large fishes",46.26532812571402,39.42848589804469,54.310939477299954,"LTMP",9,"_"," ",46.372298542337376,"restricted","9.0m"
"fish","reef","Hastings Reef",2002,"2001.736986301369863","Large fishes",35.147261791921196,29.0281867801426,41.10684796025792,"LTMP",9,"_"," ",35.29964951180851,"restricted","9.0m"
"fish","reef","Hastings Reef",2003,"2002.8383561643835616","Large fishes",41.36624695790334,35.04105257572283,48.16079060281914,"LTMP",9,"_"," ",41.48575854775237,"restricted","9.0m"
"fish","reef","Hastings Reef",2004,"2004.030136986301369864","Large fishes",48.75541930016357,41.90157717316428,57.73131917092826,"LTMP",9,"_"," ",48.807975580231044,"restricted","9.0m"
"fish","reef","Hastings Reef",2005,"2005.06301369863013699","Large fishes",41.873553488420114,34.780758788383096,48.56941070848767,"LTMP",9,"_"," ",41.96472333169645,"restricted","9.0m"
"fish","reef","Hastings Reef",2006,"2005.8","Large fishes",42.51062962654226,35.56224117405131,49.01707718587211,"LTMP",9,"_"," ",42.549105332297614,"restricted","9.0m"
"fish","reef","Hastings Reef",2007,"2007.0410958904109589","Large fishes",40.95775904927889,34.98080126982229,48.01276943522689,"LTMP",9,"_"," ",41.11098138763926,"restricted","9.0m"
"fish","reef","Hastings Reef",2008,"2008.32602739726027397","Large fishes",41.882915039609514,35.78371462963694,48.7733052809523,"LTMP",9,"_"," ",42.17762542329251,"restricted","9.0m"
"fish","reef","Hastings Reef",2009,"2009.3561643835616438","Large fishes",45.77241015733395,39.95152607890242,53.989180490078034,"LTMP",9,"_"," ",46.03447518169401,"restricted","9.0m"
"fish","reef","Hastings Reef",2010,"2009.8931506849315068","Large fishes",37.01182066923444,30.695710900861492,42.8649189366387,"LTMP",9,"_"," ",37.0938853069928,"restricted","9.0m"
