"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Hastings Reef","1993","1993.4712328767123288","ALGAE","65.83144587904847","59.211984695980114","72.2668688624745","LTMP","9","_"," ","65.94053346310545","null","9.0m"
"photo-transect","reef","Hastings Reef","1994","1994.0958904109589041","ALGAE","68.11069643927092","61.60303158440189","74.54675521348678","LTMP","9","_"," ","68.13254329283208","null","9.0m"
"photo-transect","reef","Hastings Reef","1995","1995.2602739726027397","ALGAE","62.88402785732686","56.41644376151203","68.93408161537488","LTMP","9","_"," ","62.92347794360966","null","9.0m"
"photo-transect","reef","Hastings Reef","1996","1996.0547945205479452","ALGAE","57.296130497360544","49.86811900477032","63.811678735478715","LTMP","9","_"," ","57.29440588780497","null","9.0m"
"photo-transect","reef","Hastings Reef","1997","1997.06301369863013699","ALGAE","55.18871439860591","49.00286349223054","62.82354015062318","LTMP","9","_"," ","55.334297895862505","null","9.0m"
"photo-transect","reef","Hastings Reef","1998","1998.06027397260273973","ALGAE","56.02920247909851","48.4051862151255","62.12630018853827","LTMP","9","_"," ","55.92647166825089","null","9.0m"
"photo-transect","reef","Hastings Reef","1999","1999.09315068493150686","ALGAE","55.22972504467987","48.41434500764033","62.21865531808922","LTMP","9","_"," ","55.402765918766306","null","9.0m"
"photo-transect","reef","Hastings Reef","2000","2000.0547945205479452","ALGAE","61.66380536609627","54.646652754667066","69.06601600843733","LTMP","9","_"," ","61.645541293310025","null","9.0m"
"photo-transect","reef","Hastings Reef","2001","2001.11506849315068493","ALGAE","62.565449860152626","55.81887646824131","69.35248853700948","LTMP","9","_"," ","62.6737722820836","null","9.0m"
"photo-transect","reef","Hastings Reef","2002","2001.736986301369863","ALGAE","56.689055019049505","49.500269069610354","64.34701958667874","LTMP","9","_"," ","56.862081475438785","null","9.0m"
"photo-transect","reef","Hastings Reef","2003","2002.8383561643835616","ALGAE","61.771706520587344","54.251230897236205","68.7531496787917","LTMP","9","_"," ","61.841549129576556","null","9.0m"
"photo-transect","reef","Hastings Reef","2004","2004.030136986301369864","ALGAE","59.42935759454302","52.54552919959695","65.9222562747271","LTMP","9","_"," ","59.386918057664374","null","9.0m"
"photo-transect","reef","Hastings Reef","2005","2005.06301369863013699","ALGAE","61.03601658353628","54.2637085471119","67.72379770805695","LTMP","9","_"," ","60.965528275203816","null","9.0m"
"photo-transect","reef","Hastings Reef","2006","2005.8","ALGAE","63.55702362472311","57.107380372341645","70.05522649245819","LTMP","9","_"," ","63.65237671561207","null","9.0m"
"photo-transect","reef","Hastings Reef","2007","2007.0410958904109589","ALGAE","61.20599812144442","54.21998801185164","68.30254776522251","LTMP","9","_"," ","61.22537101868246","null","9.0m"
"photo-transect","reef","Hastings Reef","2008","2008.32602739726027397","ALGAE","58.783505555935825","52.09854350934573","65.77448095987295","LTMP","9","_"," ","58.80464489213399","null","9.0m"
"photo-transect","reef","Hastings Reef","2009","2009.3561643835616438","ALGAE","61.892843443414556","55.13616627879292","69.27955444693984","LTMP","9","_"," ","61.939776538965795","null","9.0m"
"photo-transect","reef","Hastings Reef","2010","2009.8931506849315068","ALGAE","56.10313895481003","50.08683667324829","63.08439048639415","LTMP","9","_"," ","56.24821091392811","null","9.0m"
"photo-transect","reef","Hastings Reef","2011","2011.0821917808219178","ALGAE","58.58773578417929","52.005707587521954","65.97587211760508","LTMP","9","_"," ","58.60887855084488","null","9.0m"
"photo-transect","reef","Hastings Reef","2012","2012.13424657534246576","ALGAE","66.82455263339037","60.67583221431205","73.58215944350898","LTMP","9","_"," ","66.93475192074642","null","9.0m"
"photo-transect","reef","Hastings Reef","2013","2013.030136986301369864","ALGAE","66.02800178965244","59.07360525521148","73.57612976065559","LTMP","9","_"," ","66.03632087670947","null","9.0m"
"photo-transect","reef","Hastings Reef","2014","2014.2054794520547945","ALGAE","62.47288961325683","55.806522142579105","69.30918417435355","LTMP","9","_"," ","62.510678803322364","null","9.0m"
"photo-transect","reef","Hastings Reef","2015","2015.1589041095890411","ALGAE","62.51253543991246","54.98694845191275","69.40198965910741","LTMP","9","_"," ","62.60621451459119","null","9.0m"
"photo-transect","reef","Hastings Reef","2016","2015.9232876712328767","ALGAE","56.56287017124193","48.53389690638878","63.21098199774964","LTMP","9","_"," ","56.59761691806289","null","9.0m"
"photo-transect","reef","Hastings Reef","2017","2016.7095890410958904","ALGAE","64.61102055416457","57.85489551162488","72.85391540470299","LTMP","9","_"," ","64.68089183936938","null","9.0m"
"photo-transect","reef","Hastings Reef","2018","2017.9506849315068493","ALGAE","82.30416356915418","76.35475051711086","89.43405219135492","LTMP","9","_"," ","82.30395908983911","null","9.0m"
"photo-transect","reef","Hastings Reef","2019","2019.14246575342465753","ALGAE","80.73541074207411","74.13533830587659","88.15030624339387","LTMP","9","_"," ","80.84628520105804","null","9.0m"
