"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Havannah Island","1997","1997.4958904109589041","HARD CORAL","42.24616828827117","37.75022467774154","47.50186427219479","LTMP","9","North"," ","42.32133932133041","null","North 9.0m"
"photo-transect","reef","Havannah Island","1998","1998.30684931506849317","HARD CORAL","27.11745846214375","23.446581930626163","30.608278533509598","LTMP","9","North"," ","27.1668691034444","null","North 9.0m"
"photo-transect","reef","Havannah Island","1999","1999.3287671232876712","HARD CORAL","21.48681502448288","18.615639137214465","24.465578384041923","LTMP","9","North"," ","21.57583073202026","null","North 9.0m"
"photo-transect","reef","Havannah Island","2000","2000.34794520547945207","HARD CORAL","11.107347978253232","9.253246254433652","12.793471605668497","LTMP","9","North"," ","11.10576528645452","null","North 9.0m"
"photo-transect","reef","Havannah Island","2001","2001.35342465753424657","HARD CORAL","7.180266606534763","5.930281081079571","8.541971793165496","LTMP","9","North"," ","7.220983267184383","null","North 9.0m"
"photo-transect","reef","Havannah Island","2002","2002.1178082191780822","HARD CORAL","5.803567316443727","4.8309443401584575","7.104900888672905","LTMP","9","North"," ","5.8396165398824476","null","North 9.0m"
"photo-transect","reef","Havannah Island","2003","2003.1780821917808219","HARD CORAL","6.010665735463102","5.056509381233986","7.236072146080202","LTMP","9","North"," ","6.041495048812188","null","North 9.0m"
"photo-transect","reef","Havannah Island","2004","2004.3013698630136986","HARD CORAL","4.628685540768984","3.6956211491739173","5.696871767600372","LTMP","9","North"," ","4.64104366148632","null","North 9.0m"
"photo-transect","reef","Havannah Island","2005","2005.3232876712328767","HARD CORAL","7.618219191655531","6.187832577994969","8.935755162614976","LTMP","9","North"," ","7.634470917470145","null","North 9.0m"
"photo-transect","reef","Havannah Island","2007","2007.40821917808219177","HARD CORAL","6.59263777730352","5.447335337840455","7.787796547408621","LTMP","9","North"," ","6.619993583253635","null","North 9.0m"
"photo-transect","reef","Havannah Island","2009","2009.33424657534246577","HARD CORAL","4.808784603875127","3.897963511208961","5.864327933340279","LTMP","9","North"," ","4.838835415880131","null","North 9.0m"
"photo-transect","reef","Havannah Island","2011","2011.35342465753424657","HARD CORAL","1.8195292378717822","1.3297746488403606","2.360670154017798","LTMP","9","North"," ","1.8448435102317942","null","North 9.0m"
"photo-transect","reef","Havannah Island","2013","2013.3972602739726027","HARD CORAL","1.408027558303114","0.9798357972228092","1.8510933772127198","LTMP","9","North"," ","1.4280042718837482","null","North 9.0m"
"photo-transect","reef","Havannah Island","2015","2015.31232876712328766","HARD CORAL","3.2492762201123173","2.511762977668853","3.9608643430703734","LTMP","9","North"," ","3.268797560277528","null","North 9.0m"
"photo-transect","reef","Havannah Island","2017","2017.3095890410958904","HARD CORAL","5.926436634713456","5.001253951341243","7.180118358949003","LTMP","9","North"," ","5.9477689859175324","null","North 9.0m"
"photo-transect","reef","Havannah Island","2019","2019.4136986301369863","HARD CORAL","18.141209041389416","16.064883712435783","20.885340884017783","LTMP","9","North"," ","18.23161304343047","null","North 9.0m"
"photo-transect","reef","Havannah Island","2021","2021.2602739726027397","HARD CORAL","11.00453382848914","9.373589952044204","12.663034046023244","LTMP","9","North"," ","11.03729074068244","null","North 9.0m"
"photo-transect","reef","Havannah Island","2022","2022.1863013698630137","HARD CORAL","10.66663978483972","8.830338334665763","12.357263764778944","LTMP","9","North"," ","10.69991748094547","null","North 9.0m"
"photo-transect","reef","Havannah Island","2023","2023.3506849315068493","HARD CORAL","18.318345119469203","15.687572419208026","20.825990200034898","LTMP","9","North"," ","18.371761635906054","null","North 9.0m"
"photo-transect","reef","Havannah Island","2024","2024.4410958904109589","HARD CORAL","18.392227511026107","16.055591674222395","21.00320762726725","LTMP","9","North"," ","18.40777023863809","null","North 9.0m"
"photo-transect","reef","Havannah Island","2025","2025.37534246575342467","HARD CORAL","16.811635541838328","14.36721157603677","19.251921412595827","LTMP","9","North"," ","16.814527525738136","null","North 9.0m"
