"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Helix Reef","2006","2005.936986301369863","HARD CORAL","23.11761686321842","20.90709250653892","25.250846158895197","LTMP","9","_"," ","23.093193569350003","null","9.0m"
"photo-transect","reef","Helix Reef","2008","2008.3863013698630137","HARD CORAL","15.598496643150511","13.624794444606772","17.292425960375954","LTMP","9","_"," ","15.629158075780788","null","9.0m"
"photo-transect","reef","Helix Reef","2010","2010.27123287671232876","HARD CORAL","19.91059441254519","18.137472551638364","22.076448543014177","LTMP","9","_"," ","19.900639814586626","null","9.0m"
"photo-transect","reef","Helix Reef","2012","2012.3041095890410959","HARD CORAL","8.03902970451075","6.744276395045132","9.076226126395666","LTMP","9","_"," ","8.039270869696475","null","9.0m"
"photo-transect","reef","Helix Reef","2014","2014.22465753424657534","HARD CORAL","15.304721685326705","13.52164459180358","17.001386727124284","LTMP","9","_"," ","15.30765068196829","null","9.0m"
"photo-transect","reef","Helix Reef","2016","2016.33972602739726027","HARD CORAL","27.446512530568377","25.06678099191498","30.21780655107349","LTMP","9","_"," ","27.464202364706875","null","9.0m"
"photo-transect","reef","Helix Reef","2018","2018.15616438356164383","HARD CORAL","37.440903034338575","34.39566467290894","40.350605688353","LTMP","9","_"," ","37.4045259675135","null","9.0m"
"photo-transect","reef","Helix Reef","2020","2020.4328767123287671","HARD CORAL","31.04782691849075","28.47310824789715","33.573406543804154","LTMP","9","_"," ","31.067842203335672","null","9.0m"
"photo-transect","reef","Helix Reef","2023","2023.1917808219178082","HARD CORAL","32.075013920960856","29.30628005839185","34.982999044982655","LTMP","9","_"," ","32.0710105286844","null","9.0m"
"photo-transect","reef","Helix Reef","2024","2024.4328767123287671","HARD CORAL","28.538671714906407","26.08583694213486","31.287796779643063","LTMP","9","_"," ","28.593109897310093","null","9.0m"
"photo-transect","reef","Helix Reef","2025","2025.3698630136986301","HARD CORAL","24.684927475057354","22.28135451130385","27.25476351529475","LTMP","9","_"," ","24.692744557885817","null","9.0m"
