"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Helix Reef","2006","2005.936986301369863","MACROALGAE","0.5207250238525505","0.13251612564503729","1.2171651208460195","LTMP","9","_"," ","0.588630000628211","null","9.0m"
"photo-transect","reef","Helix Reef","2008","2008.3863013698630137","MACROALGAE","1.4036840887710746","0.3567222341318939","3.1658615008626","LTMP","9","_"," ","1.5842962390567892","null","9.0m"
"photo-transect","reef","Helix Reef","2010","2010.27123287671232876","MACROALGAE","4.003877218290521","0.8923348510935604","8.414394134646988","LTMP","9","_"," ","4.420050893320077","null","9.0m"
"photo-transect","reef","Helix Reef","2012","2012.3041095890410959","MACROALGAE","0.6944274022503536","0.22511270028919583","1.741372143958961","LTMP","9","_"," ","0.8085939727881672","null","9.0m"
"photo-transect","reef","Helix Reef","2014","2014.22465753424657534","MACROALGAE","1.9424916086894075","0.44083505152670693","4.193261466175537","LTMP","9","_"," ","2.195350798545145","null","9.0m"
"photo-transect","reef","Helix Reef","2016","2016.33972602739726027","MACROALGAE","0.903572182285146","0.22914402358533054","2.1007126812055366","LTMP","9","_"," ","1.0309491418792265","null","9.0m"
"photo-transect","reef","Helix Reef","2018","2018.15616438356164383","MACROALGAE","1.0446471265335062","0.31206193623290573","2.398516039136341","LTMP","9","_"," ","1.161889936101657","null","9.0m"
"photo-transect","reef","Helix Reef","2020","2020.4328767123287671","MACROALGAE","0.5266399232146808","0.119918896146568","1.2672140082537235","LTMP","9","_"," ","0.6077199837253923","null","9.0m"
"photo-transect","reef","Helix Reef","2023","2023.1917808219178082","MACROALGAE","1.6975988545557","0.4102395874591644","3.8439859917308783","LTMP","9","_"," ","1.9191893977632053","null","9.0m"
"photo-transect","reef","Helix Reef","2024","2024.4328767123287671","MACROALGAE","0.7520209446548151","0.20051298991215688","1.7406974210265234","LTMP","9","_"," ","0.8574705909310042","null","9.0m"
"photo-transect","reef","Helix Reef","2025","2025.3698630136986301","MACROALGAE","1.0305476511412492","0.3103416531421758","2.344427003780673","LTMP","9","_"," ","1.1559869554506128","null","9.0m"
