data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"manta","reef","Horseshoe Reef",1986,"1985.7342465753424657","HC",28.14683669735588,25.634786455583296,31.219094494617867,"LTMP",9,"_"," ",28.227454179181866,"null","9.0m"
"manta","reef","Horseshoe Reef",1991,"1990.6767123287671233","HC",26.056410648903405,22.937493496937606,29.668545776721295,"LTMP",9,"_"," ",26.103336175580004,"null","9.0m"
"manta","reef","Horseshoe Reef",1993,"1992.7753424657534247","HC",20.919836381805343,18.20281885490979,24.561177580819084,"LTMP",9,"_"," ",20.9709202085755,"null","9.0m"
"manta","reef","Horseshoe Reef",1995,"1994.873972602739726","HC",31.376313844373282,27.82077193207173,35.19835160353505,"LTMP",9,"_"," ",31.331069569975572,"null","9.0m"
"manta","reef","Horseshoe Reef",1996,"1995.9095890410958904","HC",23.479660524144446,19.935903875282673,27.06662001020058,"LTMP",9,"_"," ",23.526051341644823,"null","9.0m"
"manta","reef","Horseshoe Reef",1997,"1996.8465753424657534","HC",25.39388810898459,21.94318481711943,28.975112623881188,"LTMP",9,"_"," ",25.380755291292473,"null","9.0m"
"manta","reef","Horseshoe Reef",1998,"1997.9178082191780822","HC",27.10984888409148,23.470024733809655,30.648596916210913,"LTMP",9,"_"," ",27.133951076260622,"null","9.0m"
"manta","reef","Horseshoe Reef",1999,"1998.9178082191780822","HC",18.891362306915696,15.896683400948602,21.816014131931144,"LTMP",9,"_"," ",18.935355998902985,"null","9.0m"
"manta","reef","Horseshoe Reef",2000,"1999.9068493150684932","HC",19.28504515611924,16.029217807280684,22.382848118336916,"LTMP",9,"_"," ",19.263947894609608,"null","9.0m"
"manta","reef","Horseshoe Reef",2001,"2000.6794520547945205","HC",15.780276906390004,13.463982021695816,18.515462794380984,"LTMP",9,"_"," ",15.814004227005181,"null","9.0m"
"manta","reef","Horseshoe Reef",2002,"2001.6136986301369863","HC",15.50134033965867,13.355191704979383,18.43270069890589,"LTMP",9,"_"," ",15.618366049413412,"null","9.0m"
"manta","reef","Horseshoe Reef",2003,"2002.6794520547945205","HC",10.657988369288512,8.842786592335347,12.898684938847872,"LTMP",9,"_"," ",10.740730435759998,"null","9.0m"
"manta","reef","Horseshoe Reef",2004,"2003.8082191780821918","HC",10.096979607343517,8.215290334669463,12.103327641705103,"LTMP",9,"_"," ",10.134259681289329,"null","9.0m"
"manta","reef","Horseshoe Reef",2005,"2004.8931506849315068","HC",9.878719644681247,8.153900121596546,11.888297741860168,"LTMP",9,"_"," ",9.957237269896249,"null","9.0m"
"manta","reef","Horseshoe Reef",2006,"2006.010958904109589041","HC",9.318085278925329,7.413008626980966,11.073657600947485,"LTMP",9,"_"," ",9.294694509177994,"null","9.0m"
"manta","reef","Horseshoe Reef",2007,"2006.9041095890410958","HC",10.042623806300115,7.979305790226348,12.30180568528422,"LTMP",9,"_"," ",10.092869254938822,"null","9.0m"
"manta","reef","Horseshoe Reef",2009,"2008.9178082191780822","HC",10.574753173609466,8.793950678904423,12.56132515445271,"LTMP",9,"_"," ",10.637456375822097,"null","9.0m"
"manta","reef","Horseshoe Reef",2011,"2010.9424657534246575","HC",13.800724350429707,11.585540998915489,16.246840124782643,"LTMP",9,"_"," ",13.877460726752467,"null","9.0m"
"manta","reef","Horseshoe Reef",2013,"2012.6657534246575343","HC",17.814710731811438,14.939131969160233,20.721619614753898,"LTMP",9,"_"," ",17.81973323029098,"null","9.0m"
"manta","reef","Horseshoe Reef",2015,"2015.06027397260273973","HC",21.997096085533876,18.79084650377876,25.351808158842594,"LTMP",9,"_"," ",22.037028249312456,"null","9.0m"
"manta","reef","Horseshoe Reef",2017,"2017.0547945205479452","HC",29.49562578021808,25.94188530490358,33.417398367987936,"LTMP",9,"_"," ",29.508095046528133,"null","9.0m"
"manta","reef","Horseshoe Reef",2019,"2018.7342465753424657","HC",8.91569127545298,7.471591735387889,10.733968679211102,"LTMP",9,"_"," ",8.955409723505024,"null","9.0m"
"manta","reef","Horseshoe Reef",2021,"2020.6821917808219178","HC",9.000360457941293,7.260476229991326,10.798861960613074,"LTMP",9,"_"," ",9.008157502672487,"null","9.0m"
"manta","reef","Horseshoe Reef",2022,"2021.9232876712328767","HC",11.130313300860943,9.116226852080938,13.049098411393857,"LTMP",9,"_"," ",11.12542430943719,"null","9.0m"
"manta","reef","Horseshoe Reef",2023,"2022.673972602739726","HC",11.760993249726702,9.944507151554825,13.682968978639998,"LTMP",9,"_"," ",11.799826909857252,"null","9.0m"
"manta","reef","Horseshoe Reef",2024,"2023.7534246575342466","HC",13.570629723870251,11.246607090997237,15.750979940766369,"LTMP",9,"_"," ",13.644480380051371,"null","9.0m"
"manta","reef","Horseshoe Reef",2025,"2024.8712328767123287","HC",13.58605284209829,11.626772717551148,15.868329018281921,"LTMP",9,"_"," ",13.632043912622535,"null","9.0m"
"manta","reef","Horseshoe Reef",2026,"2026.06575342465753424","HC",16.496053295146783,14.065972277213579,19.048301610022055,"LTMP",9,"_"," ",16.542599788068422,"null","9.0m"
