"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Horseshoe Reef","1993","1992.7780821917808219","ALGAE","50.17980758523619","46.60186914997117","53.69194743164869","LTMP","9","_"," ","50.160437462647444","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1995","1994.8767123287671232","ALGAE","43.3081739674128","40.095847549076986","46.808251554588125","LTMP","9","_"," ","43.34198868774888","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1996","1995.9095890410958904","ALGAE","42.104556315649546","39.41247704481825","44.69248967916107","LTMP","9","_"," ","42.08052281521276","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1997","1996.8438356164383561","ALGAE","37.550715630820456","33.86788467456637","40.90935673828983","LTMP","9","_"," ","37.58617535944728","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1998","1997.9178082191780822","ALGAE","46.59479179586455","43.39535036111822","50.34010687895288","LTMP","9","_"," ","46.70345083793392","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1999","1998.9205479452054794","ALGAE","58.531227801137554","55.43114599220219","61.678441545607555","LTMP","9","_"," ","58.492253660683836","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2000","1999.9041095890410958","ALGAE","65.60938344109827","61.96297728763719","68.88511390686615","LTMP","9","_"," ","65.60150932255566","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2001","2000.6821917808219178","ALGAE","69.59548798450012","66.02213074498965","72.8618788843456","LTMP","9","_"," ","69.59616140804745","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2002","2001.6136986301369863","ALGAE","71.27826001221969","67.4980022874158","74.6687552352119","LTMP","9","_"," ","71.25742765598041","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2003","2002.6794520547945205","ALGAE","81.68278101167768","78.75320512328528","84.87055679968817","LTMP","9","_"," ","81.65765708647015","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2004","2003.8082191780821918","ALGAE","79.22410415935892","76.38624195550405","82.09192151874718","LTMP","9","_"," ","79.25656450900408","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2005","2004.8931506849315068","ALGAE","79.23733340301362","75.93108677974857","82.30385713257515","LTMP","9","_"," ","79.2266533696008","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2007","2006.9013698630136986","ALGAE","71.21934051694868","67.84644543416734","74.81589600710186","LTMP","9","_"," ","71.26722686680465","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2009","2008.915068493150685","ALGAE","56.52199568785205","53.03457159409229","60.3409889671113","LTMP","9","_"," ","56.51961674172732","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2011","2010.9424657534246575","ALGAE","45.08871531607465","41.311959529986865","48.4539758013075","LTMP","9","_"," ","45.1088283080913","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2013","2012.6657534246575343","ALGAE","31.414617052225836","28.431471658686792","34.09890680804807","LTMP","9","_"," ","31.440666898106823","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2015","2015.06301369863013699","ALGAE","45.76802176012538","42.39634182927547","49.07182473561498","LTMP","9","_"," ","45.809715521591656","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2017","2017.057534246575342465","ALGAE","45.47970339245999","42.18479851914796","48.91478303273436","LTMP","9","_"," ","45.5095178859008","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2019","2018.736986301369863","ALGAE","90.48080694943734","87.38070201247594","93.17303916933037","LTMP","9","_"," ","90.47898172047965","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2021","2020.663013698630137","ALGAE","90.94566420293336","87.66383340570232","94.30411338418938","LTMP","9","_"," ","90.96392507411036","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2022","2021.9260273972602739","ALGAE","85.0755014572817","81.45603550827191","88.5335407121937","LTMP","9","_"," ","85.06980738634743","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2023","2022.673972602739726","ALGAE","80.68227367334406","76.73030117756875","85.43039179883026","LTMP","9","_"," ","80.6752174049744","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2024","2023.7534246575342466","ALGAE","68.58968363585652","64.40350575327642","73.12683131885098","LTMP","9","_"," ","68.61796122748831","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2025","2024.8684931506849315","ALGAE","73.20861538951256","69.72697081013166","77.2177557933562","LTMP","9","_"," ","73.31561790551929","null","9.0m"
