"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Horseshoe Reef","1993","1992.7780821917808219","HARD CORAL","36.712161018841556","31.375990545584116","42.4394133839986","LTMP","9","_"," ","36.802737833143404","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1995","1994.8767123287671232","HARD CORAL","43.37991804873336","37.07667154338919","49.98112111443825","LTMP","9","_"," ","43.47760484208444","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1996","1995.9095890410958904","HARD CORAL","49.36621827587159","42.11531496289489","56.026123670103715","LTMP","9","_"," ","49.553478886856496","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1997","1996.8438356164383561","HARD CORAL","52.22564458399813","45.34333350092956","60.483236462743115","LTMP","9","_"," ","52.456949709522874","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1998","1997.9178082191780822","HARD CORAL","46.34991060158615","38.424463601024435","54.813881143195864","LTMP","9","_"," ","46.86250122642304","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1999","1998.9205479452054794","HARD CORAL","34.84027163820706","29.595452668012722","40.72960059184236","LTMP","9","_"," ","34.986212509453765","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2000","1999.9041095890410958","HARD CORAL","26.919982675015763","22.696448380151256","30.844459556282157","LTMP","9","_"," ","27.076244462257225","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2001","2000.6821917808219178","HARD CORAL","23.046719940620203","19.78561171795382","26.870941779744612","LTMP","9","_"," ","23.147648240010177","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2002","2001.6136986301369863","HARD CORAL","19.655795775220707","16.385764102813457","22.66401940914128","LTMP","9","_"," ","19.677912074904807","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2003","2002.6794520547945205","HARD CORAL","10.656494042862388","8.830228604232419","12.49856675246793","LTMP","9","_"," ","10.712877207731907","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2004","2003.8082191780821918","HARD CORAL","12.856838751770955","10.868946961732629","15.39339805473612","LTMP","9","_"," ","12.918579813241587","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2005","2004.8931506849315068","HARD CORAL","15.10531778183189","12.596716475503033","17.822163289238965","LTMP","9","_"," ","15.152363925860712","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2007","2006.9013698630136986","HARD CORAL","23.20860011995279","19.6549126240801","26.993101788941093","LTMP","9","_"," ","23.335274119617274","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2009","2008.915068493150685","HARD CORAL","37.86380359660645","32.57617368605339","43.66822251431687","LTMP","9","_"," ","38.09504932130007","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2011","2010.9424657534246575","HARD CORAL","49.85836595608981","43.50128767399009","56.6610438341748","LTMP","9","_"," ","49.99850494500033","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2013","2012.6657534246575343","HARD CORAL","62.50320686790138","56.1193892199788","71.12188341733241","LTMP","9","_"," ","62.655008613674056","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2015","2015.06301369863013699","HARD CORAL","48.94777099551854","41.99819854650841","55.05870336673687","LTMP","9","_"," ","49.029107514704","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2017","2017.057534246575342465","HARD CORAL","49.37915998435171","43.62800507223521","56.881810379790345","LTMP","9","_"," ","49.478132423918815","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2019","2018.736986301369863","HARD CORAL","5.831612135464062","4.677885029505314","7.032918130092337","LTMP","9","_"," ","5.853870173943207","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2021","2020.663013698630137","HARD CORAL","5.559326850422532","4.596786438581909","6.918824490632512","LTMP","9","_"," ","5.613189157899254","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2022","2021.9260273972602739","HARD CORAL","11.463178476304247","9.332689008756716","13.361085502488399","LTMP","9","_"," ","11.441706455449808","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2023","2022.673972602739726","HARD CORAL","14.23860576859483","11.573523444697924","16.336848466285677","LTMP","9","_"," ","14.298156399795618","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2024","2023.7534246575342466","HARD CORAL","25.961003573715324","22.251385879156203","30.00872133082092","LTMP","9","_"," ","26.038509949306114","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2025","2024.8684931506849315","HARD CORAL","23.16098154845244","19.512766682699755","26.555547683474572","LTMP","9","_"," ","23.2062269405887","null","9.0m"
