"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Horseshoe Reef","1993","1992.7780821917808219","SOFT CORAL","6.348204580020654","4.654267718651829","8.662471066705828","LTMP","9","_"," ","6.402551003188893","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1995","1994.8767123287671232","SOFT CORAL","6.987419747158194","4.984244197212327","9.414794769789669","LTMP","9","_"," ","7.103582996362934","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1996","1995.9095890410958904","SOFT CORAL","5.124784481424098","3.6086575955808877","6.956019284356198","LTMP","9","_"," ","5.197865843422955","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1997","1996.8438356164383561","SOFT CORAL","5.159390414907786","3.6072608834412754","6.983108293618177","LTMP","9","_"," ","5.24578800194775","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1998","1997.9178082191780822","SOFT CORAL","3.710961647890228","2.4413873729044173","5.102421409967594","LTMP","9","_"," ","3.7600702214490056","null","9.0m"
"photo-transect","reef","Horseshoe Reef","1999","1998.9205479452054794","SOFT CORAL","3.370516164111647","2.1942886701713453","4.772617489446515","LTMP","9","_"," ","3.409484199503442","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2000","1999.9041095890410958","SOFT CORAL","4.097367643654129","2.7343864932947315","5.571131759217588","LTMP","9","_"," ","4.162253479292085","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2001","2000.6821917808219178","SOFT CORAL","4.039614274727745","2.768758858275908","5.3807472990480765","LTMP","9","_"," ","4.070262694854131","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2002","2001.6136986301369863","SOFT CORAL","5.465225983502449","3.7332425205900113","7.091380504014516","LTMP","9","_"," ","5.496711196313372","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2003","2002.6794520547945205","SOFT CORAL","4.163723989292211","2.941043208557345","5.828212285921747","LTMP","9","_"," ","4.234608482161126","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2004","2003.8082191780821918","SOFT CORAL","4.199495012822624","2.8965809263538462","5.765366837133922","LTMP","9","_"," ","4.266305792744635","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2005","2004.8931506849315068","SOFT CORAL","3.966873791387737","2.6161223877008437","5.511036446075839","LTMP","9","_"," ","4.040900545429919","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2007","2006.9013698630136986","SOFT CORAL","3.8142455888972915","2.645958423308101","5.397791579576445","LTMP","9","_"," ","3.9073029907385424","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2009","2008.915068493150685","SOFT CORAL","4.076060000921523","2.987614842109776","5.843386378501875","LTMP","9","_"," ","4.1547958504596885","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2011","2010.9424657534246575","SOFT CORAL","3.013677171747433","2.04795965471107","4.3742446470554395","LTMP","9","_"," ","3.1001026242123966","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2013","2012.6657534246575343","SOFT CORAL","3.173382939409761","2.045429595232271","4.598994679377542","LTMP","9","_"," ","3.268646382876213","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2015","2015.06301369863013699","SOFT CORAL","3.298455517108624","2.0902493146914893","4.5897945461279095","LTMP","9","_"," ","3.3878153860497","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2017","2017.057534246575342465","SOFT CORAL","3.655767473748245","2.525479503113714","5.119915142053302","LTMP","9","_"," ","3.7020846958594826","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2019","2018.736986301369863","SOFT CORAL","2.7827879110050935","1.8241238978701848","3.8792171559490307","LTMP","9","_"," ","2.8123515978828686","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2021","2020.663013698630137","SOFT CORAL","2.763803016960754","1.7401728680784327","4.017833398550586","LTMP","9","_"," ","2.837128614612703","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2022","2021.9260273972602739","SOFT CORAL","3.5784119391717844","2.4084227293734344","4.917224520511169","LTMP","9","_"," ","3.6119299607248503","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2023","2022.673972602739726","SOFT CORAL","3.559655452157448","2.339576729500818","4.908948476593966","LTMP","9","_"," ","3.629316466823773","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2024","2023.7534246575342466","SOFT CORAL","3.8391876983802726","2.5729729947883233","5.209253671973503","LTMP","9","_"," ","3.911522313086585","null","9.0m"
"photo-transect","reef","Horseshoe Reef","2025","2024.8684931506849315","SOFT CORAL","2.1620588850397895","1.3612087114010551","3.2335555064704784","LTMP","9","_"," ","2.2265660084582315","null","9.0m"
