data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Hyde Reef",1997,"1997.29863013698630136","Coral Trout",2.20273963794878,0.6430484141767487,4.848071042574158,"LTMP",9,"_"," ",2.4454649873543812,"restricted","9.0m"
"fish","reef","Hyde Reef",1998,"1998.14520547945205478","Coral Trout",2.4316669011239265,0.9935302937362441,4.530173733535326,"LTMP",9,"_"," ",2.6009414391842665,"restricted","9.0m"
"fish","reef","Hyde Reef",1999,"1999.1726027397260274","Coral Trout",2.7532075671898064,1.1829934589260684,5.601422874613979,"LTMP",9,"_"," ",2.977622304459525,"restricted","9.0m"
"fish","reef","Hyde Reef",2000,"2000.19452054794520549","Coral Trout",2.581022776780573,1.1346960531480033,4.761646822826852,"LTMP",9,"_"," ",2.7472739559865134,"restricted","9.0m"
"fish","reef","Hyde Reef",2001,"2001.2273972602739726","Coral Trout",5.306658960665073,1.0014249942241065,15.899218628565038,"LTMP",9,"_"," ",6.5881663182064445,"restricted","9.0m"
"fish","reef","Hyde Reef",2002,"2001.8438356164383561","Coral Trout",3.173600937052756,1.3453464132473094,6.437389997736529,"LTMP",9,"_"," ",3.405014508332655,"restricted","9.0m"
"fish","reef","Hyde Reef",2003,"2002.9041095890410958","Coral Trout",5.074451108267144,1.7316961828342423,10.551106666734354,"LTMP",9,"_"," ",5.482858754298427,"restricted","9.0m"
"fish","reef","Hyde Reef",2004,"2004.13972602739726028","Coral Trout",3.236378904762258,1.6898266077053508,5.388056932051882,"LTMP",9,"_"," ",3.391005978346962,"restricted","9.0m"
"fish","reef","Hyde Reef",2005,"2005.2136986301369863","Coral Trout",6.178338604155881,2.97151149178502,11.349306023877606,"LTMP",9,"_"," ",6.594339083653422,"restricted","9.0m"
"fish","reef","Hyde Reef",2007,"2007.2219178082191781","Coral Trout",4.28845395897549,1.8296180516601739,7.630932580805448,"LTMP",9,"_"," ",4.548656369858336,"restricted","9.0m"
"fish","reef","Hyde Reef",2009,"2009.2547945205479452","Coral Trout",4.964424574676103,0.8730038327054062,14.949676322893223,"LTMP",9,"_"," ",6.047938999404653,"restricted","9.0m"
"fish","reef","Hyde Reef",2011,"2011.21095890410958903","Coral Trout",5.020730489005349,0.7047240010056177,14.930820721768145,"LTMP",9,"_"," ",6.198811278153467,"restricted","9.0m"
"fish","reef","Hyde Reef",2013,"2013.2876712328767123","Coral Trout",9.395110313463372,4.128778554535816,18.183702602933455,"LTMP",9,"_"," ",10.055313642261119,"restricted","9.0m"
"fish","reef","Hyde Reef",2015,"2015.0410958904109589","Coral Trout",5.3950098959474975,2.543256624484924,10.020004676882133,"LTMP",9,"_"," ",5.768625549117603,"restricted","9.0m"
"fish","reef","Hyde Reef",2017,"2017.136986301369863","Coral Trout",5.928377660035658,2.9493302783837696,10.059467649753831,"LTMP",9,"_"," ",6.198157267330932,"restricted","9.0m"
"fish","reef","Hyde Reef",2019,"2019.31232876712328766","Coral Trout",7.632272027094786,3.710417855059369,15.184511681148864,"LTMP",9,"_"," ",8.204597542662281,"restricted","9.0m"
"fish","reef","Hyde Reef",2021,"2021.09863013698630137","Coral Trout",19.104129607221815,9.312981871526654,31.646520318849124,"LTMP",9,"_"," ",19.945573212116717,"restricted","9.0m"
"fish","reef","Hyde Reef",2022,"2022.14520547945205478","Coral Trout",10.298427551922003,4.511362491359831,20.64372621834786,"LTMP",9,"_"," ",11.073299669612961,"restricted","9.0m"
"fish","reef","Hyde Reef",2023,"2023.08767123287671233","Coral Trout",27.301328240654588,11.195779263966942,50.70771857641459,"LTMP",9,"_"," ",29.629637872420247,"restricted","9.0m"
"fish","reef","Hyde Reef",2024,"2024.36712328767123287","Coral Trout",58.68607415912364,26.629008243452773,103.81972107759755,"LTMP",9,"_"," ",62.27788809490563,"restricted","9.0m"
