data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Hyde Reef",1995,"1995.10136986301369863","Small fishes",38.77360045724666,27.625131158529282,49.28147020893723,"LTMP",9,"_"," ",38.87867091805726,"restricted","9.0m"
"fish","reef","Hyde Reef",1996,"1996.11506849315068493","Small fishes",68.56599245888835,49.94156667964165,87.04309205365821,"LTMP",9,"_"," ",68.65241284221526,"restricted","9.0m"
"fish","reef","Hyde Reef",1997,"1997.29863013698630136","Small fishes",46.437865757722136,32.7564265166534,58.54857600137234,"LTMP",9,"_"," ",46.713487389702145,"restricted","9.0m"
"fish","reef","Hyde Reef",1998,"1998.14520547945205478","Small fishes",39.63977400403869,29.170874567281036,51.01136873315389,"LTMP",9,"_"," ",39.758439068068625,"restricted","9.0m"
"fish","reef","Hyde Reef",1999,"1999.1726027397260274","Small fishes",80.10253715911139,59.31071869062173,102.79929604219127,"LTMP",9,"_"," ",80.4845658711114,"restricted","9.0m"
"fish","reef","Hyde Reef",2000,"2000.19452054794520549","Small fishes",63.90883722730264,47.15433110357136,81.89568342740183,"LTMP",9,"_"," ",64.13445845041501,"restricted","9.0m"
"fish","reef","Hyde Reef",2001,"2001.2273972602739726","Small fishes",51.60049915951341,38.68206797519929,66.76257417974284,"LTMP",9,"_"," ",51.84294601145974,"restricted","9.0m"
"fish","reef","Hyde Reef",2002,"2001.8438356164383561","Small fishes",49.2970074222563,36.526766519194005,63.71877850349749,"LTMP",9,"_"," ",49.60565003397518,"restricted","9.0m"
"fish","reef","Hyde Reef",2003,"2002.9041095890410958","Small fishes",65.03820916699613,46.58344069571967,81.44227790104154,"LTMP",9,"_"," ",65.00132573095058,"restricted","9.0m"
"fish","reef","Hyde Reef",2004,"2004.13972602739726028","Small fishes",67.69580228186754,47.90996754468774,85.3144720703072,"LTMP",9,"_"," ",67.82681589865388,"restricted","9.0m"
"fish","reef","Hyde Reef",2005,"2005.2136986301369863","Small fishes",48.71890466806164,35.4454834276005,61.29570681012688,"LTMP",9,"_"," ",48.97934132445098,"restricted","9.0m"
"fish","reef","Hyde Reef",2007,"2007.2219178082191781","Small fishes",66.84078254044653,48.95231462905969,85.35581030705853,"LTMP",9,"_"," ",66.97223413999062,"restricted","9.0m"
"fish","reef","Hyde Reef",2009,"2009.2547945205479452","Small fishes",46.32237548832961,32.91414267107313,58.52018851854601,"LTMP",9,"_"," ",46.53944355261862,"restricted","9.0m"
"fish","reef","Hyde Reef",2011,"2011.21095890410958903","Small fishes",24.15413258866741,16.950996385973696,32.33394088013474,"LTMP",9,"_"," ",24.348365141125928,"restricted","9.0m"
"fish","reef","Hyde Reef",2013,"2013.2876712328767123","Small fishes",33.095606356583794,23.48556361785257,43.059719204921215,"LTMP",9,"_"," ",33.34197416666277,"restricted","9.0m"
"fish","reef","Hyde Reef",2015,"2015.0410958904109589","Small fishes",32.1037337343416,22.891020029409887,40.77491716359152,"LTMP",9,"_"," ",32.22153327047818,"restricted","9.0m"
"fish","reef","Hyde Reef",2017,"2017.136986301369863","Small fishes",71.2061826446249,48.475950131389574,87.93588613883507,"LTMP",9,"_"," ",71.25345970727453,"restricted","9.0m"
"fish","reef","Hyde Reef",2019,"2019.31232876712328766","Small fishes",56.17023443305516,41.786924621643614,70.72639967847488,"LTMP",9,"_"," ",56.53711311722097,"restricted","9.0m"
"fish","reef","Hyde Reef",2021,"2021.09863013698630137","Small fishes",49.58381200945241,34.68460100282396,61.848906130930686,"LTMP",9,"_"," ",49.795472434714895,"restricted","9.0m"
"fish","reef","Hyde Reef",2022,"2022.14520547945205478","Small fishes",60.38913936913849,43.55397789275077,75.92203544356727,"LTMP",9,"_"," ",60.549927977980275,"restricted","9.0m"
"fish","reef","Hyde Reef",2022,"2022.14520547945205478","Small fishes",83.39585503074872,73.89406278394648,95.69046689505865,"LTMP",9,"_"," ",83.65984553635278,"expanded","9.0m"
"fish","reef","Hyde Reef",2023,"2023.08767123287671233","Small fishes",55.759506194865395,40.13401147046363,70.03658168876547,"LTMP",9,"_"," ",56.043534225675934,"restricted","9.0m"
"fish","reef","Hyde Reef",2023,"2023.08767123287671233","Small fishes",68.97467583713825,61.126345313081664,77.72044950419756,"LTMP",9,"_"," ",68.9526054085729,"expanded","9.0m"
"fish","reef","Hyde Reef",2024,"2024.3643835616438356","Small fishes",86.16270513053794,62.094360682815775,108.88942971489443,"LTMP",9,"_"," ",86.40380117564659,"restricted","9.0m"
"fish","reef","Hyde Reef",2024,"2024.3643835616438356","Small fishes",100.3648342364785,89.71456702698102,110.2971469922596,"LTMP",9,"_"," ",100.40042559561417,"expanded","9.0m"
"fish","reef","Hyde Reef",2025,"2025.0547945205479452","Small fishes",18.303288938080993,13.068718646083859,23.86032861520676,"LTMP",9,"_"," ",18.36758921580575,"restricted","9.0m"
"fish","reef","Hyde Reef",2025,"2025.0547945205479452","Small fishes",33.8587972947047,29.387804149297665,38.793170565389104,"LTMP",9,"_"," ",33.98666284939471,"expanded","9.0m"
