data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","John Brewer Reef",1995,"1995.2684931506849315","Harvested",6.614194529468849,4.723994713380105,9.050375396011557,"LTMP",9,"_"," ",6.745233122515044,"restricted","9.0m"
"fish","reef","John Brewer Reef",1996,"1996.30684931506849317","Harvested",8.241854703220516,5.506144817598056,11.597663692082119,"LTMP",9,"_"," ",8.519576828822128,"restricted","9.0m"
"fish","reef","John Brewer Reef",1997,"1997.2328767123287671","Harvested",7.864084515146166,5.494721327832969,10.306664012959802,"LTMP",9,"_"," ",8.022651426244163,"restricted","9.0m"
"fish","reef","John Brewer Reef",1998,"1998.3041095890410959","Harvested",6.25829382242355,3.8554556481718647,10.06470343958479,"LTMP",9,"_"," ",6.614802378262826,"restricted","9.0m"
"fish","reef","John Brewer Reef",1999,"1999.32054794520547947","Harvested",6.889186876043995,4.464713623014065,10.026907446460633,"LTMP",9,"_"," ",7.045810040345052,"restricted","9.0m"
"fish","reef","John Brewer Reef",2000,"2000.3315068493150685","Harvested",6.553885715006334,4.0877554997879955,11.216132496197016,"LTMP",9,"_"," ",6.928895653201919,"restricted","9.0m"
"fish","reef","John Brewer Reef",2001,"2001.3424657534246575","Harvested",6.310878358988728,4.3449517831305995,9.261280030430527,"LTMP",9,"_"," ",6.4737092870728095,"restricted","9.0m"
"fish","reef","John Brewer Reef",2002,"2002.13150684931506848","Harvested",5.750530608363942,3.9277225247543353,8.2854367574399,"LTMP",9,"_"," ",5.911762983397227,"restricted","9.0m"
"fish","reef","John Brewer Reef",2003,"2003.1863013698630137","Harvested",7.067474398685371,4.604249763455966,10.466138363533176,"LTMP",9,"_"," ",7.357953489350479,"restricted","9.0m"
"fish","reef","John Brewer Reef",2004,"2004.29863013698630136","Harvested",8.248294248354995,6.149906186196448,11.104938184674834,"LTMP",9,"_"," ",8.43000098277872,"restricted","9.0m"
"fish","reef","John Brewer Reef",2005,"2005.32054794520547947","Harvested",6.859019445956622,4.8952479748760025,9.95101058198596,"LTMP",9,"_"," ",7.124938680778059,"restricted","9.0m"
"fish","reef","John Brewer Reef",2007,"2007.410958904109589","Harvested",6.883634154412447,5.023713370797922,9.368875360072927,"LTMP",9,"_"," ",7.009781803224374,"restricted","9.0m"
"fish","reef","John Brewer Reef",2009,"2009.3643835616438356","Harvested",6.308348849869586,4.432504533038658,9.348288599750417,"LTMP",9,"_"," ",6.534643897135695,"restricted","9.0m"
"fish","reef","John Brewer Reef",2011,"2011.34794520547945207","Harvested",5.715444089428836,2.9844329877104303,10.656439448924965,"LTMP",9,"_"," ",6.269653664843823,"restricted","9.0m"
"fish","reef","John Brewer Reef",2013,"2013.4136986301369863","Harvested",6.201426894399843,4.232925663359443,9.267551700947914,"LTMP",9,"_"," ",6.3987513357801316,"restricted","9.0m"
"fish","reef","John Brewer Reef",2015,"2015.20273972602739726","Harvested",6.936686077614464,5.002979029148018,9.302870505852168,"LTMP",9,"_"," ",7.089527076588216,"restricted","9.0m"
"fish","reef","John Brewer Reef",2017,"2017.3287671232876712","Harvested",4.2057637965757575,2.6595825400493305,6.05184061892209,"LTMP",9,"_"," ",4.302139579309654,"restricted","9.0m"
"fish","reef","John Brewer Reef",2019,"2019.1726027397260274","Harvested",9.083800081802288,5.938704458209316,13.989628662975829,"LTMP",9,"_"," ",9.367312026283294,"restricted","9.0m"
"fish","reef","John Brewer Reef",2020,"2020.4301369863013699","Harvested",7.024672166840299,4.099092267808665,12.554116810656721,"LTMP",9,"_"," ",7.586183474669384,"restricted","9.0m"
"fish","reef","John Brewer Reef",2021,"2021.2273972602739726","Harvested",7.633272096911163,4.740404226264383,12.595121001471625,"LTMP",9,"_"," ",8.14603190676863,"restricted","9.0m"
"fish","reef","John Brewer Reef",2022,"2022.1726027397260274","Harvested",7.422941059806404,5.146949973861568,9.915230120457096,"LTMP",9,"_"," ",7.544086823815935,"restricted","9.0m"
"fish","reef","John Brewer Reef",2022,"2022.1726027397260274","Harvested",8.557013202836867,5.8641231906219575,12.193268596628583,"LTMP",9,"_"," ",8.823472138541185,"expanded","9.0m"
"fish","reef","John Brewer Reef",2023,"2023.20821917808219179","Harvested",8.980129380256336,6.985877195598797,11.47326608675276,"LTMP",9,"_"," ",9.046086532167442,"restricted","9.0m"
"fish","reef","John Brewer Reef",2023,"2023.20821917808219179","Harvested",9.135249236001236,7.003354582345719,11.600929174671359,"LTMP",9,"_"," ",9.264903689059052,"expanded","9.0m"
"fish","reef","John Brewer Reef",2024,"2024.43561643835616437","Harvested",9.835930692285313,7.4498772457470634,12.324366254198264,"LTMP",9,"_"," ",9.952818072272308,"restricted","9.0m"
"fish","reef","John Brewer Reef",2024,"2024.43561643835616437","Harvested",12.251141112571943,9.184728244831263,16.815996615478287,"LTMP",9,"_"," ",12.547114485778769,"expanded","9.0m"
"fish","reef","John Brewer Reef",2025,"2025.3726027397260274","Harvested",8.763753714300474,6.640662363890397,11.598242485704409,"LTMP",9,"_"," ",8.882654810299478,"restricted","9.0m"
"fish","reef","John Brewer Reef",2025,"2025.3726027397260274","Harvested",10.0886377314264,7.865521650385147,12.747258008339362,"LTMP",9,"_"," ",10.261703479454008,"expanded","9.0m"
