"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","John Brewer Reef","1993","1992.6164383561643836","ALGAE","70.69833071294227","64.55578951046799","75.81191441701762","LTMP","9","_"," ","70.45742325201105","null","9.0m"
"photo-transect","reef","John Brewer Reef","1995","1995.2684931506849315","ALGAE","60.60210404651395","55.66091638026188","65.07907628404944","LTMP","9","_"," ","60.644600286700644","null","9.0m"
"photo-transect","reef","John Brewer Reef","1996","1996.30684931506849317","ALGAE","53.46187284999715","49.858043306360095","57.28433620755439","LTMP","9","_"," ","53.45531621263551","null","9.0m"
"photo-transect","reef","John Brewer Reef","1997","1997.2328767123287671","ALGAE","55.034285564503996","51.11992014853617","58.86949260071802","LTMP","9","_"," ","55.016966781726225","null","9.0m"
"photo-transect","reef","John Brewer Reef","1998","1998.3041095890410959","ALGAE","61.93866622419628","58.03509853816837","65.88309770525416","LTMP","9","_"," ","61.86182340129518","null","9.0m"
"photo-transect","reef","John Brewer Reef","1999","1999.32054794520547947","ALGAE","57.08550663145642","53.38540082427824","61.256395422068564","LTMP","9","_"," ","57.157733794889","null","9.0m"
"photo-transect","reef","John Brewer Reef","2000","2000.3315068493150685","ALGAE","66.52301479904912","62.27526953559175","70.33173987501509","LTMP","9","_"," ","66.60074287523472","null","9.0m"
"photo-transect","reef","John Brewer Reef","2001","2001.3424657534246575","ALGAE","70.83576914396626","67.43763317625542","74.76241495782247","LTMP","9","_"," ","70.90442270239137","null","9.0m"
"photo-transect","reef","John Brewer Reef","2002","2002.13150684931506848","ALGAE","78.69997395059826","75.07869522412776","82.53384980961107","LTMP","9","_"," ","78.709689226806","null","9.0m"
"photo-transect","reef","John Brewer Reef","2003","2003.1863013698630137","ALGAE","92.26776678880873","89.21001878650618","96.59713073222458","LTMP","9","_"," ","92.28989680584729","null","9.0m"
"photo-transect","reef","John Brewer Reef","2004","2004.29863013698630136","ALGAE","93.18868394433099","89.65720389992744","96.87842788787326","LTMP","9","_"," ","93.16699177028212","null","9.0m"
"photo-transect","reef","John Brewer Reef","2005","2005.32054794520547947","ALGAE","91.65222056442963","88.49517966203271","95.52827687255","LTMP","9","_"," ","91.70650006751144","null","9.0m"
"photo-transect","reef","John Brewer Reef","2007","2007.410958904109589","ALGAE","91.36251678996292","87.70711774822666","95.21858000081647","LTMP","9","_"," ","91.3805012257479","null","9.0m"
"photo-transect","reef","John Brewer Reef","2009","2009.3643835616438356","ALGAE","88.81940323107074","84.86117937440369","92.63459165445983","LTMP","9","_"," ","88.8354692740403","null","9.0m"
"photo-transect","reef","John Brewer Reef","2011","2011.34794520547945207","ALGAE","87.15469597641992","83.60002993766844","90.24884915566385","LTMP","9","_"," ","87.11862857929448","null","9.0m"
"photo-transect","reef","John Brewer Reef","2013","2013.4136986301369863","ALGAE","84.28892806492476","80.00227052300917","88.60169493490905","LTMP","9","_"," ","84.14483364842712","null","9.0m"
"photo-transect","reef","John Brewer Reef","2015","2015.20273972602739726","ALGAE","68.3395604027457","63.887817752257156","72.11174191439639","LTMP","9","_"," ","68.30366288650171","null","9.0m"
"photo-transect","reef","John Brewer Reef","2017","2017.3287671232876712","ALGAE","64.68424123451506","60.58297369014198","68.60914639881148","LTMP","9","_"," ","64.64117066974737","null","9.0m"
"photo-transect","reef","John Brewer Reef","2019","2019.1726027397260274","ALGAE","80.96940367195874","76.84901432914948","84.40354729219538","LTMP","9","_"," ","80.88569912671808","null","9.0m"
"photo-transect","reef","John Brewer Reef","2020","2020.4301369863013699","ALGAE","77.24378499870936","73.41266175731182","81.02271550175945","LTMP","9","_"," ","77.14999841334847","null","9.0m"
"photo-transect","reef","John Brewer Reef","2021","2021.2273972602739726","ALGAE","79.76176662542437","74.64844843271729","84.47738751001143","LTMP","9","_"," ","79.58290054989547","null","9.0m"
"photo-transect","reef","John Brewer Reef","2022","2022.1726027397260274","ALGAE","84.22398868762136","79.34584856897857","87.81193498071826","LTMP","9","_"," ","84.07633559222303","null","9.0m"
"photo-transect","reef","John Brewer Reef","2023","2023.20821917808219179","ALGAE","83.37264147066314","78.60127963411479","87.51263846806049","LTMP","9","_"," ","83.18885964780193","null","9.0m"
"photo-transect","reef","John Brewer Reef","2024","2024.43561643835616437","ALGAE","80.451497177459","75.33527073330318","85.0439443168482","LTMP","9","_"," ","80.40468949415495","null","9.0m"
"photo-transect","reef","John Brewer Reef","2025","2025.3726027397260274","ALGAE","78.96387938906311","74.05214155708778","82.99138785300882","LTMP","9","_"," ","78.92773046371155","null","9.0m"
