data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Kelso Reef",2006,"2006.5287671232876713","Herbivores",39.596395192587664,31.6206337373897,48.00546323502869,"LTMP",9,"_"," ",39.858093510642725,"restricted","9.0m"
"fish","reef","Kelso Reef",2008,"2008.36164383561643837","Herbivores",31.768704097291682,25.216416658890886,38.222759432661015,"LTMP",9,"_"," ",32.01303297569871,"restricted","9.0m"
"fish","reef","Kelso Reef",2010,"2010.23835616438356164","Herbivores",40.6261051766798,33.169161248118016,49.162369939105425,"LTMP",9,"_"," ",40.806926298665864,"restricted","9.0m"
"fish","reef","Kelso Reef",2012,"2012.2876712328767123","Herbivores",37.34161229546214,29.962455199973412,45.57864613168499,"LTMP",9,"_"," ",37.50115094708031,"restricted","9.0m"
"fish","reef","Kelso Reef",2014,"2014.3178082191780822","Herbivores",44.767843754580376,35.612327933945146,53.79773825650773,"LTMP",9,"_"," ",44.979662553550256,"restricted","9.0m"
"fish","reef","Kelso Reef",2016,"2016.3287671232876712","Herbivores",36.44846016016728,28.8182696212763,43.6439975986286,"LTMP",9,"_"," ",36.71447374197382,"restricted","9.0m"
"fish","reef","Kelso Reef",2018,"2018.14794520547945206","Herbivores",33.8956838056318,27.159800820699523,41.60717475724367,"LTMP",9,"_"," ",34.24239017064741,"restricted","9.0m"
"fish","reef","Kelso Reef",2020,"2020.4136986301369863","Herbivores",39.0247734675809,30.49361662769887,46.868758787585385,"LTMP",9,"_"," ",39.2047049283431,"restricted","9.0m"
"fish","reef","Kelso Reef",2022,"2022.18356164383561643","Herbivores",40.478431331129904,33.41974991261363,50.32593147556113,"LTMP",9,"_"," ",40.69602809290189,"restricted","9.0m"
"fish","reef","Kelso Reef",2022,"2022.18356164383561643","Herbivores",39.83149214302682,31.531749732844823,51.44484837673278,"LTMP",9,"_"," ",40.295933471541275,"expanded","9.0m"
"fish","reef","Kelso Reef",2023,"2023.19726027397260273","Herbivores",54.43104231137363,42.90740941379408,64.6871598583676,"LTMP",9,"_"," ",54.646419625369646,"restricted","9.0m"
"fish","reef","Kelso Reef",2023,"2023.19726027397260273","Herbivores",53.93241014883232,42.36097974221711,67.51807791609004,"LTMP",9,"_"," ",54.39254997364098,"expanded","9.0m"
"fish","reef","Kelso Reef",2024,"2024.10410958904109589","Herbivores",50.65188145865358,41.5668614114935,61.42035891816413,"LTMP",9,"_"," ",50.78716298538255,"restricted","9.0m"
"fish","reef","Kelso Reef",2024,"2024.10410958904109589","Herbivores",49.986952999490214,38.21196916033671,63.25325013827232,"LTMP",9,"_"," ",50.34411069717407,"expanded","9.0m"
"fish","reef","Kelso Reef",2025,"2025.26301369863013696","Herbivores",47.65523941404467,38.43450667673309,57.46831979872199,"LTMP",9,"_"," ",47.83410971952908,"restricted","9.0m"
"fish","reef","Kelso Reef",2025,"2025.26301369863013696","Herbivores",47.03199684396529,36.006450683773664,58.88999419463373,"LTMP",9,"_"," ",47.40266723336355,"expanded","9.0m"
