data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"fish","reef","Kelso Reef",2006,"2006.5287671232876713","Small fishes",76.46191690912086,64.60339051734962,89.56946559906908,"LTMP",9,"_"," ",76.84622569432646,"restricted","9.0m"
"fish","reef","Kelso Reef",2008,"2008.36164383561643837","Small fishes",89.00039526773358,74.85620557295945,103.05045887676575,"LTMP",9,"_"," ",89.10267566993869,"restricted","9.0m"
"fish","reef","Kelso Reef",2010,"2010.23835616438356164","Small fishes",79.2624896060286,68.20519876957503,93.67408338614536,"LTMP",9,"_"," ",79.78669152578411,"restricted","9.0m"
"fish","reef","Kelso Reef",2012,"2012.2876712328767123","Small fishes",67.44564053400728,56.0744325948444,79.20748078890448,"LTMP",9,"_"," ",67.67223540157961,"restricted","9.0m"
"fish","reef","Kelso Reef",2014,"2014.3178082191780822","Small fishes",98.07125539495766,84.37753657540051,115.77762299111721,"LTMP",9,"_"," ",98.53165459556705,"restricted","9.0m"
"fish","reef","Kelso Reef",2016,"2016.3287671232876712","Small fishes",160.8742724070639,136.5730461142488,186.30385092080044,"LTMP",9,"_"," ",161.31311036699404,"restricted","9.0m"
"fish","reef","Kelso Reef",2018,"2018.14794520547945206","Small fishes",126.6399344699334,108.46906091032416,148.33325382857598,"LTMP",9,"_"," ",127.10836945785606,"restricted","9.0m"
"fish","reef","Kelso Reef",2020,"2020.4136986301369863","Small fishes",100.53198453755013,85.97871396137329,116.99782063610424,"LTMP",9,"_"," ",100.98476216506802,"restricted","9.0m"
"fish","reef","Kelso Reef",2022,"2022.18356164383561643","Small fishes",199.6007923326243,167.4407557674294,228.82427589275673,"LTMP",9,"_"," ",199.86911332811,"restricted","9.0m"
"fish","reef","Kelso Reef",2022,"2022.18356164383561643","Small fishes",222.04916990009926,175.80444245346317,265.0123626861191,"LTMP",9,"_"," ",223.49841991588295,"expanded","9.0m"
"fish","reef","Kelso Reef",2023,"2023.19726027397260273","Small fishes",312.60188439702097,271.49085385098596,363.82323497122024,"LTMP",9,"_"," ",313.6016674954511,"restricted","9.0m"
"fish","reef","Kelso Reef",2023,"2023.19726027397260273","Small fishes",330.015350776569,264.79445257882014,395.52011517772803,"LTMP",9,"_"," ",332.0302267975704,"expanded","9.0m"
"fish","reef","Kelso Reef",2024,"2024.10410958904109589","Small fishes",322.0517873955109,277.84050944599136,374.89841050415475,"LTMP",9,"_"," ",322.43197125934415,"restricted","9.0m"
"fish","reef","Kelso Reef",2024,"2024.10410958904109589","Small fishes",355.4355678593512,283.2291390808625,423.4259126265565,"LTMP",9,"_"," ",357.8316346136661,"expanded","9.0m"
"fish","reef","Kelso Reef",2025,"2025.26301369863013696","Small fishes",139.9905079866375,119.75537858541769,162.86505739549227,"LTMP",9,"_"," ",140.65888828361554,"restricted","9.0m"
"fish","reef","Kelso Reef",2025,"2025.26301369863013696","Small fishes",160.18393269903515,128.39952139924443,191.5161441517789,"LTMP",9,"_"," ",160.6979493090937,"expanded","9.0m"
