"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"juvenile","reef","Kelso Reef","2008","2008.36164383561643837","ABUNDANCE","13.99047560120805","10.677744201459744","18.052350250379433","LTMP","9","_"," ","14.123076542973413","null","9.0m"
"juvenile","reef","Kelso Reef","2010","2010.23835616438356164","ABUNDANCE","16.256699624426286","12.225308823051002","20.630711902543553","LTMP","9","_"," ","16.374662638400387","null","9.0m"
"juvenile","reef","Kelso Reef","2012","2012.2876712328767123","ABUNDANCE","8.30318725765868","6.245836065705622","10.807669066073425","LTMP","9","_"," ","8.363530552743885","null","9.0m"
"juvenile","reef","Kelso Reef","2014","2014.3178082191780822","ABUNDANCE","22.057971442858527","16.182768964051895","27.670145308062114","LTMP","9","_"," ","22.242080682065414","null","9.0m"
"juvenile","reef","Kelso Reef","2016","2016.3287671232876712","ABUNDANCE","24.130085009598965","18.249758464037313","30.8438873299668","LTMP","9","_"," ","24.29831280758326","null","9.0m"
"juvenile","reef","Kelso Reef","2018","2018.14794520547945206","ABUNDANCE","25.506470893352024","19.775473553504067","32.57607452147262","LTMP","9","_"," ","25.701698485627567","null","9.0m"
"juvenile","reef","Kelso Reef","2020","2020.4136986301369863","ABUNDANCE","15.859212229985381","12.121367491359806","20.332522180034037","LTMP","9","_"," ","15.954002907968437","null","9.0m"
"juvenile","reef","Kelso Reef","2022","2022.18356164383561643","ABUNDANCE","30.730831985043515","22.92423423209755","38.34992398521892","LTMP","9","_"," ","30.959072965020894","null","9.0m"
"juvenile","reef","Kelso Reef","2023","2023.19726027397260273","ABUNDANCE","20.447942301872583","15.242293717764978","25.846486830987956","LTMP","9","_"," ","20.545075991438264","null","9.0m"
"juvenile","reef","Kelso Reef","2024","2024.10410958904109589","ABUNDANCE","26.064943054986117","20.30691672547075","33.815198589960765","LTMP","9","_"," ","26.3237588073251","null","9.0m"
"juvenile","reef","Kelso Reef","2025","2025.26301369863013696","ABUNDANCE","22.81114871366036","17.3241900832086","29.416368325786255","LTMP","9","_"," ","23.013626956801627","null","9.0m"
