data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series
"manta","reef","Kelso Reef",1986,"1986.07397260273972603","HC",11.386247813530442,9.154403223224111,13.653536217196455,"LTMP",9,"_"," ",11.38072382930149,"null","9.0m"
"manta","reef","Kelso Reef",1989,"1988.536986301369863","HC",8.0616478367943,6.001009568593229,10.347247621490883,"LTMP",9,"_"," ",8.123285334145901,"null","9.0m"
"manta","reef","Kelso Reef",1990,"1989.4547945205479452","HC",11.975235517063288,9.552533598654593,14.49202681736647,"LTMP",9,"_"," ",11.989517002217308,"null","9.0m"
"manta","reef","Kelso Reef",2002,"2002.12876712328767123","HC",13.319454077222401,10.58017930279155,16.321775719791447,"LTMP",9,"_"," ",13.410383181111008,"null","9.0m"
"manta","reef","Kelso Reef",2003,"2002.8602739726027397","HC",10.211981200036742,7.9501997499598005,12.531553476519102,"LTMP",9,"_"," ",10.29933866900547,"null","9.0m"
"manta","reef","Kelso Reef",2008,"2008.36164383561643837","HC",11.010159738408204,8.658938922240129,13.521258969002306,"LTMP",9,"_"," ",11.046570396041721,"null","9.0m"
"manta","reef","Kelso Reef",2010,"2010.23835616438356164","HC",13.329117975685117,10.85918863925782,16.097069749284636,"LTMP",9,"_"," ",13.40025874968516,"null","9.0m"
"manta","reef","Kelso Reef",2014,"2014.3150684931506849","HC",13.325092717243633,10.60746903634257,16.18119023181569,"LTMP",9,"_"," ",13.381030129893636,"null","9.0m"
"manta","reef","Kelso Reef",2016,"2016.3315068493150685","HC",21.6068381973233,18.074994637902464,24.69243589326325,"LTMP",9,"_"," ",21.587217044523232,"null","9.0m"
"manta","reef","Kelso Reef",2018,"2018.29315068493150687","HC",18.81864516397411,15.997149717339298,22.390059706368014,"LTMP",9,"_"," ",18.91685804974686,"null","9.0m"
"manta","reef","Kelso Reef",2020,"2020.4246575342465753","HC",26.525234764625456,22.642390230176584,30.24366568738473,"LTMP",9,"_"," ",26.52734436838972,"null","9.0m"
"manta","reef","Kelso Reef",2021,"2021.25753424657534246","HC",22.886642824517644,19.10747956106288,26.3034885330966,"LTMP",9,"_"," ",22.89053264393153,"null","9.0m"
"manta","reef","Kelso Reef",2022,"2022.18082191780821918","HC",39.704692079825605,35.47903690852842,45.22321913447676,"LTMP",9,"_"," ",39.76624427903674,"null","9.0m"
"manta","reef","Kelso Reef",2023,"2023.19726027397260273","HC",34.557618208643305,30.230719597125617,39.07935097319987,"LTMP",9,"_"," ",34.59477928316103,"null","9.0m"
"manta","reef","Kelso Reef",2024,"2024.10410958904109589","HC",27.87903818524038,24.486341459770795,31.488400737544787,"LTMP",9,"_"," ",27.835058514252296,"null","9.0m"
"manta","reef","Kelso Reef",2025,"2025.26301369863013696","HC",29.17809602524992,25.13824738033318,33.11499093825353,"LTMP",9,"_"," ",29.251076016494792,"null","9.0m"
