"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Kelso Reef","2006","2006.5287671232876713","HARD CORAL","5.357082265460855","3.855997527791172","6.767862577510273","LTMP","9","_"," ","5.389843570512482","null","9.0m"
"photo-transect","reef","Kelso Reef","2008","2008.36164383561643837","HARD CORAL","6.1056449403732005","4.426432257164067","7.69609699170338","LTMP","9","_"," ","6.143351135911044","null","9.0m"
"photo-transect","reef","Kelso Reef","2010","2010.23835616438356164","HARD CORAL","8.926686130111976","7.217463829134623","11.245011431879586","LTMP","9","_"," ","9.015775871949565","null","9.0m"
"photo-transect","reef","Kelso Reef","2012","2012.2876712328767123","HARD CORAL","7.028370013151522","5.428600263274724","8.900558130003818","LTMP","9","_"," ","7.088470626386338","null","9.0m"
"photo-transect","reef","Kelso Reef","2014","2014.3178082191780822","HARD CORAL","8.891315502272256","6.708600352391736","10.98090808100719","LTMP","9","_"," ","8.91086274098731","null","9.0m"
"photo-transect","reef","Kelso Reef","2016","2016.3287671232876712","HARD CORAL","15.669421033911252","12.731576883236775","18.916859139550226","LTMP","9","_"," ","15.715763396486294","null","9.0m"
"photo-transect","reef","Kelso Reef","2018","2018.14794520547945206","HARD CORAL","13.294158336662326","10.778379546811577","16.357204218582794","LTMP","9","_"," ","13.375795641096666","null","9.0m"
"photo-transect","reef","Kelso Reef","2020","2020.4136986301369863","HARD CORAL","19.064471958421713","15.357815019715895","23.052346799873643","LTMP","9","_"," ","19.15171396984454","null","9.0m"
"photo-transect","reef","Kelso Reef","2022","2022.18356164383561643","HARD CORAL","19.3437886959576","15.626699489258314","23.142449341191305","LTMP","9","_"," ","19.43060154514374","null","9.0m"
"photo-transect","reef","Kelso Reef","2023","2023.19726027397260273","HARD CORAL","19.550483179839052","15.949492523380588","23.68553555672918","LTMP","9","_"," ","19.679519160974653","null","9.0m"
"photo-transect","reef","Kelso Reef","2024","2024.10410958904109589","HARD CORAL","16.961605409799084","13.592430438505588","20.24310834987774","LTMP","9","_"," ","16.968826368802517","null","9.0m"
"photo-transect","reef","Kelso Reef","2025","2025.26301369863013696","HARD CORAL","18.31118897596641","14.956255985473366","22.497795408367214","LTMP","9","_"," ","18.406850903792133","null","9.0m"
