"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Kelso Reef","2006","2006.5287671232876713","MACROALGAE","5.30284268062839","3.622237448352106","7.229680894081958","LTMP","9","_"," ","5.396716586248592","null","9.0m"
"photo-transect","reef","Kelso Reef","2008","2008.36164383561643837","MACROALGAE","4.07063067130657","2.803586840842314","5.600896239853036","LTMP","9","_"," ","4.154580260887892","null","9.0m"
"photo-transect","reef","Kelso Reef","2010","2010.23835616438356164","MACROALGAE","2.537699724169461","1.722922489118227","3.6885451952753683","LTMP","9","_"," ","2.600064419207618","null","9.0m"
"photo-transect","reef","Kelso Reef","2012","2012.2876712328767123","MACROALGAE","2.8271981385346847","1.9214898383430459","3.897437661466367","LTMP","9","_"," ","2.894382949298493","null","9.0m"
"photo-transect","reef","Kelso Reef","2014","2014.3178082191780822","MACROALGAE","3.2717766092788576","2.27457851309495","4.545027952872668","LTMP","9","_"," ","3.33591023028868","null","9.0m"
"photo-transect","reef","Kelso Reef","2016","2016.3287671232876712","MACROALGAE","1.1596980619005268","0.6927476732239799","1.7622991248441096","LTMP","9","_"," ","1.1933175174603774","null","9.0m"
"photo-transect","reef","Kelso Reef","2018","2018.14794520547945206","MACROALGAE","2.005165609533841","1.2928660091421063","2.848528276998456","LTMP","9","_"," ","2.053648859766917","null","9.0m"
"photo-transect","reef","Kelso Reef","2020","2020.4136986301369863","MACROALGAE","2.268299953616023","1.5953329976424107","3.2227000488084947","LTMP","9","_"," ","2.311447867227106","null","9.0m"
"photo-transect","reef","Kelso Reef","2022","2022.18356164383561643","MACROALGAE","2.0217409975572673","1.3613480849562363","2.934199345807311","LTMP","9","_"," ","2.069419746046596","null","9.0m"
"photo-transect","reef","Kelso Reef","2023","2023.19726027397260273","MACROALGAE","3.4738559605977297","2.4311905943808054","4.907019259597767","LTMP","9","_"," ","3.555928376272699","null","9.0m"
"photo-transect","reef","Kelso Reef","2024","2024.10410958904109589","MACROALGAE","3.2557585664669277","2.280948141827366","4.537742892442892","LTMP","9","_"," ","3.3004111840016255","null","9.0m"
"photo-transect","reef","Kelso Reef","2025","2025.26301369863013696","MACROALGAE","3.0562415467133577","2.15283225983425","4.343304908966364","LTMP","9","_"," ","3.11789350864165","null","9.0m"
