a_sector,nrm_region,domain_name,year,survey_date,variable,tows,cots,cotsptow
"TO","Burdekin","Knife Reef",1986,"1985.7698630136986301","COTS",35,19,"0.54"
"TO","Burdekin","Knife Reef",1987,"1986.6410958904109589","COTS",30,80,"2.67"
"TO","Burdekin","Knife Reef",1988,"1987.5232876712328767","COTS",39,5,"0.13"
"TO","Burdekin","Knife Reef",1989,"1988.5287671232876713","COTS",33,0,"0.00"
"TO","Burdekin","Knife Reef",1990,"1989.46301369863013697","COTS",28,0,"0.00"
"TO","Burdekin","Knife Reef",2002,"2002.10410958904109589","COTS",37,0,"0.00"
"TO","Burdekin","Knife Reef",2003,"2003.2219178082191781","COTS",27,2,"0.07"
"TO","Burdekin","Knife Reef",2006,"2006.726027397260274","COTS",28,4,"0.14"
"TO","Burdekin","Knife Reef",2008,"2008.3780821917808219","COTS",29,0,"0.00"
"TO","Burdekin","Knife Reef",2010,"2010.273972602739726","COTS",27,0,"0.00"
"TO","Burdekin","Knife Reef",2012,"2012.3095890410958904","COTS",28,0,"0.00"
"TO","Burdekin","Knife Reef",2014,"2014.33972602739726027","COTS",28,0,"0.00"
"TO","Burdekin","Knife Reef",2016,"2016.3424657534246575","COTS",28,0,"0.00"
"TO","Burdekin","Knife Reef",2018,"2018.3095890410958904","COTS",28,0,"0.00"
"TO","Burdekin","Knife Reef",2020,"2020.40821917808219177","COTS",42,0,"0.00"
"TO","Burdekin","Knife Reef",2022,"2022.16986301369863013","COTS",31,0,"0.00"
"TO","Burdekin","Knife Reef",2024,"2024.4246575342465753","COTS",32,0,"0.00"
"TO","Burdekin","Knife Reef",2025,"2025.36712328767123287","COTS",31,0,"0.00"
