"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Knife Reef","2006","2006.726027397260274","HARD CORAL","25.352260950141325","17.572425373794772","32.95664669071539","LTMP","9","_"," ","25.50433530402474","null","9.0m"
"photo-transect","reef","Knife Reef","2008","2008.3780821917808219","HARD CORAL","22.94707883798234","16.079492699101262","29.87705545592938","LTMP","9","_"," ","23.164075744389343","null","9.0m"
"photo-transect","reef","Knife Reef","2010","2010.273972602739726","HARD CORAL","23.784593089651985","17.737076745290093","32.17174636773589","LTMP","9","_"," ","24.032261884224297","null","9.0m"
"photo-transect","reef","Knife Reef","2012","2012.3095890410958904","HARD CORAL","8.187307514906419","5.653371190138586","10.822247497173048","LTMP","9","_"," ","8.320289541964163","null","9.0m"
"photo-transect","reef","Knife Reef","2014","2014.33972602739726027","HARD CORAL","13.177828410000464","8.780119568096334","17.153824869305566","LTMP","9","_"," ","13.251938731067517","null","9.0m"
"photo-transect","reef","Knife Reef","2016","2016.3424657534246575","HARD CORAL","22.41747047237621","15.425603390744818","29.32348838765133","LTMP","9","_"," ","22.6901496810667","null","9.0m"
"photo-transect","reef","Knife Reef","2018","2018.3095890410958904","HARD CORAL","29.945429330148464","20.966013047320324","38.264118968477625","LTMP","9","_"," ","30.21029731567192","null","9.0m"
"photo-transect","reef","Knife Reef","2020","2020.40821917808219177","HARD CORAL","38.18648291866226","26.657033585540233","47.70693191491214","LTMP","9","_"," ","38.390378250730116","null","9.0m"
"photo-transect","reef","Knife Reef","2022","2022.16986301369863013","HARD CORAL","45.03023498872606","32.98131083565796","56.859736315726984","LTMP","9","_"," ","45.246884812189876","null","9.0m"
"photo-transect","reef","Knife Reef","2023","2023.34794520547945207","HARD CORAL","43.86724523027905","32.24691168061427","55.39561752584373","LTMP","9","_"," ","44.2425731653497","null","9.0m"
"photo-transect","reef","Knife Reef","2024","2024.42191780821917807","HARD CORAL","39.64017976940463","28.146425286844767","50.38354240086564","LTMP","9","_"," ","39.91017311816793","null","9.0m"
"photo-transect","reef","Knife Reef","2025","2025.36712328767123287","HARD CORAL","38.66003909159219","28.50646049484164","49.947315027383624","LTMP","9","_"," ","39.013416689578776","null","9.0m"
