"data_type","domain_category","domain_name","report_year","date","variable","median","lower","upper","project_code","depth","reef_zone","shelf","mean","count_group","series"
"photo-transect","reef","Knife Reef","2006","2006.726027397260274","SOFT CORAL","7.521183153347105","6.220133019487311","9.06346233038469","LTMP","9","_"," ","7.55776433486072","null","9.0m"
"photo-transect","reef","Knife Reef","2008","2008.3780821917808219","SOFT CORAL","7.6847712791963705","6.243100145860912","9.110085625690967","LTMP","9","_"," ","7.711164633254905","null","9.0m"
"photo-transect","reef","Knife Reef","2010","2010.273972602739726","SOFT CORAL","8.013866943716529","6.6812390507264885","9.630580541986019","LTMP","9","_"," ","8.078623553720355","null","9.0m"
"photo-transect","reef","Knife Reef","2012","2012.3095890410958904","SOFT CORAL","2.648064061507529","1.9785628736631669","3.4052288077628337","LTMP","9","_"," ","2.6845571539552977","null","9.0m"
"photo-transect","reef","Knife Reef","2014","2014.33972602739726027","SOFT CORAL","4.131723114447744","3.2783648969335255","5.202451030790938","LTMP","9","_"," ","4.15517155619521","null","9.0m"
"photo-transect","reef","Knife Reef","2016","2016.3424657534246575","SOFT CORAL","5.751174242148469","4.686733006543327","7.0774592861395185","LTMP","9","_"," ","5.769081079406697","null","9.0m"
"photo-transect","reef","Knife Reef","2018","2018.3095890410958904","SOFT CORAL","4.922711509399787","3.9648628644703208","6.129884933479131","LTMP","9","_"," ","4.961072136773132","null","9.0m"
"photo-transect","reef","Knife Reef","2020","2020.40821917808219177","SOFT CORAL","5.613744930265714","4.601460813717195","7.063549477852393","LTMP","9","_"," ","5.64581127889701","null","9.0m"
"photo-transect","reef","Knife Reef","2022","2022.16986301369863013","SOFT CORAL","6.978389693348949","5.543707262147712","8.352212942214827","LTMP","9","_"," ","7.00744260077701","null","9.0m"
"photo-transect","reef","Knife Reef","2023","2023.34794520547945207","SOFT CORAL","7.697336781750798","6.195788998047073","9.206868057404055","LTMP","9","_"," ","7.764952204220561","null","9.0m"
"photo-transect","reef","Knife Reef","2024","2024.42191780821917807","SOFT CORAL","5.907808369733079","4.749127203873917","7.096001893320161","LTMP","9","_"," ","5.920584935082084","null","9.0m"
"photo-transect","reef","Knife Reef","2025","2025.36712328767123287","SOFT CORAL","6.278128825571338","5.149314806199117","7.7363238199004","LTMP","9","_"," ","6.333834604854507","null","9.0m"
